Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Mozambique,MOZ,4.387191943,4.450774435,4.476207432,4.476207432,4.539789923,4.641521911,4.768686894,4.95943437,5.086599354,5.023016862,4.95943437,5.086599354,5.658841781,5.722424273,5.849589257,6.358249193,6.231084209,6.61257916,6.866909128,6.994074112,7.184821588,7.184821588,7.184821588,7.184821588,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Mozambique,MOZ,1.110058927,1.067587135,0.78264384,0.744066331,0.155942545,0.162976295,0.145193456,0.07836612,0.07569275,0.073270967,0.07103807,0.124629623,0.121250521,0.087868123,0.114927673,0.111881272,0.109352795,0.106659996,0.104064061,0.10328515,0.10047121,0.097876397,0.095143647,0.092522138,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,2512109526,2748955274,1968901453,2027650518,2162771441,2246791389,3241719358,3810025426,4324474011,4536278938,4310090791,4075049538,4201332885,4666197195,5697991242,6578515331,7095918239,9115528844,11050262133,10718503687,10119169260,13197133578,14934374229,15457196860,16385584919,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mozambique,MOZ,0.999992763,4.899999161,-5.104721597,8.654683922,6.765490131,2.700782207,7.399999823,10.23856054,10.78214196,8.117773501,1.090981985,11.89892508,8.816958376,6.023730112,8.770181405,8.672666043,6.321004389,7.062011601,6.305607066,6.084801663,6.767812039,7.419097731,7.074000609,7.312036355,7.372599667,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,187.863818,200.3633183,138.616112,137.2270842,140.777341,141.1912983,197.5360069,225.8074385,249.7187802,255.2189768,235.9814009,216.8461113,217.1375662,234.146982,277.6371436,311.3843054,326.4313156,407.6778547,480.5534267,453.2555624,416.0593364,527.5282909,580.3604716,584.0137431,602.0509536,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mozambique,MOZ,-0.435325084,2.240144022,-8.339167722,4.449280264,2.684832097,-0.849068162,4.142969256,7.219319897,7.938729286,5.339776278,-1.623682868,8.756019557,5.68800716,2.939174997,5.618541719,5.568259018,3.331671642,4.084830156,3.368929468,3.155657508,3.810617393,4.432874311,4.094715315,4.3349879,4.417295094,..
Internet users (per 100 people),IT.NET.USER.P2,Mozambique,MOZ,0,..,..,..,..,..,0.003042979,0.011842611,0.020197055,0.056250629,0.10959253,0.160031947,0.259612611,0.419538844,0.679447835,0.854357118,0.842954488,0.91,1.56,2.68,4.17,4.3,4.8491,5.4,5.94,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Mozambique,MOZ,55.54284016,55.57369176,55.78139004,55.72186265,55.7334545,55.82393073,55.86029169,55.81971219,55.55653032,55.28337727,55.12676511,55.02217727,54.8436717,54.65910544,54.48071132,54.30670176,54.22073458,54.0133102,53.93389586,53.79181919,53.6465936,53.56671203,53.3594967,53.27605607,..,..
"Labor force, total",SL.TLF.TOTL.IN,Mozambique,MOZ,5855545,6088496,6388602,6719831,7053880,7363034,7576099,7783976,8058896,8325262,8586945,8826152,9072126,9332167,9571237,9831851,10059185,10313145,10570412,10843766,11147472,11443004,11771674,12105211,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mozambique,MOZ,17.00446476,17.44684885,18.06249777,18.7897416,19.53643913,20.23589232,20.86876192,21.45641547,22.02163839,22.60238816,23.22609425,23.89729774,24.6047903,25.34206872,26.09827183,26.86573412,27.64294616,28.43362878,29.24141891,30.07174013,30.92837687,31.81276355,32.72327374,33.65698517,34.60957298,..
