Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Myanmar,MMR,14.63873673,14.61884506,14.58824249,14.65709826,14.58824249,14.59742326,14.60201365,14.6264957,14.62190532,14.8269425,15.16204058,15.28598097,15.09012455,15.07329314,15.1694163,15.39580017,15.81709948,16.18466153,16.36895195,16.52227154,16.54930655,16.51027874,16.46023119,16.49415079,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Myanmar,MMR,1.161153694,1.409627361,1.378573554,1.51900442,1.485844128,1.674214686,1.789895518,1.845481675,1.826454981,1.761872528,1.723740584,1.752545816,2.11142309,2.273130758,1.816462928,1.794975318,1.884345763,1.86253842,1.842910589,1.82122675,1.800004854,1.775959669,1.749309513,1.724308517,..,..
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74690930782,58652241646,64330038665,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Myanmar,MMR,2.816933274,-0.650616909,9.660942453,6.039410227,7.477958359,6.948051437,6.442715347,5.651582963,5.866213153,10.94512998,13.74593056,11.3440345,12.02551864,13.84399505,13.64190607,..,..,..,..,..,..,..,..,8.244874539,8.499663602,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1421.497351,1106.983824,1203.844663,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Myanmar,MMR,1.280640726,-2.005320921,8.29233505,4.785541162,6.208108587,5.640059273,5.079699505,4.258648887,4.469533788,9.538295765,12.40285891,10.12909068,10.88831011,12.7739134,12.6545438,..,..,..,..,..,..,..,..,7.345988091,7.579215108,..
Internet users (per 100 people),IT.NET.USER.P2,Myanmar,MMR,0,..,..,..,..,..,..,..,..,0.000151709,..,0.000289277,0.000426494,0.024064149,0.024337392,0.065238856,0.182048331,0.217128445,0.22,0.22,0.25,0.98,1.0691,1.6,2.1,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Myanmar,MMR,49.44871957,49.3666288,49.35040264,49.33508412,49.32495379,49.32295985,49.34737978,49.38137329,49.41954559,49.52297009,49.4874754,49.5086028,49.52172368,49.59694717,49.60499794,49.61615029,49.63403838,49.58942464,49.67519509,49.62771393,49.57117624,49.62221281,49.53813116,49.51321418,..,..
"Labor force, total",SL.TLF.TOTL.IN,Myanmar,MMR,19807886,20289050,20746082,21198095,21671183,22177562,22699649,23248673,23808416,24351932,24893537,25351691,25778822,26175353,26548849,26908448,27224303,27543056,27836402,28181554,28513812,28899868,29340148,29765555,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Myanmar,MMR,64.27656915,65.16514521,65.98870765,66.77833185,67.5767497,68.41345748,69.30086605,70.22675123,71.16563026,72.07963246,72.94089268,73.7455764,74.50186982,75.20879824,75.88189985,76.50407738,77.05871578,77.57806035,78.10994168,78.63114189,79.19207207,79.78908448,80.44682079,81.12915569,81.8232973,..
