Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Namibia,NAM,0.801661626,0.801661626,0.801661626,0.847817901,0.907335204,0.991145283,0.991145283,0.991145283,0.991145283,0.991145283,0.991145283,0.991145283,0.991145283,0.989930644,0.989930644,0.988716005,0.987501366,0.971711062,0.971711062,0.971711062,0.971711062,0.971711062,0.971711062,0.971711062,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Namibia,NAM,..,1.716996115,1.647982663,1.584506694,1.52427116,1.508093435,1.48814925,1.043066261,1.540495566,1.479090376,1.425188563,2.26289397,2.187395643,2.125386466,2.064577223,2.002440307,1.942866765,1.879871216,1.819465368,1.83682915,1.828996086,1.818710462,1.81135673,1.746845335,..,..
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,2804357081,3012725712,3448309730,3218434944,3636647702,3942494510,3945295658,4102682849,3826538590,3818964345,3908645560,3546791604,3361236317,4931280096,6606866457,7261301442,7978734402,8740726985,8462019791,8875244805,11273248976,12411220518,13020182473,12932205891,13429503285,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Namibia,NAM,2.047459954,8.165612258,7.189342732,-1.579539256,1.729879433,3.8990143,3.191324246,4.220100319,3.291585478,3.369278559,3.49218333,1.177948872,4.788661155,4.239794359,12.26954808,2.529262501,7.073175382,6.617094513,2.361919462,0.570595091,5.963780157,5.174884438,5.167646476,5.110176938,4.475961994,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,1981.251916,2054.852234,2278.083364,2063.787252,2264.655805,2383.303799,2313.482846,2333.592998,2114.203164,2056.16929,2059.400607,1836.75941,1716.888282,2489.877763,3298.905481,3582.24386,3884.646834,4195.869853,3999.625558,4123.500332,5139.053609,5540.325234,5681.587887,5511.058544,5588.970836,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Namibia,NAM,-1.88362316,4.424842291,3.823089965,-4.469458536,-1.206285867,0.859953026,0.097125718,1.093195574,0.334062585,0.73122814,1.276534214,-0.553861023,3.357186561,3.040726536,11.02427934,1.30110212,5.671417951,5.119615393,0.788101739,-1.142092253,3.969462655,2.990878345,2.804954562,2.648952792,2.029523429,..
Internet users (per 100 people),IT.NET.USER.P2,Namibia,NAM,0,..,..,..,..,0.006172051,0.009032145,0.058750679,0.286745093,0.336217708,1.644739547,2.416979442,2.633699769,3.359839886,3.804715615,4.010046644,4.398870647,4.835610778,5.329003772,6.5,11.6,12,12.9414,13.9,14.84,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Namibia,NAM,44.74561527,44.89107806,44.94687316,45.27985359,45.33620658,45.19625695,45.08075932,44.96428824,44.78982393,44.72639266,44.59352369,45.15393713,45.62834398,46.1699119,46.70431538,47.05587876,47.5502393,47.87530689,48.2608337,48.42087073,48.47549566,48.53731408,48.66460108,48.54770497,..,..
"Labor force, total",SL.TLF.TOTL.IN,Namibia,NAM,446037,465930,485442,504889,524841,537102,551020,565640,590719,615243,638512,662868,685747,705754,726541,749086,772055,797927,824418,827513,831057,835757,839150,870140,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Namibia,NAM,1.719256884,1.780845146,1.838585432,1.894204958,1.950501039,2.009272553,2.071383109,2.135452878,2.198399106,2.255972986,2.305327406,2.345473648,2.377957949,2.405629851,2.432611838,2.462104483,2.494764907,2.530304024,2.569815011,2.614336382,2.664483961,2.72098653,2.783520995,2.850261755,2.918604623,..
