Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Nepal,NPL,16.22657343,16.25174825,16.27482517,16.2979021,16.32097902,16.34405594,16.36713287,16.39020979,16.41328671,16.43636364,16.42134636,16.44227415,16.28880363,16.14928497,16.04464597,15.90512731,15.76560865,15.62608999,15.48657133,15.34705267,15.20753401,15.08685037,14.77502616,14.74712243,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Nepal,NPL,0.381437466,0.371173598,0.360004933,0.348786676,0.337946822,0.589949176,0.647785336,0.764485149,0.780361323,0.761773527,0.748314857,0.70319118,0.731691471,0.81610791,1.023671505,1.008888151,0.992385449,0.97740333,0.963283175,1.140000779,1.118865039,1.092907002,1.064686002,1.037758216,..,..
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,3627559252,3921476085,3401211581,3660041667,4066775510,4401104418,4521580381,4918691917,4856255044,5033642384,5494252208,6007061224,6050875807,6330476435,7273933993,8130258976,9043715356,10325618017,12545438605,12854985464,16002656434,18913574371,18851513891,19244245405,19636186469,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nepal,NPL,4.635036347,6.368150403,4.106406612,3.849850022,8.216002709,3.468451883,5.328284175,5.048612536,3.016389482,4.412573271,6.199999988,4.799762644,0.120266897,3.945037767,4.682603245,3.479181046,3.364614788,3.411560276,6.104639142,4.53307872,4.81641465,3.421828241,4.85247634,3.781821435,5.475929499,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,193.5556313,203.8472967,172.0775865,180.1850079,194.9610926,205.7465272,206.4409708,219.6310635,212.3742546,215.8966735,231.4329676,248.8329359,246.8035835,254.5539382,288.6695954,318.7480983,350.608465,396.1697728,476.5565582,483.4034115,595.4275198,695.8831983,685.4967586,691.3690872,696.9433479,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nepal,NPL,2.087765585,3.627661272,1.324093677,1.052681021,5.379616789,0.897647765,2.867883716,2.737460664,0.893354517,2.403785617,4.298378477,3.059841832,-1.415323563,2.474064741,3.314856771,2.226741561,2.212539874,2.343168818,5.050395613,3.481630118,3.711759197,2.267615086,3.627524957,2.534775831,4.204055151,..
Internet users (per 100 people),IT.NET.USER.P2,Nepal,NPL,0,0,0,0,0,0.000924878,0.004510473,0.021998858,0.064393596,0.146668869,0.204651684,0.240015303,0.31295606,0.382810917,0.449843651,0.826551266,1.141389164,1.41,1.73,1.97,7.93,9,11.1493,13.3,15.44,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Nepal,NPL,48.24417796,47.98574693,47.59606706,47.19645768,46.86354934,46.76006467,47.0011599,47.42388506,47.91325746,48.45919878,48.76326419,48.85441163,48.80661121,48.81861645,48.93156045,49.04821415,49.1882287,49.45779483,49.77312108,50.16295378,50.46159132,50.64008671,50.70872317,50.79524843,..,..
"Labor force, total",SL.TLF.TOTL.IN,Nepal,NPL,9175816,9429550,9722089,10034787,10356659,10678886,10960421,11249401,11533119,11814535,12027023,12229960,12436936,12620880,12797074,12984591,13200516,13402860,13599324,13837973,14099377,14433982,14816575,15201036,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Nepal,NPL,131.0607552,134.5267273,138.2207692,142.0467622,145.8700769,149.5867483,153.1645734,156.6101189,159.9055664,163.0423287,165.6096617,168.4055877,171.0287339,173.483781,175.7804674,177.9340565,179.9396163,181.8180607,183.6427136,185.5086571,187.4845483,189.6005371,191.841751,194.1749634,196.5449878,..
