Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Netherlands,NLD,26.03672986,26.09597156,26.27369668,26.27369668,26.21445498,26.12559242,26.51066351,26.68838863,26.83649289,27.07345972,26.9549763,26.80687204,27.13270142,26.83649289,33.39751185,32.90876777,31.68838863,31.39218009,31.5936019,31.26890009,30.31722502,29.83392645,29.98220641,30.84051084,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Netherlands,NLD,1.509247771,1.483315976,1.265227541,1.19728417,1.053697232,1.055759534,0.890196111,0.791659554,0.776491844,0.751760247,0.699160187,0.668020409,0.624569354,0.703765734,0.61827978,0.697525992,0.530778887,0.464602607,0.525114142,0.479053436,0.487978571,0.48698173,0.481214572,0.481200668,..,..
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,3.13E+11,3.22E+11,3.57E+11,3.48E+11,3.73E+11,4.45E+11,4.43E+11,4.10E+11,4.31E+11,4.40E+11,4.13E+11,4.26E+11,4.64E+11,5.71E+11,6.46E+11,6.72E+11,7.19E+11,8.33E+11,9.31E+11,8.58E+11,8.36E+11,8.94E+11,8.23E+11,8.54E+11,8.70E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Netherlands,NLD,4.183228728,2.439125182,1.70607401,1.2575571,2.961083147,3.116027635,3.052771241,4.024364161,4.388620504,4.531572578,4.377314499,1.624014155,-0.033597057,0.265814998,1.857332442,2.252460632,3.821283774,4.200058434,2.077940596,-3.298074702,1.070503848,1.663619434,-1.585708514,-0.725512456,0.873913345,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,20936.88201,21370.91674,23506.61346,22737.97763,24236.54566,28771.69291,28498.68,26250.37444,27450.71919,27822.83658,25958.15308,26554.06303,28762.19453,35186.87093,39678.81633,41199.72556,44011.28267,50861.06642,56628.75117,51909.5849,50341.25192,53537.27515,49128.08727,50792.51426,51590.04892,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Netherlands,NLD,3.468283427,1.635045443,0.940018089,0.554254532,2.342158904,2.607965112,2.578385377,3.490256943,3.746898553,3.838231711,3.633916349,0.859803301,-0.669642205,-0.206139305,1.504017453,2.013813238,3.654666442,3.973647135,1.681331354,-3.79412112,0.553417148,1.19053521,-1.949222538,-1.017763268,0.576148804,..
Internet users (per 100 people),IT.NET.USER.P2,Netherlands,NLD,0.334386942,0.531496128,1.320008028,1.967087737,3.257308831,6.47315766,9.649069145,14.0655114,22.24382769,39.17600725,43.98435137,49.37306211,61.29,64.35,68.52,81,83.7,85.82,87.42,89.63,90.72,91.41999576,92.85999236,93.9564,93.17,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Netherlands,NLD,38.91723082,39.28766318,40.16336899,40.45848744,40.92726999,41.25065004,41.6918077,42.04417955,42.24446513,42.93309033,43.14129366,43.46674238,43.54804509,44.18100291,44.35739791,44.82628696,45.00550337,45.31052792,45.57207555,45.79543414,45.80124088,45.99225283,46.074406,46.10349148,..,..
"Labor force, total",SL.TLF.TOTL.IN,Netherlands,NLD,6890850,7011318,7113345,7182923,7307602,7388046,7492731,7680069,7827513,7981268,8166941,8323099,8469836,8511355,8572171,8601830,8666509,8824746,8950435,9034274,8869037,8891504,8998065,8998325,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Netherlands,NLD,442.876481,446.3802725,449.7679502,452.9137441,455.6527844,457.9089455,460.0265995,462.4007701,465.2609301,468.3675355,471.7272808,475.3015403,478.3450533,480.6072867,482.2801836,483.4084123,484.1854562,485.2398104,487.1324941,490.0796917,492.5998814,495.0496441,496.8849941,499.0921295,500.5697357,..
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.688603823,0.788031035,0.756056593,0.69699133,0.602938474,0.493927373,0.461395748,0.514767002,0.616640531,0.665493187,0.714770363,0.754840058,0.638291666,0.471814399,0.347475412,0.233663148,0.160613669,0.217521601,0.389292461,0.514284545,0.512923101,0.466428782,0.370055035,0.294820793,0.295621411,..
