Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,New Caledonia,NCL,0.492341357,0.492341357,0.492341357,0.437636761,0.382932166,0.382932166,0.382932166,0.382932166,0.382932166,0.382932166,0.382932166,0.382932166,0.371991247,0.371991247,0.371991247,0.371991247,0.371991247,0.371991247,0.371991247,0.371991247,0.371991247,0.355579869,0.328227571,0.33916849,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,2529310104,2653781596,2923764926,3070161471,3038727617,3628440275,3606968434,3291489841,3158806480,3056999988,2682347064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,New Caledonia,NCL,3.600001274,4.900028139,0.519994838,0.529794652,2.590186894,5.940031114,0.4498791,2.007152305,-3.200275506,0.900172502,2.100108842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,14800.02869,15133.16224,16261.29693,16640.80235,16037.02524,18721.05644,18257.21505,16341.58735,15387.86958,14611.8328,12579.59511,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,New Caledonia,NCL,1.17457102,2.23030023,-1.960593024,-2.029547803,-0.109355394,3.571062118,-1.455762347,0.055313021,-5.020937806,-0.99760766,0.177142857,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,New Caledonia,NCL,0,..,..,..,..,0.005179013,0.252983946,0.989334969,1.936042825,5.688147323,13.93954882,18.23710978,22.38979742,26.40833447,30.29804621,32.35901475,33.51571468,35.05,34.51,33.99,42,50,58,66,70,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,New Caledonia,NCL,37.53005591,37.96402495,38.26705543,38.57552457,39.02399031,39.40860149,39.80581361,39.94548616,39.94667647,40.1838314,40.25428878,40.25475918,40.27106335,40.42740715,40.53728909,40.58926207,40.54184618,40.53065225,40.42167006,40.17787545,39.98708606,39.98278752,40.02701286,40.18052588,..,..
"Labor force, total",SL.TLF.TOTL.IN,New Caledonia,NCL,69038,71494,74082,76730,79282,81637,83425,85116,87016,88777,90527,92558,94738,96442,98085,99684,101431,103043,104679,106479,108410,110385,112539,114665,..,..
Population density (people per sq. km of land area),EN.POP.DNST,New Caledonia,NCL,9.348960613,9.593107221,9.83583151,10.09277899,10.36553611,10.60262582,10.80765864,11.01849015,11.2297046,11.44496718,11.66466083,11.88862144,12.11652079,12.30131291,12.48889497,12.67937637,12.87275711,13.0690372,13.26838074,13.47073304,13.6761488,13.89496718,14.11378556,14.33260394,14.55142232,..
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,2.368989136,2.577967007,2.498715148,2.578822274,2.666625017,2.261522218,1.915332709,1.931976819,1.898767879,1.89876221,1.901374378,1.901793221,1.898811419,1.513612164,1.513384946,1.513691862,1.513646102,1.513263352,1.513795711,1.513559217,1.513394258,1.587334916,1.56253179,1.538491884,1.515180502,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,New Caledonia,NCL,48.98390264,48.9539919,48.91781521,48.88842119,48.8817252,48.9059081,48.96185992,49.04251768,49.14133434,49.24823893,49.35499079,49.46518064,49.57671301,49.6707436,49.72540656,49.72735184,49.66958408,49.56328915,49.43941318,49.33735709,49.28332217,49.2850994,49.33136859,49.40676017,49.48729792,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,175362,179799,184496,189482,193816,197564,201418,205279,209214,213230,217324,221490,224868,228297,231779,235314,238902,242546,246245,250000,254000,258000,262000,266000,..
Rural population,SP.RUR.TOTL,New Caledonia,NCL,69151,70762,72353,74040,75833,77352,78630,79365,80075,80784,81497,82211,82924,83316,83703,83522,83212,82885,82541,82187,81817,81531,81247,80968,80696,..
Surface area (sq. km),AG.SRF.TOTL.K2,New Caledonia,NCL,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
