Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,New Zealand,NZL,10.04519388,8.947628271,7.880445103,7.329763397,6.482852911,5.996733888,5.916979986,5.905586571,5.905586571,5.905586571,5.696707303,5.696707303,1.807755118,1.576089021,1.595078045,1.614067069,1.515324143,1.636853898,1.720405606,1.788766093,1.89510463,1.788766093,1.933082678,2.077399263,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,New Zealand,NZL,0.675690617,0.646163697,0.64316277,0.636671343,0.563766501,0.555555556,0.527943849,0.505698507,0.50398039,0.498821776,0.476389218,0.467108219,0.428313807,0.415182149,0.37648423,0.412434629,0.402641327,0.396628132,0.392255995,0.417577,0.413138955,0.360884966,0.359754761,0.354513351,..,..
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,45495189147,42745386000,41649883028,46775565511,55314488064,63918437832,70141112807,66075080376,56227275120,58762364420,52623106310,53872593337,66711715708,88360999145,1.04E+11,1.15E+11,1.11E+11,1.37E+11,1.32E+11,1.20E+11,1.45E+11,1.66E+11,1.74E+11,1.88E+11,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,New Zealand,NZL,0.13997704,-1.088283505,1.113677678,6.411493934,5.105512862,4.593383852,3.6217814,1.976409499,0.602653171,5.515497176,2.763631571,3.429305161,4.885017281,4.631515421,3.816601827,3.4107757,2.763649358,2.959127773,-1.615141044,-0.25135967,1.441475845,2.21839831,2.177812333,2.474918471,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,13663.03957,12230.08955,11793.1543,13094.32997,15280.24532,17400.34786,18794.5104,17474.17036,14738.47316,15322.2509,13641.05719,13882.89997,16895.45795,21941.05064,25461.13844,27833.60146,26630.35668,32382.26671,30972.12382,27998.56192,33394.06934,37896.85961,39573.81053,42408.96414,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,New Zealand,NZL,-0.780283426,-5.766291784,0.065808209,5.205048185,3.717655537,3.072915975,1.994708413,0.646856967,-0.286025574,4.962483827,2.161599771,2.82160302,3.078715856,2.586794457,2.285068839,2.250065476,1.518580051,2.003590625,-2.446601423,-1.243606638,0.319970113,1.441967502,1.61918497,1.690571602,..,..
Internet users (per 100 people),IT.NET.USER.P2,New Zealand,NZL,0,..,0.285941241,0.631215367,3.168718848,4.88424078,8.041899368,14.6015244,31.63626081,41.49448266,47.37955654,53.24101529,59.08075328,60.96253987,61.84762781,62.72021237,69,69.76,72.03,79.7,80.46,81.23,82,82.78,85.5,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,New Zealand,NZL,43.19831397,43.41703111,43.53048416,43.51231901,43.84970211,44.08641364,44.60226893,44.6211418,44.86317328,45.15964914,45.22368027,45.46775557,45.63191302,46.0221688,45.99216066,46.28034373,46.22206117,46.42148878,46.60371684,46.70974103,46.76192254,46.89419444,47.23744109,47.2201774,..,..
"Labor force, total",SL.TLF.TOTL.IN,New Zealand,NZL,1627964,1702355,1710298,1727736,1773784,1818000,1869517,1888477,1894915,1910502,1931194,1969565,2031221,2071380,2124923,2182164,2235240,2269128,2294420,2316459,2341343,2369176,2376619,2397653,..,..
Population density (people per sq. km of land area),EN.POP.DNST,New Zealand,NZL,12.64593065,13.2737078,13.41270746,13.56651855,13.74805363,13.9508564,14.17340777,14.36063955,14.48862557,14.56496145,14.65079184,14.73738179,14.99563252,15.29451977,15.5235274,15.69974555,15.89229425,16.0411682,16.17788918,16.34043523,16.52310964,16.64957654,16.74110364,16.87022901,17.12696062,..
