Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Nicaragua,NIC,10.80272561,10.80272561,10.96892139,11.21821506,11.21821506,13.71115174,13.71115174,14.54213063,14.95762008,15.37310952,15.92986538,15.88831644,16.61957786,17.03506731,16.20408842,16.61957786,15.45620741,14.95762008,14.12664118,13.71115174,12.72228685,12.48961276,12.73059664,12.49792255,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Nicaragua,NIC,2.121200872,1.472221752,1.070769283,1.038279281,0.939667948,0.781127949,1.069557071,1.032598528,0.999292853,0.909429878,0.880209534,0.852266069,0.721631258,0.700146331,0.679909358,0.659717952,0.640714671,0.624957034,0.522147086,0.50931192,0.496286741,0.484600409,0.473306873,0.461764193,..,..
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,1009455476,1488804124,1792800000,1756454281,3863185119,4140470000,4308351903,4389965591,4635267225,4855717875,5107329007,5323146566,5224213018,5322437645,5795568205,6321324455,6786294616,7458103363,8491388728,8380731876,8741313143,9755619761,10460339389,10850733052,11805641287,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nicaragua,NIC,-0.093064818,-0.190712403,0.385467121,-0.391138493,3.337611864,5.911907795,6.344268304,3.966650973,3.711681448,7.03597048,4.101590153,2.960843529,0.753938941,2.520732936,5.31217052,4.282398305,4.15206923,5.287768788,2.851710991,-2.759210147,3.191298781,6.231594588,5.131796229,4.510537036,4.702775972,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,243.5613194,351.3978396,413.9198799,396.7974083,854.5495269,897.7156165,916.5190995,917.1286485,951.8731568,981.020291,1016.021552,1043.600758,1010.146886,1015.562598,1091.505157,1175.114369,1245.142095,1350.587223,1517.803611,1478.971389,1523.481469,1679.7482,1779.867088,1824.988076,1963.054884,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nicaragua,NIC,-2.245737361,-2.363696172,-1.804007962,-2.535712718,1.185472141,3.810721711,4.341073456,2.101670391,1.944273472,5.305242485,2.504257351,1.467969331,-0.628985305,1.168233187,3.947062008,2.932683425,2.79738185,3.91684557,1.520591823,-3.995974194,1.912099909,4.950019235,3.89306569,3.304498707,3.514241251,..
Internet users (per 100 people),IT.NET.USER.P2,Nicaragua,NIC,0,..,..,..,0.013166228,0.030046478,0.084093291,0.206216818,0.303808975,0.497901643,0.980216487,1.448799428,1.714729584,1.880412532,2.320664609,2.566351177,2.805573063,3.9,5.3,7.3,10,10.6,13.5,15.5,17.6,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Nicaragua,NIC,30.66907979,30.39195696,30.14386856,29.89088377,29.63531487,29.3787429,30.06940167,30.70468168,31.47425675,32.18523495,32.88996446,33.58876458,34.3104736,34.99731444,35.76478633,36.4686429,37.2144472,37.49768989,37.7206017,37.93864489,38.0886426,38.28965132,38.48241251,38.60806571,..,..
"Labor force, total",SL.TLF.TOTL.IN,Nicaragua,NIC,1320007,1358491,1400862,1444698,1489888,1536240,1589443,1646332,1701203,1759344,1817749,1877348,1940049,1999582,2059098,2122119,2185060,2240154,2298203,2356120,2417957,2476267,2535353,2598729,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Nicaragua,NIC,34.44045205,35.20695529,35.99196443,36.78392056,37.56628719,38.32664949,39.06246468,39.7759764,40.46557254,41.13063819,41.77158052,42.38615589,42.97603457,43.55057338,44.12251122,44.70107196,45.2901529,45.88764334,46.48931361,47.08820841,47.67925877,48.26148413,48.83691208,49.40706332,49.97434768,..
