Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Niger,NER,8.712402305,9.546064577,10.25262493,10.25183548,10.25104603,11.04049893,11.04049893,11.04049893,11.03970948,11.03970948,11.03260441,11.02865714,11.02076261,11.09181337,11.13523328,11.14944344,11.16049578,11.78258467,11.7786374,11.76284835,11.92073893,12.31546538,12.55230126,12.55230126,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Niger,NER,0.213369475,0.205313682,0.196815602,0.187900204,0.179541465,0.366443125,0.350042005,0.334330179,0.319387254,0.305652893,0.291999009,0.281147682,0.270255457,0.260338669,0.234255237,0.225773795,0.218319733,0.211203055,0.20409317,0.210448223,0.202868561,0.195685339,0.188481126,0.181380157,..,..
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,2480673305,2327986143,2344987608,1606581744,1563207237,1880803264,1987770781,1845599696,2076737446,2018193598,1798374533,1945327546,2170481498,2731416281,3052898686,3405134555,3646728060,4291363391,5403363917,5397121856,5718589799,6409169890,6942209595,7683045043,8168695870,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Niger,NER,-1.284355381,2.504203274,-6.516444601,1.449437876,4.004561704,2.605755854,3.419093099,2.753965624,10.42226252,-0.568758332,-1.40950935,7.104340612,2.999122036,5.299999998,0.100000001,4.499999999,5.800000002,3.146570396,9.587673209,-0.712671174,8.369239798,2.31140022,11.81366328,4.582355297,6.900771748,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,313.5376232,284.9838965,277.7654519,183.9772967,172.9386014,200.8994812,204.8882808,183.4781822,199.0612215,186.4996449,160.2183481,167.0912285,179.7352696,218.0471178,234.9104237,252.504595,260.56377,295.3931987,358.1914055,344.3756411,351.0062183,378.2005466,393.643423,418.492422,427.3732403,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Niger,NER,-4.286929558,-0.720057989,-9.544918786,-1.921599443,0.476932527,-0.932367611,-0.203319541,-0.895198817,6.466945268,-4.14098174,-4.950037735,3.260894197,-0.699867823,1.511117413,-3.514618753,0.707404195,1.94391558,-0.631361,5.537657185,-4.431870694,4.246549977,-1.639997364,7.443410646,0.463281362,2.678902991,..
Internet users (per 100 people),IT.NET.USER.P2,Niger,NER,0,..,..,..,..,..,0.001039305,0.002008766,0.002911503,0.028136022,0.036261294,0.105185431,0.127152469,0.155698704,0.189933734,0.221341351,0.294033977,0.39039062,0.7,0.76,0.83,1.3,1.4077,1.7,1.95,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Niger,NER,22.7477465,23.62507586,24.45020546,25.2824234,26.1339839,26.92613808,27.66188952,28.32379659,29.1640561,29.9704088,30.80365768,31.71448323,31.33851971,31.15382828,30.90274004,30.78732741,30.77011412,30.81013268,30.86000984,30.87080721,31.01240323,31.05928681,31.03524932,31.09666172,..,..
"Labor force, total",SL.TLF.TOTL.IN,Niger,NER,2343353,2435298,2540449,2660987,2784872,2919962,3056776,3200429,3350165,3500703,3664396,3805829,3959217,4110031,4268848,4429212,4580438,4734780,4899723,5084386,5274351,5467962,5676961,5899212,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Niger,NER,6.246059841,6.448909766,6.664821978,6.893897529,7.135934318,7.390788663,7.659058972,7.941075235,8.236091419,8.543012552,8.861232336,9.19105392,9.533426226,9.889259493,10.25973948,10.64611668,11.04881187,11.46888056,11.90899976,12.37245915,12.8617589,13.37845188,13.9226194,14.4934578,15.08938817,..
Population growth (annual %),SP.POP.GROW,Niger,NER,3.088857429,3.196024849,3.293215543,3.379336084,3.450658666,3.509125877,3.565467699,3.615955948,3.647720289,3.658781449,3.657214131,3.654476614,3.657356213,3.664509547,3.677817913,3.696774712,3.712770463,3.731442939,3.76570681,3.817856892,3.878551666,3.93868617,3.986946865,4.018254883,4.029436517,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Niger,NER,50.8282351,50.79351594,50.73714247,50.66316633,50.57678385,50.48265782,50.3813959,50.27545591,50.17253035,50.08107983,50.0059468,49.9486442,49.90618989,49.87323502,49.84302107,49.81132979,49.77727174,49.74270065,49.70969425,49.68102105,49.65820013,49.64120878,49.62861301,49.61875362,49.60963659,..
"Population, total",SP.POP.TOTL,Niger,NER,7911884,8168834,8442330,8732500,9039088,9361912,9701730,10058960,10432657,10821434,11224523,11642308,12075991,12526725,12996012,13485436,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863,19113728,..
Rural population,SP.RUR.TOTL,Niger,NER,6695986,6906831,7131321,7369357,7620765,7885258,8163521,8455864,8761345,9078858,9407722,9748104,10099755,10463448,10839974,11230671,11635464,12055319,12492750,12950561,13431279,13935772,14463810,15013878,15583614,..
Surface area (sq. km),AG.SRF.TOTL.K2,Niger,NER,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Niger,NER,..,4.400000095,4.599999905,4.400000095,4.400000095,4.5,4.5,4.5,4.400000095,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,..,..
