Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Nigeria,NGA,30.93426441,32.93916137,33.04895857,33.04895857,34.03713341,36.1232803,36.34287471,36.45267191,37.33104955,38.4290216,38.4290216,36.23307751,37.33104955,38.4290216,38.4290216,39.52699364,40.40537128,40.62496569,39.52699364,35.13510546,36.23307751,37.33104955,38.4290216,37.33104955,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Nigeria,NGA,0.31287569,0.305311587,0.240236117,0.233615026,0.239396773,0.259437686,0.253166542,0.296439852,0.28940143,0.326773823,0.273950664,0.405034041,0.396469725,0.389355331,0.380373199,0.372252227,0.364373846,0.354797269,0.344621488,0.335193741,0.325912723,0.316608843,0.307981547,0.298897886,..,..
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,30757075595,27392886873,29300921681,15789003753,18086400536,28546958641,34987951375,35822342618,32004613750,35870792988,46385996029,44138014092,59116868251,67655840108,87845403978,1.12E+11,1.45E+11,1.66E+11,2.08E+11,1.69E+11,3.69E+11,4.12E+11,4.61E+11,5.15E+11,5.69E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nigeria,NGA,12.76600917,-0.617850589,0.433725357,2.090377801,0.909763335,-0.307468969,4.993705537,2.802256439,2.715640179,0.474237575,5.318093381,4.411065196,3.784648183,10.35418456,33.73577503,3.444666813,8.210964859,6.828398348,6.270263697,6.934416004,7.839739477,4.887386611,4.279277314,5.394416311,6.309718253,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,321.6683709,279.2757823,291.2834845,153.0756655,171.0247982,263.2880379,314.7399021,314.2998494,273.8697972,299.3567659,377.5002693,350.2601822,457.3970476,510.2962953,645.7638712,804.0059952,1014.734742,1131.147695,1376.857449,1091.968527,2314.963537,2514.148622,2739.852189,2979.834679,3203.296824,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nigeria,NGA,9.891245225,-3.118570354,-2.069340619,-0.436155105,-1.578789606,-2.76402753,2.405969268,0.267352001,0.179287308,-2.012366301,2.703505414,1.810865007,1.189878666,7.578130355,30.34223811,0.79356946,5.412248589,4.044670403,3.483204925,4.11548586,4.986828718,2.104025414,1.508833217,2.603613254,3.518654246,..
Internet users (per 100 people),IT.NET.USER.P2,Nigeria,NGA,0,..,..,..,..,..,0.00883298,0.017237401,0.025231461,0.041038723,0.064080808,0.08990137,0.320461976,0.558576245,1.286137641,3.549155718,5.545036083,6.77,15.86,20,24,28.43,32.8,38,42.68,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Nigeria,NGA,34.12893294,34.61818951,35.13495564,35.56270821,36.1385917,36.62488808,37.20155046,37.77605892,38.41750159,39.08062079,39.72735813,40.54534591,41.29623961,42.11393405,42.95426878,42.94171975,42.85640576,42.75821762,42.67201548,42.66300627,42.56510896,42.48529108,42.48196892,42.40300099,..,..
"Labor force, total",SL.TLF.TOTL.IN,Nigeria,NGA,30043881,30788219,31635543,32532154,33417326,34343507,35194224,36095012,36972865,37946736,38875613,39626299,40482284,41221986,42063952,43250245,44459832,45659878,47008096,48330258,49706559,51167238,52600554,54199112,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Nigeria,NGA,104.9851719,107.6950668,110.4477069,113.2504288,116.1139344,119.0474236,122.0556793,125.1414243,128.309772,131.565852,134.9152069,138.360876,141.9088057,145.5707632,149.3607837,153.2893079,157.3591697,161.5693336,165.9207956,170.4131065,175.0439101,179.8156165,184.7232594,189.7477047,194.8636714,..
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.582375959,2.548465814,2.523838988,2.505938221,2.497035156,2.495002959,2.495539656,2.496716407,2.500294151,2.506006814,2.513898244,2.521883092,2.531932308,2.547767524,2.570243309,2.596229102,2.620386021,2.640346329,2.657617849,2.671498798,2.681132982,2.689511557,2.692683733,2.683650951,2.660487333,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Nigeria,NGA,49.51102125,49.50165996,49.49376523,49.4859993,49.47660914,49.46448333,49.44948012,49.4321718,49.41309135,49.39297473,49.37236241,49.3514114,49.33009253,49.30852109,49.28679055,49.26501331,49.24333132,49.2219011,49.20086819,49.1803744,49.16053557,49.14140578,49.12304567,49.1055609,49.08905422,..
"Population, total",SP.POP.TOTL,Nigeria,NGA,95617345,98085436,100592458,103145093,105753088,108424822,111164651,113975055,116860691,119826231,122876723,126014935,129246283,132581484,136033321,139611303,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517,177475986,..
Rural population,SP.RUR.TOTL,Nigeria,NGA,67238117,68487175,69733710,70982390,72238877,73506608,74786019,76081768,77393330,78721041,80066473,81066668,82061050,83054345,84052268,85059582,86072498,87086322,88097421,89107526,90106864,91118725,92138539,93158472,94165209,..
Surface area (sq. km),AG.SRF.TOTL.K2,Nigeria,NGA,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Nigeria,NGA,..,7.199999809,7.199999809,7.199999809,7.300000191,7.400000095,7.300000191,7.400000095,7.400000095,7.5,7.400000095,7.400000095,7.099999905,7.400000095,7.400000095,7.5,7.5,7.400000095,7.5,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Nigeria,NGA,..,7.400000095,7.400000095,7.400000095,7.400000095,7.5,7.5,7.5,7.5,7.5,7.599999905,7.599999905,7.699999809,7.599999905,7.699999809,7.599999905,7.599999905,7.599999905,7.599999905,7.599999905,7.599999905,7.599999905,7.5,7.5,..,..
