Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Norway,NOR,2.354583909,2.428506893,2.403865898,2.423031116,2.453147887,2.702295719,2.724198825,2.455885775,2.458623664,2.414817451,2.406603786,2.412079563,2.403865898,2.38470068,2.379224904,2.360059686,2.349108133,2.334323536,2.313789374,2.286136703,2.260674342,2.239592602,2.222891484,2.207504552,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Norway,NOR,2.350964956,1.911798032,1.678696548,1.492913327,1.523822189,1.397213129,1.360010207,1.485934954,1.229979286,1.315132466,1.137028817,1.120178356,1.105915066,1.110010837,1.037311256,1.937212072,0.651686565,0.755120712,0.733289773,1.019702031,0.937413735,0.927968046,0.962579893,0.957296062,..,..
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,1.20E+11,1.22E+11,1.31E+11,1.21E+11,1.27E+11,1.52E+11,1.64E+11,1.61E+11,1.54E+11,1.62E+11,1.71E+11,1.74E+11,1.95E+11,2.29E+11,2.64E+11,3.09E+11,3.45E+11,4.01E+11,4.62E+11,3.86E+11,4.29E+11,4.98E+11,5.10E+11,5.22E+11,5.00E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Norway,NOR,1.932438873,3.084674239,3.574481372,2.845234641,5.055453529,4.153950574,5.027995446,5.284684789,2.624396897,2.013307554,3.205285078,2.085328036,1.437708803,0.919841886,3.959038034,2.624720534,2.395092466,2.929766044,0.38430604,-1.622533268,0.601934441,0.96877971,2.748768782,0.742155987,2.23473697,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,28242.94374,28596.933,30523.98506,27963.66522,29315.84191,34875.19739,37321.44339,36628.51742,34788.77856,36371.39579,38146.71539,38549.58934,43061.15038,50111.65445,57570.26916,66775.3944,74114.69715,85128.65759,96880.50961,80017.77681,87646.2701,100575.1173,101563.7027,102832.2587,97363.09325,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Norway,NOR,1.582239897,2.594640512,2.978391814,2.234887923,4.458979881,3.614661841,4.496974735,4.715355143,2.015176105,1.317148036,2.537605634,1.570033303,0.892136998,0.329646557,3.346523465,1.928146091,1.573721896,1.870207491,-0.85905242,-2.855407948,-0.643457019,-0.332518192,1.408048397,-0.468624542,1.103173151,..
Internet users (per 100 people),IT.NET.USER.P2,Norway,NOR,0.707299448,1.407395158,2.216365832,2.783990846,4.152450292,6.423220493,18.25031077,20.41788144,22.56011255,40,52,64,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.48998265,94.64997805,95.0534,96.3,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Norway,NOR,44.61831853,45.25752852,45.15329997,45.46387616,45.50493234,45.73051263,45.84643137,45.9273902,46.04834539,46.33279554,46.40290406,46.61422945,46.84756,47.0223542,46.98924557,46.93943162,46.86722049,47.13141564,47.23493794,47.31197678,47.02151642,47.20757526,47.02646759,47.12582989,..,..
"Labor force, total",SL.TLF.TOTL.IN,Norway,NOR,2169322,2144578,2144521,2143460,2165607,2197231,2257336,2308311,2347194,2357177,2374610,2383549,2405248,2396373,2410077,2426167,2455168,2516154,2591063,2593895,2608240,2634789,2680297,2695091,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Norway,NOR,11.61267916,11.66814604,11.735687,11.80574957,11.87316185,11.93495873,11.99560843,12.06082766,12.13285329,12.21621925,12.29576586,12.3581459,12.42497228,12.49806294,12.57213651,12.65805418,12.76041287,12.89313475,13.05483169,13.22051226,13.38622568,13.56100152,13.74029213,13.90744021,14.06309464,..
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.344151413,0.476503585,0.577180268,0.59522933,0.569388228,0.51912552,0.506881683,0.542219936,0.595410343,0.684759433,0.649044821,0.506046911,0.539290805,0.586532692,0.59093094,0.681072964,0.805392739,1.034734515,1.246333015,1.261127289,1.24566618,1.297189391,1.313440989,1.209141589,1.11300003,..
