Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Oman,OMN,0.113085622,0.113085622,0.113085622,0.093699515,0.093699515,0.090468498,0.090468498,0.093699515,0.100161551,0.100161551,0.100161551,0.100161551,0.100161551,0.100161551,0.093699515,0.090468498,0.084006462,0.090468498,0.096930533,0.119547658,0.11082391,0.119224556,0.108885299,0.12180937,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Oman,OMN,5.84281726,4.878393427,5.397910854,4.966553808,4.637241822,6.063129967,5.983072526,6.011417929,6.090536654,6.144491765,6.165704268,6.091950214,5.702227456,5.476490294,5.126458335,5.030395619,4.858383295,4.620122699,4.370235165,4.03300543,3.632269078,3.15593191,2.716073782,2.367455248,..,..
GDP (current US$),NY.GDP.MKTP.CD,Oman,OMN,11685045514,11341482445,12452275683,12493107932,12918855657,13802600780,15277763329,15837451235,14085373212,15710148244,19507412224,19452015605,20142782835,21633810143,24763589077,31081924577,37215864759,42085305592,60905331599,48388296489,58641352406,67937581274,76341482445,78182574772,81796618986,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Oman,OMN,-0.13042574,6.074078508,8.413883633,6.042960275,3.875774308,4.996819663,3.045940005,6.033512307,2.642337974,-0.124806894,5.401372717,4.482454096,-1.10056525,-2.668969447,1.292112564,2.49045836,5.372068299,4.452694304,8.199695813,6.112453761,4.802852057,-1.091025209,7.08065789,3.912783126,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,6448.134801,5993.348171,6289.301294,6046.230265,6038.149179,6297.197627,6882.594636,7109.660475,6330.726745,7059.214725,8710.987805,8559.565811,8670.263784,9070.494699,10115.04361,12398.59435,14575.1604,16225.65999,22963.37816,17518.83331,19920.64957,21164.33576,21533.8076,20011.34778,19309.61245,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Oman,OMN,-3.998874864,1.579308231,3.618879721,1.6113825,0.318233472,2.49029618,1.750582152,5.660899708,2.76569763,-0.14989371,4.746109724,2.958627984,-3.257006064,-5.193865109,-1.319386709,0.090720025,3.453737198,2.826796249,5.811926043,1.894499158,-1.665079238,-9.295101028,-3.043549385,-5.7079434,..,..
Internet users (per 100 people),IT.NET.USER.P2,Oman,OMN,0,..,..,..,..,..,0,0.439792805,0.862725306,2.515665987,3.520421417,5.893841521,6.873396039,7.255742945,6.75885217,6.68358142,8.299716673,16.68,20,26.8,35.8278,48,60,66.45,70.22,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Oman,OMN,12.69571155,12.21465604,11.70822287,11.4088836,11.29923592,11.52450378,12.22532826,13.20754954,14.4435996,15.7778747,16.89299993,17.70387005,18.30983999,18.80241868,19.04251429,19.19905166,19.10750465,19.04335936,18.68768347,18.17666966,17.33040588,16.13050517,14.96799367,14.05306324,..,..
"Labor force, total",SL.TLF.TOTL.IN,Oman,OMN,547681,594458,648399,704714,754759,790021,800592,796817,786466,779560,776878,784642,808456,841780,877799,914441,967400,1017289,1075457,1165384,1293957,1489259,1730439,1985254,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Oman,OMN,5.855117932,6.114200323,6.397137318,6.676135703,6.91288853,7.081951535,7.172109855,7.197402262,7.18876252,7.190568659,7.235550889,7.342639742,7.506310178,7.706219709,7.91015832,8.09980937,8.250003231,8.380452342,8.569567044,8.924306947,9.511298869,10.37157674,11.45457835,12.6233021,13.68677544,..
Population growth (annual %),SP.POP.GROW,Oman,OMN,3.950516574,4.329784861,4.523660869,4.268873627,3.484823958,2.41619381,1.265036255,0.352029116,-0.120111825,0.025121321,0.623624046,1.469191644,2.204560805,2.628373342,2.612003949,2.369273009,1.837306516,1.568829987,2.231531948,4.056146028,6.370177491,8.658861205,9.932044759,9.715497284,8.08855916,..
