Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Pakistan,PAK,38.5922582,38.67009132,38.81278539,39.2149232,39.24086758,39.51328352,39.63003321,40.2656704,40.3694479,40.35647572,40.2656704,40.60294728,40.49916978,40.46025322,39.31870071,39.13709008,39.33167289,39.15006227,38.21606476,38.16417601,38.12525944,39.04628477,39.22789539,39.52625571,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Pakistan,PAK,1.772359271,1.778277892,1.777425616,1.750030105,1.68848603,2.448256348,2.323563736,2.223317116,2.163805415,2.083427533,2.16704842,2.131028443,2.072790142,1.993104341,1.939223718,1.846779428,1.764210361,1.725963023,1.684580901,1.625823227,1.614219244,1.572516089,1.533254342,1.489099604,..,..
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,40010425587,45451961234,48635242274,51478354558,51894795658,60636071684,63320170084,62433340468,62191955814,62973855719,73952374970,72309738921,72306820396,83244801093,97977766198,1.10E+11,1.37E+11,1.52E+11,1.70E+11,1.68E+11,1.77E+11,2.14E+11,2.25E+11,2.32E+11,2.47E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pakistan,PAK,4.458586816,5.061567753,7.705897824,1.757747697,3.737415554,4.962609149,4.846581284,1.014396016,2.550234294,3.660132744,4.260088011,1.982484033,3.224429973,4.846320936,7.368571358,7.667304272,6.177542036,4.832817277,1.701405465,2.831658519,1.606691959,2.74840255,3.507044054,4.408712308,5.411811496,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,371.817707,410.830281,428.0662199,441.5725594,434.0302614,494.5856103,503.7498281,484.5590062,471.1023571,465.9272423,534.915837,511.8111261,501.1854545,565.3238448,652.020213,714.03681,876.9511089,953.795686,1042.801705,1009.799319,1043.300205,1230.815428,1266.380758,1281.987908,1334.147244,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Pakistan,PAK,1.471681316,2.187270485,4.879242091,-0.828922414,1.147279848,2.364373443,2.26256773,-1.453652821,0.089293037,1.248481244,1.928022414,-0.205826653,1.085475443,2.72453541,5.213269384,5.499027673,4.02867382,2.704580341,-0.374634207,0.717237941,-0.498374635,0.603307135,1.334932635,2.218809723,3.217697004,..
Internet users (per 100 people),IT.NET.USER.P2,Pakistan,PAK,0,..,..,..,..,0.000122702,0.00299173,0.027549238,0.043947719,0.055357238,..,1.318550779,2.577426737,5.041158126,6.164320985,6.332329098,6.5,6.8,7,7.5,8,9,9.96,10.9,13.8,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Pakistan,PAK,12.66611075,13.08590952,13.10158196,13.65938325,13.94836185,12.22273171,13.17747814,14.15566813,14.58243991,14.76796388,15.16947619,15.1500961,15.38626878,16.13499311,16.8415558,17.8322094,18.97266227,19.32053502,19.74538063,20.76442113,21.62335238,21.77192576,22.00990329,22.11493118,..,..
"Labor force, total",SL.TLF.TOTL.IN,Pakistan,PAK,31032083,31772312,32631464,33142287,34350299,34555205,35936178,37511518,38543207,40030190,41531144,42608535,43853933,45607246,47493231,49870601,52318024,53361514,54672352,56648225,58604183,60158367,61816228,63649201,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Pakistan,PAK,139.5906483,143.5170182,147.385021,151.229251,155.1018641,159.0386947,163.0573513,167.1410492,171.2506227,175.3296648,179.3411257,183.2737612,187.1518083,191.0174476,194.9304548,198.9367774,203.0461148,207.2536218,211.5724691,216.0141436,220.584161,225.2875259,230.1165577,235.0465001,240.0429198,..
