Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Palau,PLW,..,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,76888000,83855000,82451000,75907000,83527000,95237000,108203000,113213000,117320000,113485000,150074726.2,160739441.9,164169207.8,160537683.5,175741581.2,193525912.2,194499458.9,195669929.1,198980088.7,186821706,184324923.8,201223885.2,215815865.6,228567644.1,250625562.8,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Palau,PLW,..,..,-6.40000049,-12.30004512,7.299994923,10.90004356,10.40001155,2.300001648,1.999949998,-5.399949781,-5.504118681,5.262850439,7.124791472,-4.681020028,7.044855211,2.486197909,-1.847272729,0.056319392,-4.676989676,-10.74284236,1.789224212,8.317675714,4.568747664,-2.034081529,7.951975484,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,5095.63258,5420.140909,5187.555052,4644.050168,4970.365963,5519.385685,6114.891212,6246.923798,6333.405312,6011.494862,7826.991041,8283.830236,8386.677281,8149.120988,8873.596628,9721.500588,9719.141458,9726.11239,9837.350507,9183.13537,9004.637216,9765.305503,10397.75803,10926.3179,11879.67781,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Palau,PLW,..,..,-8.891053705,-14.71990927,4.362893009,8.007837266,7.654829003,-0.115956014,-0.208103335,-7.173888639,-6.962905626,4.015146068,6.188988696,-5.285835891,6.477336413,1.961076485,-2.362265552,-0.470868691,-5.190669812,-11.25616754,1.162675983,7.602776952,3.813047522,-2.797427994,7.041161072,..
Internet users (per 100 people),IT.NET.USER.P2,Palau,PLW,0,..,..,..,..,..,..,..,..,..,..,..,20.24393947,21.60152718,26.97033263,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Palau,PLW,..,33.6326087,34.55217391,35.5326087,36.5326087,37.51086957,38.4673913,39.39782609,40.26956522,41.03913043,41.6826087,42.1826087,42.55434783,42.82608696,43.05434783,43.27608696,43.50434783,43.73478261,43.97173913,44.22608696,44.5,44.79565217,45.12173913,45.47608696,45.86304348,..
Population growth (annual %),SP.POP.GROW,Palau,PLW,2.190969018,2.500130221,2.697437578,2.798036066,2.7754421,2.642549537,2.518015725,2.389973603,2.188533879,1.893003428,1.555797175,1.192403573,0.877401149,0.636539387,0.531579533,0.51369976,0.526066495,0.528284309,0.540340886,0.576768255,0.617437155,0.662189585,0.725306598,0.78224754,0.847301337,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Palau,PLW,15089,15471,15894,16345,16805,17255,17695,18123,18524,18878,19174,19404,19575,19700,19805,19907,20012,20118,20227,20344,20470,20606,20756,20919,21097,..
Rural population,SP.RUR.TOTL,Palau,PLW,4588,4647,4715,4788,4862,4930,5104,5304,5501,5688,5759,5506,5239,4968,4699,4439,4198,3975,3769,3580,3407,3249,3105,2976,2858,..
Surface area (sq. km),AG.SRF.TOTL.K2,Palau,PLW,..,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
