Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Panama,PAN,6.712402475,6.712402475,6.725854183,6.725854183,6.725854183,6.725854183,6.725854183,6.860371267,6.994888351,7.129405434,7.371536185,7.371536185,7.371536185,7.371536185,7.371536185,7.371536185,7.263922518,7.263922518,7.263922518,7.263922518,7.652542373,7.600215227,7.573311811,7.573311811,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Panama,PAN,1.172675384,1.250377718,1.094152847,1.0484798,1.013660457,1.040224054,1.011550536,0.986223791,0.942574827,0.926985005,0.902995343,0.88098228,0.858891419,0.834572815,..,0.801784773,0.79356262,0.770638667,0.736426283,0.718950333,0.710137329,0.695745747,0.681236421,0.666906012,..,..
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,5313200000,5842300000,6641400000,7252700000,7733900000,7906100000,9322100000,10084000000,10932500000,11456300000,11620500000,11807500000,12272400000,12933200000,14179300000,15464700000,17137000000,21121900000,24884000000,25925100000,28814100000,33270500000,37956200000,42648100000,46212600000,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Panama,PAN,8.098992753,9.419006662,8.201680025,5.455743309,2.850147742,1.751678624,2.810584059,6.460990549,7.341501753,3.917206421,2.715373567,0.574272925,2.228887218,4.205763358,7.52208031,7.191279079,8.527761146,12.11266105,9.146904398,3.974164892,5.851873793,10.77019485,10.24710466,8.352293815,6.161704916,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,2150.21388,2315.707196,2578.853972,2759.24278,2882.857697,2887.413832,3335.462253,3534.848439,3755.088218,3857.089421,3836.730058,3825.050933,3902.531475,4038.456074,4348.663487,4659.023089,5072.219262,6142.947966,7112.398708,7283.556981,7958.58369,9036.037414,10138.52113,11206.42471,11948.85114,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Panama,PAN,5.850752788,7.168477737,5.998892078,3.322123977,0.771882526,-0.307230942,0.724093994,4.300451998,5.179321432,1.859639485,0.729470188,-1.319863767,0.348590713,2.325575711,5.606171646,5.295983603,6.622952139,10.16288301,7.266341893,2.200405981,4.065361425,8.920815434,8.427734614,6.589301275,4.463901594,..
Internet users (per 100 people),IT.NET.USER.P2,Panama,PAN,0,..,..,..,0.007636899,0.056123043,0.219998526,0.539065541,2.750648071,3.836864509,6.554796477,7.268399878,8.518077815,9.987424077,11.14086254,11.48400928,17.34956617,22.29,33.82,39.08,40.1,42.7,40.30189522,44.03,44.92,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Panama,PAN,32.68971223,33.04039762,32.94921937,33.05122872,33.66237366,34.19763023,34.46978464,34.87329114,34.94708002,34.98967747,35.41088584,35.83283436,36.25475302,36.5619985,36.44300059,37.03711128,36.42049032,36.85354654,36.81124965,37.47534599,37.30244867,37.3995807,37.49621772,37.51568619,..,..
"Labor force, total",SL.TLF.TOTL.IN,Panama,PAN,938026,959710,1005344,1049138,1085176,1134371,1166526,1196483,1251890,1272944,1306762,1339414,1373864,1413897,1458752,1496661,1512168,1557150,1629491,1669100,1689814,1724768,1761503,1799354,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Panama,PAN,33.23930589,33.93732849,34.64258811,35.35796341,36.08716707,36.83245897,37.59543987,38.37421308,39.16307506,39.95417003,40.74187517,41.52390369,42.30196395,43.07924401,43.86078827,44.65026903,45.44794189,46.25232715,47.06320958,47.88002421,48.70199085,49.52890772,50.35998117,51.19293785,52.02495292,..
Population growth (annual %),SP.POP.GROW,Panama,PAN,2.101729747,2.078245595,2.056825136,2.043984492,2.041367904,2.044217438,2.050326931,2.05029365,2.034864062,1.999870785,1.952338945,1.901281641,1.856426019,1.820778967,1.797941153,1.783961746,1.770720391,1.754424273,1.737980344,1.72068036,1.70215228,1.68365843,1.664034174,1.640475475,1.612187734,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Panama,PAN,49.45309813,49.47498931,49.49575394,49.51506766,49.53267579,49.54854143,49.5624981,49.57474203,49.58598714,49.59714739,49.60889819,49.62138232,49.63456299,49.64851018,49.66339131,49.67919451,49.69590955,49.7135003,49.73185594,49.75084291,49.77030835,49.79023509,49.81044463,49.83052976,49.84996904,..
"Population, total",SP.POP.TOTL,Panama,PAN,2471010,2522901,2575330,2628511,2682720,2738125,2794845,2852739,2911383,2970193,3028751,3086887,3144728,3202511,3260611,3319301,3378600,3438398,3498679,3559401,3620506,3681979,3743761,3805683,3867535,..
Rural population,SP.RUR.TOTL,Panama,PAN,1139061,1141436,1143215,1144559,1145495,1146152,1146501,1146601,1146153,1144980,1144928,1157768,1170185,1182271,1194134,1205935,1217647,1229193,1240632,1251913,1263014,1273781,1284185,1294161,1303669,..
Surface area (sq. km),AG.SRF.TOTL.K2,Panama,PAN,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Panama,PAN,..,22.70000076,21.5,20.29999924,20.5,20.20000076,20.29999924,18.29999924,20.89999962,17.10000038,17.79999924,18.89999962,18.5,18.10000038,16.5,13.39999962,11.89999962,8.800000191,7.699999809,9,8.600000381,5,5,5.099999905,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Panama,PAN,..,16.10000038,14.69999981,13.30000019,14,14,14.5,13.39999962,14,11.80000019,13.5,14,13.5,13,11.69999981,9.800000191,8.699999809,6.400000095,5.599999905,6.599999905,6.5,4.5,4,4.099999905,..,..
