Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Papua New Guinea,PNG,0.423972089,0.423972089,0.423972089,0.426180276,0.426180276,0.428388464,0.430596652,0.435013028,0.439429404,0.448262156,0.452678532,0.463719472,0.485801351,0.496842291,0.507883231,0.529965111,0.55204699,0.55204699,0.662456388,0.662456388,0.662456388,0.662456388,0.662456388,0.662456388,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Papua New Guinea,PNG,0.229998074,0.224026632,0.219764522,..,0.210148049,0.192424354,0.182950859,0.204913638,0.197503464,0.191782093,0.189602868,0.184290878,0.126166891,0.122751324,0.115576695,0.112446349,0.10950184,0.106818739,0.10434416,0.104982468,0.102432542,0.099883233,0.059568934,0.057942286,..,..
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,3219730365,3787352287,4377984100,4974662910,5502648500,4636113480,5155485420,4936605080,3789428160,3477060138,3521348155,3081029666,2999542369,3536459111,3927114466,4865971718,5527793929,6340575790,8000108638,8105204448,9716124252,12873212504,15391272798,15413163675,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Papua New Guinea,PNG,-3.01216922,9.546897887,13.8490849,18.20228618,5.942109147,-3.312448872,7.733695867,-3.904389613,-3.769113351,1.855553847,-2.494841729,-0.121288758,-0.158900358,2.164102531,2.721175412,6.344796039,2.294466151,7.151762439,6.610958325,6.14148229,7.674331651,10.66932893,8.087543144,5.537412004,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,774.3639919,888.6466039,1001.962989,1110.245078,1197.234913,983.0753347,1065.114498,993.4574037,742.7872918,663.9585833,655.2502302,558.8829823,530.5840587,610.2002911,661.125039,799.4164059,886.410179,992.6584062,1223.208263,1210.852678,1418.926635,1838.722503,2151.16037,2108.831643,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Papua New Guinea,PNG,-5.356376392,6.872955386,11.04874688,15.26662454,3.281138656,-5.768587472,4.965251327,-6.395294453,-6.268749919,-0.774632688,-4.983939368,-2.635705942,-2.639331662,-0.344127229,0.222736466,3.779045841,-0.153797019,4.61345737,4.120259612,3.706973268,5.2571806,8.240464776,5.765650614,3.313793091,..,..
Internet users (per 100 people),IT.NET.USER.P2,Papua New Guinea,PNG,0,..,..,..,..,..,0.002067023,0.100588321,0.234958542,0.667113315,0.835249302,0.904103545,1.321656935,1.374404668,1.507912772,1.716190476,1.754487261,1.790559361,1.15,1.61,1.28,2,3.5,6.5,9.38,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Papua New Guinea,PNG,48.09915217,48.13430621,48.36660019,48.59970273,48.63162098,48.59869496,48.76223855,48.65478962,48.47956781,48.57233842,48.45986452,48.48077302,48.4965994,48.43977127,48.44990463,48.39207343,48.39831659,48.33537238,48.40616034,48.3414802,48.27057523,48.33707305,48.26616779,48.26208211,..,..
"Labor force, total",SL.TLF.TOTL.IN,Papua New Guinea,PNG,1739145,1785502,1820130,1850857,1903420,1974802,2022401,2098445,2177177,2242128,2320640,2387530,2457063,2525431,2595679,2667939,2739680,2808496,2875101,2952874,3026382,3103624,3189582,3279125,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Papua New Guinea,PNG,9.181431347,9.411149141,9.648471934,9.894203507,10.14912114,10.41365764,10.68831648,10.97274213,11.26536457,11.56397783,11.86691472,12.17337588,12.48351367,12.79771011,13.11674248,13.44103034,13.77060902,14.10473435,14.44213885,14.78116636,15.1206046,15.45990372,15.7992978,16.13934549,16.48098088,..
