Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Paraguay,PRY,5.310848226,5.411527813,5.789076265,5.789076265,6.166624717,6.544173169,6.544173169,6.544173169,7.173420589,7.425119557,7.601308835,7.815252957,8.079536874,8.255726152,8.482255223,8.708784294,8.935313365,9.161842436,9.456330229,10.11829851,10.43292223,10.83564057,11.11250944,11.32645356,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Paraguay,PRY,0.892738078,0.864814846,0.839015038,0.813890258,0.789283114,1.3515398,1.666000267,1.666334193,1.665495268,1.602531817,1.548517029,1.429605416,1.386076159,1.343946487,0.937419807,0.948098077,0.959668811,0.934997533,0.916117466,0.865135711,0.871222378,0.852322487,0.83174039,0.812586048,..,..
GDP (current US$),NY.GDP.MKTP.CD,Paraguay,PRY,5695201563,6984367763,7157424031,7249533620,7870982171,9062131308,9788391733,9965225497,9024567484,8392549702,8195993231,7662595076,6325151760,6588103836,8033877360,8734653762,10646243498,13794987109,18503387745,15933721805,20047518281,25099681461,24595319574,28896660618,30984747863,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Paraguay,PRY,4.12328288,3.493650155,1.696428011,4.936359415,5.317919883,6.822807819,1.573789449,4.242511162,0.068035126,-1.366071238,-2.314146032,-0.834057908,-0.021401975,4.320749918,4.057419171,2.133486167,4.807120262,5.421622463,6.35911702,-3.965695886,13.09300368,4.342407086,-1.238968506,14.22460271,4.350129148,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,1351.578779,1615.479607,1614.673376,1596.144879,1692.239625,1903.467994,2009.649903,2000.910277,1773.24128,1614.903727,1545.625548,1417.26032,1148.229049,1174.779765,1408.527483,1507.145943,1809.724779,2312.205356,3059.86223,2600.215346,3228.327756,3988.024567,3855.572185,4469.245274,4728.678023,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Paraguay,PRY,1.4093128,0.868559853,-0.811972136,2.414228215,2.842580069,4.362935346,-0.716862743,1.94743054,-2.074381366,-3.40878894,-4.262593343,-2.740149607,-1.872469296,2.472927318,2.309781145,0.516566003,3.251723938,3.948604188,4.934969922,-5.230659729,11.59909018,2.951686279,-2.561100367,12.69634203,2.967041857,..
Internet users (per 100 people),IT.NET.USER.P2,Paraguay,PRY,0,..,..,..,..,..,0.020359612,0.099576719,0.194904951,0.38165732,0.747630712,1.098793836,1.794969598,2.111942082,3.452438431,7.907007861,7.962073884,11.21,14.27,18.9,19.8,24.76351588,29.34,36.9,43,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Paraguay,PRY,36.75609112,37.01202147,37.17822462,37.40949922,37.57081349,37.67954466,36.8893395,36.01857534,35.19096331,35.8337561,36.69405772,37.40429883,37.71882574,37.96009042,38.19727922,38.44473233,38.81052004,39.04499352,38.74359422,39.29776136,38.70716076,38.85425085,38.94718334,39.09777725,..,..
"Labor force, total",SL.TLF.TOTL.IN,Paraguay,PRY,1792239,1850107,1906998,1965867,2027156,2093908,2100840,2100419,2101477,2184044,2260227,2336309,2409680,2485218,2560219,2636858,2709268,2780756,2838064,2941735,2921183,2985959,3059849,3131976,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Paraguay,PRY,10.6059401,10.88195822,11.1571558,11.43192046,11.70707777,11.98301787,12.25948905,12.53547949,12.80973068,13.08063176,13.34684873,13.60841933,13.86512711,14.11514724,14.35625975,14.58719607,14.80693934,15.01676315,15.22056632,15.42372766,15.63019633,15.84133652,16.05628492,16.27402215,16.49262019,..
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,2.641068025,2.569197796,2.497485949,2.432841522,2.378411372,2.32968731,2.280978352,2.226272915,2.164210896,2.092755324,2.014766182,1.94083629,1.868817695,1.787164681,1.693757345,1.595809584,1.495178257,1.407117529,1.348044032,1.325952007,1.329762422,1.341805404,1.347759774,1.346974638,1.334291611,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Paraguay,PRY,49.45943509,49.45808879,49.45476137,49.44972393,49.44350108,49.43651904,49.42849018,49.41933753,49.40993919,49.40132982,49.39407317,49.38879615,49.38497245,49.3806469,49.37334122,49.36158149,49.34497995,49.32480859,49.30336386,49.28370437,49.26804508,49.25681186,49.24958796,49.24661315,49.24793797,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,4213740,4323402,4432738,4541902,4651222,4760853,4870695,4980346,5089306,5196935,5302703,5406625,5508615,5607948,5703742,5795493,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669,6552518,..
Rural population,SP.RUR.TOTL,Paraguay,PRY,2161901,2185955,2208124,2232617,2256401,2278973,2300234,2320144,2338333,2354575,2368664,2380753,2390739,2417418,2445650,2471778,2495600,2517362,2537739,2557763,2577906,2598443,2619284,2639674,2659274,..
Surface area (sq. km),AG.SRF.TOTL.K2,Paraguay,PRY,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406752,406752,406752,406752,406752,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Paraguay,PRY,..,8.600000381,6.300000191,9.100000381,8.100000381,3.900000095,5.300000191,6.699999809,6.699999809,7.5,9.199999809,9.199999809,13.60000038,10.10000038,9.399999619,7.300000191,8.399999619,7.699999809,7.599999905,8.199999809,7.099999905,5.599999905,6,6.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Paraguay,PRY,..,6.5,5,7,6.199999809,3.400000095,4.400000095,5.300000191,5.300000191,6.599999905,7.599999905,7.599999905,10.69999981,7.900000095,7.400000095,5.800000191,6.699999809,5.599999905,5.599999905,6.5,5.699999809,4.300000191,4.900000095,5.199999809,..,..
