Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Peru,PER,2.734375,2.7734375,2.8125,2.8125,2.8140625,2.921875,3.015625,3.09375,3.21484375,3.30078125,3.4453125,3.34375,2.98046875,2.99609375,2.921875,3.0703125,3.109375,3.1328125,3.1484375,3.23046875,3.19140625,3.1484375,3.2421875,3.24609375,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Peru,PER,1.509539322,1.483151221,1.282565277,1.22246213,1.166751013,1.758300246,1.818401604,1.81515369,1.75277664,1.603460017,1.616103695,1.391635031,1.484778401,1.418825278,1.2384109,1.218783897,1.475583124,1.357926619,1.27119476,1.242135889,1.217558641,1.194297454,1.173530147,1.15204705,..,..
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,25710059622,33754327787,35180305886,34226387990,43691809738,51989657476,53975906967,56834214510,54534815230,49332958382,50980876641,51592179834,54437301561,59030478080,66694730478,74948136108,87862945391,1.02E+11,1.22E+11,1.21E+11,1.49E+11,1.71E+11,1.93E+11,2.02E+11,2.03E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Peru,PER,-4.982563536,2.219259103,-0.540509125,5.243577008,12.30812867,7.411635008,2.799117578,6.476802058,-0.391710242,1.494863143,2.694311073,0.617831087,5.453764602,4.164850559,4.9582783,6.285172088,7.528816844,8.518441947,9.143148205,1.04923237,8.45074688,6.452215996,5.950346345,5.773430684,2.350705442,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,1177.920121,1514.79293,1547.267416,1476.279342,1849.830539,2162.742808,2208.409604,2289.172201,2164.101954,1929.98651,1967.24378,1964.565961,2046.402544,2191.367377,2445.432139,2714.488737,3143.580588,3611.250431,4244.513114,4178.814663,5056.329094,5731.346567,6388.758458,6620.629668,6550.924701,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Peru,PER,-6.975501367,0.12528803,-2.526133335,3.213690072,10.23909233,5.537629857,1.10698148,4.819943609,-1.863457438,0.059264149,1.293167941,-0.709703628,4.10553705,2.864521175,3.66732693,4.987064658,6.222495567,7.20357565,7.812184763,-0.20341442,7.076982619,5.070596384,4.549057132,4.366047565,1.003504568,..
Internet users (per 100 people),IT.NET.USER.P2,Peru,PER,0,..,..,..,0.008504578,0.033412305,0.24623258,0.403429701,1.19038044,1.952497608,3.076430611,7.578762957,8.96694917,11.6,14.1,17.1,20.7,25.2,30.57,31.4,34.77,36.01,38.2,39.2,40.2,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Peru,PER,37.66562665,36.8379433,37.16484823,37.59398496,38.00541414,39.16213825,40.30849709,41.52170325,41.43362796,42.71458802,41.41454961,43.10909507,43.03169676,42.88525255,42.7138568,42.61620736,42.05918668,44.07764652,44.01378747,44.93966778,44.94471872,45.00941349,45.13225807,45.19498576,..,..
"Labor force, total",SL.TLF.TOTL.IN,Peru,PER,8280672,8293153,8732499,9161838,9599306,10100664,10646713,11183626,11581624,12036471,11942303,12718852,12594472,12475109,12677537,12881693,13418424,14581053,15025235,15457246,15769261,16076397,16360892,16665986,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Peru,PER,17.05207656,17.40869531,17.763325,18.11267344,18.45262344,18.78028203,19.09459063,19.39641328,19.6873,19.96976328,20.24599609,20.51668984,20.78239297,21.04510703,21.30717813,21.57062969,21.83590469,22.103725,22.3766,22.65747109,22.94815938,23.24991484,23.5615375,23.87926641,24.19777188,..
