Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Philippines,PHL,18.37877721,18.40225375,18.22785659,18.06016702,17.89247745,17.72478787,17.5570983,17.38940873,17.22171915,17.05402958,16.88298622,16.71529664,16.55096086,16.66834356,17.17141228,16.78572626,17.28879498,17.74155683,18.27816346,18.44585304,17.77509474,18.27816346,18.71415635,18.74769427,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Philippines,PHL,0.455540025,0.434916088,0.419627146,0.410429875,0.38793999,0.5318309,0.521952486,0.520214834,0.527205463,0.490257081,0.475187257,0.452409678,0.446127104,0.432010628,0.414230109,0.418672199,0.413857247,0.407320734,0.393721982,0.429472394,0.414119809,0.402331872,0.393787654,0.385570898,..,..
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,44311595232,45417505304,52976363140,54368183869,64084543186,74119868200,82848194406,82344374403,72207022465,82995145604,81026294687,76261998621,81357657784,83908205713,91371236944,1.03E+11,1.22E+11,1.49E+11,1.74E+11,1.68E+11,2.00E+11,2.24E+11,2.50E+11,2.72E+11,2.85E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Philippines,PHL,3.036966294,-0.578334651,0.33760303,2.116307179,4.387623341,4.678692219,5.845873472,5.185362276,-0.57672219,3.081926764,4.411212506,2.893992411,3.645898141,4.970363731,6.697636425,4.777663462,5.242953041,6.616668505,4.152757145,1.148330408,7.632263916,3.659755139,6.801330639,7.181121861,6.095871823,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,715.3107015,715.1243617,814.0328482,815.6660624,939.1034195,1061.346194,1159.731687,1127.347175,967.1935537,1087.958325,1039.701764,958.010657,1000.778403,1011.286635,1080.086151,1196.54003,1395.213381,1678.852309,1929.133436,1836.874565,2145.241711,2371.851515,2606.196984,2788.377358,2870.544518,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Philippines,PHL,0.44858652,-3.024507554,-2.081395809,-0.298227715,1.962757459,2.287034486,3.472746881,2.873751566,-2.725661295,0.880712185,2.204583406,0.732444791,1.49144813,2.848283585,4.648705026,2.89825898,3.498943145,4.97172765,2.61682169,-0.335934583,6.016117017,2.055703334,5.114964896,5.473685724,4.418890651,..
Internet users (per 100 people),IT.NET.USER.P2,Philippines,PHL,0,..,..,..,0.005844253,0.028585702,0.055946029,0.136912963,1.103405994,1.431608803,1.982253196,2.52400566,4.332275746,4.857672267,5.243628452,5.397636329,5.740586325,5.97,6.22,9,25,29,36.2351,37,39.69,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Philippines,PHL,36.54337901,36.33194698,36.60451126,36.76984094,36.63481829,37.17269556,37.02087893,37.22409148,37.26123767,37.76789134,37.44799739,38.94796414,38.93638242,38.23103974,37.90991403,38.64270631,38.27715564,38.25788811,38.20728204,38.45210883,38.85122665,38.99543201,39.08621325,39.19205401,..,..
"Labor force, total",SL.TLF.TOTL.IN,Philippines,PHL,23927645,24602447,25498827,26070227,26808270,28016424,28738248,29410926,30405603,31106129,31250838,33376828,33622705,34721368,35246110,35111001,35519494,36089496,37335990,38535655,39964280,41135195,42027727,42923364,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Philippines,PHL,207.7584599,212.9990945,218.2610625,223.5468156,228.8631787,234.2144179,239.5860784,244.969665,250.38142,255.8447362,261.3685045,266.9770299,272.6443908,278.269893,283.7181775,288.9002012,293.7683167,298.3717611,302.8376933,307.347758,312.0330751,316.9374283,322.0220747,327.2350538,332.490492,..
Population growth (annual %),SP.POP.GROW,Philippines,PHL,2.544180022,2.491175978,2.440396622,2.392897714,2.350349439,2.311265965,2.267574928,2.222162528,2.18510488,2.158532618,2.136054498,2.123131795,2.100572391,2.042313271,1.938993199,1.80998911,1.671011435,1.554881104,1.48567668,1.478287249,1.512932342,1.559517527,1.591573066,1.605863369,1.593253248,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Philippines,PHL,49.48525796,49.49762982,49.51177956,49.52706141,49.54263279,49.55796757,49.57134697,49.58282772,49.59538138,49.61283918,49.63677873,49.67041013,49.71036004,49.74458651,49.75793903,49.74182731,49.69220393,49.61664581,49.53218494,49.46143238,49.41952561,49.41086113,49.42899157,49.46471556,49.50487948,..
"Population, total",SP.POP.TOTL,Philippines,PHL,61947340,63509940,65078901,66654954,68240134,69835713,71437381,73042605,74656228,76285225,77932247,79604541,81294378,82971734,84596249,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,..
