Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Portugal,PRT,25.61748634,25.23497268,24.86338798,24.48087432,24.04371585,23.53005464,21.8579235,20.56830601,20.76502732,18.7431694,17.83606557,17.47540984,17.60655738,16.7431694,16.79781421,13.97179403,13.75314311,11.98207062,12.83480923,13.02325581,12.43585544,12.33759144,12.25024566,12.18340611,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Portugal,PRT,1.826649302,1.772269911,1.696651806,1.43822354,2.548774029,2.170961552,2.135193908,2.011308694,1.853832834,1.757170312,1.720002912,1.677892388,1.655268914,1.695030047,1.665689523,1.686144965,1.639530338,1.63032096,1.628371893,1.639976222,1.622535523,1.63701785,1.645585076,1.479460969,..,..
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,78721558149,89242403219,1.08E+11,95019074928,99698429952,1.18E+11,1.23E+11,1.17E+11,1.24E+11,1.27E+11,1.18E+11,1.22E+11,1.34E+11,1.65E+11,1.89E+11,1.97E+11,2.09E+11,2.40E+11,2.62E+11,2.44E+11,2.38E+11,2.45E+11,2.16E+11,2.25E+11,2.30E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Portugal,PRT,3.95046264,4.368208696,1.089474668,-2.043241935,0.964833458,4.282787143,3.496709178,4.426181902,4.791781608,3.888230578,3.787442082,1.943364651,0.768763007,-0.934196273,1.811582488,0.766805995,1.553015835,2.491985613,0.199295713,-2.978110801,1.898675039,-1.826801401,-4.028265295,-1.604815875,0.891129718,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,7885.389075,8959.869242,10811.63798,9535.591971,9978.299604,11782.51883,12185.06673,11578.4414,12202.69228,12474.82215,11502.39636,11729.14426,12882.28771,15772.73588,18045.5926,18784.95335,19821.44284,22780.05624,24815.61133,23063.97293,22539.9945,23194.74385,20577.40643,21507.7112,22080.89196,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Portugal,PRT,4.177268163,4.609035799,1.168101555,-2.162986058,0.693512936,3.922380258,3.108296164,3.960999339,4.263511262,3.302265879,3.060519332,1.22695794,0.218393274,-1.305403395,1.568412341,0.58002438,1.370047827,2.290986701,0.054921179,-3.070558529,1.851904057,-1.682297225,-3.638385177,-1.063323601,1.472388929,..
Internet users (per 100 people),IT.NET.USER.P2,Portugal,PRT,0,0.10023057,0.250426501,0.450161608,0.718905754,1.494334529,2.98087767,4.953001955,9.870446442,14.74233784,16.43046769,18.08713656,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,53.3,55.24999688,60.33999749,62.0956,64.59,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Portugal,PRT,42.97400342,43.76742131,43.60488458,44.07271066,44.25461417,44.5187187,44.74461028,45.09241682,44.90591259,45.15182941,45.36225447,45.4720396,45.63811812,46.02039528,46.15050914,46.53468201,46.71760621,46.99729815,47.0978834,47.58440365,47.95279139,47.66695044,48.02170787,48.3314793,..,..
"Labor force, total",SL.TLF.TOTL.IN,Portugal,PRT,4762819,4852534,4715169,4728055,4786615,4790504,4870752,4981831,5097547,5156017,5261619,5363872,5437183,5463030,5463203,5515540,5550370,5581723,5588404,5551300,5567459,5516128,5487410,5397236,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Portugal,PRT,109.1062077,108.8550273,108.7704262,108.9035519,109.1969945,109.575694,109.9884699,110.480623,111.0403934,111.6702514,112.4579016,113.2537923,113.8757486,114.3040546,114.5777158,114.8281404,115.0353996,115.2614409,115.4277577,115.3864723,115.4394585,115.2697893,114.8034065,114.1626092,113.5086572,..
Population growth (annual %),SP.POP.GROW,Portugal,PRT,-0.21794848,-0.230481754,-0.077749267,0.122316595,0.269089468,0.346203938,0.375996187,0.446460605,0.505389233,0.565630442,0.702859953,0.705230637,0.54766794,0.375411415,0.23912899,0.185532267,0.180332441,0.196304384,0.14419128,0.095330859,0.045910037,-0.147084879,-0.405421788,-0.548815211,-0.574471934,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Portugal,PRT,51.8480142,51.84728425,51.84187742,51.8331346,51.82323393,51.81365036,51.80660841,51.80170364,51.79488562,51.78056014,51.75594943,51.71785413,51.67080228,51.6288539,51.61081034,51.62923774,51.6882661,51.78170727,51.89898178,52.02488891,52.14791687,52.26630895,52.38125173,52.48748628,52.57891419,..
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,9960235,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10397393,..
Rural population,SP.RUR.TOTL,Portugal,PRT,5199759,5132609,5062834,5003363,4950901,4901898,4853841,4809043,4766554,4726461,4692296,4658665,4619439,4571864,4517810,4461605,4404945,4349078,4290949,4231103,4169291,4099817,4021087,3938426,3856601,..
Surface area (sq. km),AG.SRF.TOTL.K2,Portugal,PRT,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92090,92090,92090,92090,92210,92210,92210,92210,92220,92220,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Portugal,PRT,..,5.599999905,4.699999809,6.400000095,7.5,7.800000191,7.900000095,7.199999809,6.099999905,5.099999905,4.800000191,5,6,7.199999809,7.699999809,8.699999809,9,9.600000381,8.800000191,10.19999981,12,13,15.60000038,16.60000038,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Portugal,PRT,..,3.900000095,3.900000095,5.300000191,6.5,6.800000191,6.800000191,6.300000191,4.900000095,4.400000095,3.900000095,4,5,6.300000191,6.699999809,7.599999905,7.699999809,8,7.599999905,9.5,10.80000019,12.69999981,15.60000038,16.5,..,..
