Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Qatar,QAT,0.861326443,0.775193798,1.033591731,1.119724376,1.119724376,1.119724376,1.119724376,1.119724376,1.119724376,1.119724376,1.119724376,1.145564169,0.990525409,0.999138674,0.999138674,0.999138674,1.119724376,1.119724376,1.428079242,1.085271318,1.182601206,1.060292851,1.161068045,1.215331611,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Qatar,QAT,4.02720929,3.905196041,2.79849441,2.765544086,3.428978987,3.770329207,3.971726691,3.921334051,3.810040425,3.679256167,3.705924357,3.535722293,3.419029657,3.192116502,2.770236578,2.342180922,1.839224215,1.458028818,1.196347551,1.004820584,0.894237473,0.831460199,0.789082838,0.760834803,..,..
GDP (current US$),NY.GDP.MKTP.CD,Qatar,QAT,7360439221,6883516294,7646153773,7156593457,7374450567,8137911754,9059340136,11297801805,10255494746,12393131528,17759889622,17538461057,19363735732,23533790562,31734065062,44530494505,60882142857,79712087912,1.15E+11,97798351648,1.25E+11,1.70E+11,1.90E+11,2.03E+11,2.12E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,3.327722388,7.133458647,3.490072229,19.21850327,7.492728057,26.17039953,17.98521657,17.66303468,11.95755127,16.72897536,14.119,5.1043,6.238,6.153,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,15447.59511,14189.48184,15614.9754,14542.37474,14892.49457,16242.72084,17698.72493,21388.7235,18693.32531,21717.83677,29926.36253,28577.30082,30523.48993,35221.52546,43346.86306,53207.33365,61593.67297,67612.49404,82990.07096,61463.90358,70870.22658,89115.90149,94236.13495,96719.32873,97518.60936,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,-0.08448994,3.643111535,-1.741545964,8.807630745,-5.971155996,6.829125511,-1.079980703,-0.127272701,-2.268996262,5.200825978,5.738777009,-0.641378512,1.906955406,2.693991692,..
Internet users (per 100 people),IT.NET.USER.P2,Qatar,QAT,0,..,..,..,..,0.190209535,0.930185833,3.083749186,3.52002985,4.070728915,4.863679179,6.170268561,10.22612893,19.24233642,20.70164785,24.73349378,28.97411271,37,44.3,53.1,69,69,69.3,85.3,91.49,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Qatar,QAT,13.95903962,14.32780926,14.44233003,14.75210354,15.0299007,15.28172172,15.36452373,14.99943506,15.04417064,15.22806711,15.34312943,15.96881665,16.50453849,16.95039605,16.52746228,15.9746498,15.14601141,14.15563729,13.00708936,12.29159553,12.1158568,12.31272768,12.67320535,13.11240754,..,..
"Labor force, total",SL.TLF.TOTL.IN,Qatar,QAT,273142,281676,285868,289274,291632,294404,297100,300918,309708,320717,331901,347878,362676,388457,433176,512343,652449,823029,1003053,1174339,1319560,1419190,1495407,1550928,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Qatar,QAT,41.04031008,41.78415159,42.17639966,42.3875969,42.65107666,43.1540913,44.08819983,45.49638243,47.25391904,49.15099053,51.11567614,52.86132644,54.64151593,57.55081826,63.05736434,72.08647717,85.13763997,101.5465116,119.6349699,137.0500431,152.0683032,164.1203273,173.611025,180.9894918,187.085702,..
Population growth (annual %),SP.POP.GROW,Qatar,QAT,2.856059763,1.796236282,0.934369558,0.499497875,0.619672417,1.172471115,2.141494024,3.144064669,3.790277731,3.936140645,3.919422446,3.35807784,3.312195655,5.187439439,9.137650388,13.3821613,16.64027704,17.62476956,16.39282527,13.59009481,10.3983646,7.627007888,5.621744628,4.162166517,3.312783791,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Qatar,QAT,33.05021428,33.19529018,33.37281587,33.58489799,33.83281601,34.10689016,34.32825907,34.45901559,34.56430522,34.73239836,34.97766462,35.45639705,36.0438722,36.18058414,35.26791568,33.32297795,30.75346402,28.24196004,26.28884016,25.10924482,24.64971937,24.77636364,25.29668232,26.02993973,26.76457657,..
"Population, total",SP.POP.TOTL,Qatar,QAT,476478,485114,489668,492120,495179,501019,511864,528213,548618,570643,593453,613720,634388,668165,732096,836924,988448,1178955,1388962,1591151,1765513,1905437,2015624,2101288,2172065,..
Rural population,SP.RUR.TOTL,Qatar,QAT,34373,32546,30541,28528,26670,25061,23771,22930,22559,22227,21892,21443,20986,20927,21194,21350,22201,23308,24154,24345,23746,22637,21245,19731,18267,..
