Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Romania,ROM,41.20340092,41.065981,40.77834917,40.70862024,40.69103743,40.68586867,40.68055071,40.71798893,40.61588048,40.6445993,40.83844848,40.79491533,40.78827163,40.77843009,38.76086957,39.06861466,38.86859727,37.73543869,37.9338843,38.20307746,39.75657466,39.07981057,38.24884793,38.02112768,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Romania,ROM,1.207121326,1.916104919,1.633584677,1.861241644,1.816539831,2.623909131,2.636904208,2.546938398,2.490421085,2.377679565,2.384046959,1.555210359,1.729713317,1.726466824,1.731554371,1.794813112,1.537559585,1.549182912,1.582636921,1.586840499,1.608806973,1.602021787,1.590908374,1.589145162,..,..
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROM,38299106120,28846858763,25090303817,26361161948,30072623842,35477055619,35333677695,35285888482,42115494069,35592337083,37305099928,40585886769,45988510814,59466017706,75794733525,99172613716,1.23E+11,1.71E+11,2.04E+11,1.64E+11,1.65E+11,1.83E+11,1.69E+11,1.90E+11,1.99E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Romania,ROM,-5.600003007,-12.90000397,-8.840410652,1.511335133,3.970223636,7.159905075,4.008901931,-6.102774403,-4.78906097,-1.200003996,2.100001731,5.679968784,5.033271211,5.154284799,9.124945121,4.288668349,8.716268788,6.259704903,7.861706579,-6.798769638,-0.93965598,2.308920543,0.353678398,3.499921297,1.756560487,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROM,1650.692978,1254.148271,1100.727876,1158.056394,1323.024403,1563.949628,1562.1235,1564.50842,1871.18898,1583.849846,1662.217535,1833.81266,2116.312063,2756.332583,3533.266078,4651.692261,5789.209787,8169.975926,9949.190249,8069.022884,8139.146673,9063.700806,8445.29664,9489.693009,9996.670293,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Romania,ROM,-5.764282628,-12.14007574,-8.013085898,1.649595411,4.121484499,7.376929171,4.309014394,-5.832056706,-4.591789051,-1.044787333,2.232245584,7.164995918,6.973775815,5.915464761,9.748498853,4.934675755,9.362218169,7.841048916,9.674154555,-6.019077414,-0.349527142,2.813383179,0.801426731,3.884954792,2.128088803,..
Internet users (per 100 people),IT.NET.USER.P2,Romania,ROM,0,..,..,0.003703214,0.026300162,0.074952756,0.221622649,0.445444676,2.237649473,2.697580217,3.613717291,4.538669029,6.58,8.9,15,21.5,24.66,28.3,32.42,36.6,39.93,40.00999678,45.87999425,49.7645,54.08,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Romania,ROM,44.87089358,44.86692175,44.91513528,45.17527545,45.46335072,45.77625852,46.10342736,46.51864604,46.41298049,46.60867168,46.60092967,46.59809252,45.84982283,45.43986592,45.48027907,45.13414504,45.18843691,44.94850941,44.68837051,44.62568636,44.62495812,45.07167062,44.80442763,44.85486683,..,..
"Labor force, total",SL.TLF.TOTL.IN,Romania,ROM,10438056,10490031,10528992,10745515,11009943,11299934,11661402,12016388,11867471,11898155,11866377,11503267,10354317,10257944,10164278,9861751,10015872,9876174,9667410,9556411,9559879,9444316,9510290,9520842,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Romania,ROM,101.1634402,100.2403687,99.33881286,99.20369563,99.03799834,98.84644211,98.54916347,98.26156929,98.03277146,97.87473868,97.70132341,96.34743807,94.53384957,93.82181344,93.26846957,92.70234368,92.15479607,90.83901866,89.33394954,88.53119621,88.01074114,87.53324934,87.20126511,86.87429031,86.55825327,..
Population growth (annual %),SP.POP.GROW,Romania,ROM,0.174176628,-0.868693831,-0.903462928,-0.136109142,-0.145379065,-0.202318796,-0.288129486,-0.287897952,-0.206980242,-0.156978616,-0.12944004,-1.395429986,-1.830654994,-0.721262297,-0.569786273,-0.617530957,-0.59240256,-1.477222982,-1.666382643,-0.833088755,-0.593959184,-0.491866213,-0.445177936,-0.371323063,-0.364449926,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Romania,ROM,50.70272027,50.72362269,50.75147964,50.78518657,50.82289388,50.86300205,50.90542991,50.95012247,50.99539658,51.0390728,51.07954175,51.11553034,51.14724573,51.17645331,51.20600225,51.23801017,51.27328017,51.31108593,51.35020234,51.38852681,51.42432784,51.45702017,51.48688235,51.5139943,51.53876889,..
"Population, total",SP.POP.TOTL,Romania,ROM,23201835,23001155,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19910995,..
Rural population,SP.RUR.TOTL,Romania,ROM,10854514,10596632,10433628,10454264,10473627,10487165,10491599,10495945,10508454,10526353,10547299,10434781,10261140,10158919,10073097,9983156,9896426,9723952,9536351,9430554,9348183,9275922,9208443,9145537,9080807,..
Surface area (sq. km),AG.SRF.TOTL.K2,Romania,ROM,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Romania,ROM,..,7.699999809,8.100000381,8.199999809,8.300000191,8.699999809,7.300000191,5.800000191,5.400000095,5.400000095,6.400000095,6,7.5,6.400000095,6.099999905,6.400000095,6.099999905,5.400000095,4.699999809,5.900000095,6.5,6.699999809,6.300000191,6.599999905,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Romania,ROM,..,7.800000191,8.600000381,8.399999619,8.199999809,8,6.699999809,5.5,5.599999905,6.199999809,7,6.599999905,8.100000381,7,7.699999809,7.199999809,7.300000191,6.400000095,5.800000191,6.900000095,7.300000191,7.400000095,7,7.300000191,..,..
