Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Russian Federation,RUS,..,..,8.054203948,7.905320215,7.839534397,7.784652695,7.694731212,7.782448492,7.699755209,7.625769518,7.592419179,7.561457446,7.537113255,7.481786804,7.45646084,7.43410663,7.423124314,7.423124314,7.428098287,7.434265522,7.266345767,7.327407496,7.312142064,7.464185769,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Russian Federation,RUS,..,..,2.535945154,2.061268541,1.98855764,2.55057095,2.324080004,2.665259932,2.515032119,2.047153228,1.961642096,1.941279067,1.929622022,1.85294397,1.941928968,1.926787975,1.913200552,1.924579711,1.91505501,1.94327218,1.866983607,1.77221334,1.773843048,1.638779879,..,..
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,5.17E+11,5.09E+11,4.60E+11,4.35E+11,3.95E+11,3.96E+11,3.92E+11,4.05E+11,2.71E+11,1.96E+11,2.60E+11,3.07E+11,3.45E+11,4.30E+11,5.91E+11,7.64E+11,9.90E+11,1.30E+12,1.66E+12,1.22E+12,1.52E+12,1.90E+12,2.02E+12,2.08E+12,1.86E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,-2.999995642,-5.046939451,-14.53107377,-8.668540341,-12.56975598,-4.143528406,-3.6,1.399999999,-5.299999999,6.4,9.999999999,5.091984231,4.743669897,7.295854331,7.175949192,6.376187027,8.153431973,8.535080209,5.247953532,-7.820885026,4.503725625,4.264176565,3.405546804,1.340797615,0.640485764,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,3485.119575,3427.312137,3095.087225,2929.303318,2663.456986,2665.722347,2643.907136,2737.556662,1834.846937,1330.751464,1771.586602,2100.362386,2375.059044,2975.132778,4102.372294,5323.466034,6920.194398,9101.256706,11635.27424,8562.813697,10674.9972,13323.88338,14078.83057,14487.27987,12735.9184,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,-3.373495241,-5.259047967,-14.56843686,-8.564614832,-12.46130513,-4.169192942,-3.459665688,1.567772555,-5.143130412,6.729793299,10.46359786,5.538679625,5.226665177,7.783783009,7.608324128,6.782759189,8.508018385,8.72086011,5.294212025,-7.848639728,4.456827157,4.182916494,3.231659992,1.125248704,-1.139392061,..
Internet users (per 100 people),IT.NET.USER.P2,Russian Federation,RUS,0,..,0.000672532,0.013447238,0.053817493,0.148151042,0.26975293,0.472963763,0.812744451,1.018984614,1.977230109,2.944367787,4.128271818,8.298860616,12.8593889,15.2266732,18.02327746,24.66,26.83,29,43,49,63.8,67.97,70.52,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Russian Federation,RUS,48.23537534,47.93888424,47.62876849,47.37671835,47.18160944,47.22987165,47.25910943,47.53705859,47.52481681,48.19746508,48.28615078,48.26739583,48.79706946,48.99579825,49.15348949,49.30718238,49.44521418,49.29042011,48.91670684,49.10775275,48.76725161,48.89617419,48.91122515,48.84956742,..,..
"Labor force, total",SL.TLF.TOTL.IN,Russian Federation,RUS,76829001,75915144,74922756,72770722,70402787,70572434,69791057,68398582,67673092,72398098,72750274,71406529,72407963,73920206,74771015,75358577,75580158,76692069,77073504,76932095,76594138,76965903,76895191,76886470,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Russian Federation,RUS,9.047739621,9.067995937,9.071961781,9.063735416,9.055186606,9.0592431,9.046306255,9.030982834,9.014589318,8.982780741,8.948996663,8.911609395,8.870433931,8.830256615,8.794642038,8.76107113,8.734387528,8.719462392,8.716094712,8.718719877,8.722634362,8.729437799,8.744141951,8.762780128,8.781871566,..
