Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Rwanda,RWA,35.67085529,35.67085529,35.67085529,34.4548034,28.37454398,28.37454398,30.40129712,32.42805026,33.23875152,35.10336441,36.48155655,40.53506283,45.23713012,44.34535874,45.0295906,43.89541954,44.70814755,45.19173085,45.29550061,45.35346575,45.55816782,46.26834212,46.64491285,47.9327118,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Rwanda,RWA,0.184870677,0.945219489,0.980225262,1.017312281,1.039854504,1.620807583,1.336114232,1.954253448,1.594587851,1.502399248,2.015304648,2.016976817,1.97581406,1.461868479,1.235939728,1.201651931,..,0.746675906,0.72620918,0.705768671,0.685430892,0.667936509,0.650677839,0.632063307,..,..
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,2550185692,1911600232,2029026957,1971525718,753636370.5,1293535192,1382334879,1851558199,1989343548,1817655192,1734938190,1674685126,1677447003,1845979351,2089188921,2581465675,3110328011,3775447706,4796573531,5308990459,5698548988,6406727230,7219657132,7522006198,7890190337,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Rwanda,RWA,-2.399291098,-2.514379653,5.872725233,-8.108691871,-50.2480671,35.2240783,12.74569576,13.84975249,8.858669491,7.58109646,8.318704945,8.668954202,13.51052989,1.451335379,6.946390386,6.912001414,9.235269536,7.612853864,11.16246001,6.267988487,7.312669275,7.851934941,8.788351534,4.684512428,6.96347032,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,351.2778271,270.3286654,302.2568044,312.9228082,125.6901275,218.7703012,226.6981976,284.5872453,282.2886646,239.633609,216.2758944,201.0640419,196.4447015,212.5120519,236.6292142,286.5674694,336.942281,398.2084859,491.9404166,529.5965562,553.5974576,606.9028864,667.4145823,678.9981669,695.6892586,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Rwanda,RWA,-2.676817764,0.082156013,11.52631076,-2.091378342,-47.72253702,37.1275853,9.326301434,6.702686538,0.500589033,-0.048677704,2.421549398,4.66045628,10.72008657,-0.270651413,5.22042524,4.784331257,6.598641702,4.774809602,8.092981396,3.360420971,4.507531817,5.167393187,6.164310945,2.220554212,4.478851004,..
Internet users (per 100 people),IT.NET.USER.P2,Rwanda,RWA,0,..,..,..,..,..,0.000883372,0.001625791,0.011763573,0.067176482,0.06283146,0.24067241,0.292784719,0.356918467,0.430854243,0.556041165,..,2.115387178,4.5,7.7,8,7,8.023854277,9,10.6,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Rwanda,RWA,51.40495552,51.54552839,51.66652998,51.80889992,52.00045476,52.02878554,52.06626726,52.52995445,52.95561288,53.32568594,53.79341324,54.17589519,54.2196226,54.21904829,54.23098314,54.27675858,54.27766741,54.18857449,54.24317799,54.21662501,54.15640397,54.13384951,54.08564333,54.01920028,..,..
"Labor force, total",SL.TLF.TOTL.IN,Rwanda,RWA,3245512,3173866,3060521,2948947,2885019,2899789,2993756,3172567,3386455,3594251,3771142,3916753,4048964,4172742,4288235,4410595,4546929,4687442,4819548,4959132,5106277,5240019,5379006,5537420,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Rwanda,RWA,294.274017,286.6393595,272.1087961,255.3854074,243.0477098,239.6738954,247.1701662,263.7259019,285.6585326,307.4642481,325.1672071,337.6211188,346.130077,352.1065667,357.8822862,365.149169,374.1808269,384.3162951,395.2295906,406.3475476,417.2545197,427.9055128,438.4819619,449.0512769,459.7301986,..
