Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Samoa,WSM,6.713780919,6.713780919,6.007067138,6.007067138,6.007067138,6.007067138,6.007067138,6.007067138,6.007067138,5.759717314,4.946996466,4.946996466,4.593639576,4.593639576,4.240282686,3.886925795,3.674911661,3.533568905,3.180212014,2.791519435,2.826855124,2.826855124,2.826855124,2.826855124,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,125766270.9,125597203.4,132303037.1,133122893.1,221098106.5,224865731.4,249907893.8,285475620.9,269485285,258831775.4,269019710.3,273088357.2,288075318.9,338836026.4,420318071.9,465561708.2,505832439.8,570469196.7,619260721.6,586153251.8,656789149.6,762098813.4,804335819.9,795947899.1,800586671.2,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Samoa,WSM,-4.421450949,-2.300007023,-0.199990351,4.099987693,-2.542096427,6.673641885,7.178965897,0.643424781,2.194886325,2.185438856,6.918790299,6.93976583,4.343995595,4.515479143,4.625001948,4.156492103,1.968807932,6.322641763,1.009086658,-4.8082722,0.479158713,5.778544297,0.409528159,-1.928082041,1.194073613,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,772.211776,765.4958672,799.085796,796.1609819,1309.931549,1321.511368,1459.094641,1657.900941,1557.90752,1489.610697,1540.65373,1555.465191,1631.30447,1907.033698,2350.851102,2587.48893,2793.54312,3130.352598,3375.82164,3173.54224,3530.573994,4065.958222,4257.975447,4180.6182,4173.091148,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Samoa,WSM,-4.928495841,-3.019330687,-1.101136795,3.080193069,-3.454396545,5.813522251,6.479357756,0.10861905,1.729340967,1.727316313,6.394648567,6.359283183,3.738347574,3.877246311,3.971366327,3.500043623,1.324576266,5.64236542,0.347219441,-5.457658107,-0.238669163,4.9856313,-0.370249491,-2.695081809,0.426592693,..
Internet users (per 100 people),IT.NET.USER.P2,Samoa,WSM,0,..,..,..,..,..,..,0.174571863,0.230359015,0.285308333,0.566392533,1.689902831,2.244832676,2.799630449,3.07552941,3.352592112,4.469173873,4.749983235,5.031615316,6,7,11,12.92249,15.3,21.2,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Samoa,WSM,32.98664522,32.93903236,32.55462156,32.14912432,31.78506061,31.36358124,30.88472128,30.33052832,29.91569356,29.45884012,29.00431357,28.65827492,28.3671595,28.06660735,27.86041295,27.73661479,27.54585944,27.41192724,27.3701679,27.37288811,27.36133154,27.42630148,27.47189273,27.50691282,..,..
"Labor force, total",SL.TLF.TOTL.IN,Samoa,WSM,57208,58162,58173,58126,57914,57723,57747,57635,57291,56730,56102,55928,55529,55069,54389,53716,52988,52116,51220,50192,49146,47830,48475,49184,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Samoa,WSM,57.54946996,57.97632509,58.50459364,59.08339223,59.64169611,60.12650177,60.52155477,60.84487633,61.12332155,61.39858657,61.70106007,62.03780919,62.4,62.78339223,63.17809187,63.57879859,63.98303887,64.395053,64.81978799,65.26501767,65.73462898,66.23109541,66.74946996,67.27561837,67.78975265,..
Population growth (annual %),SP.POP.GROW,Samoa,WSM,0.531912873,0.738981395,0.907053583,0.984459861,0.940505516,0.809577685,0.654887326,0.532803538,0.456587403,0.44933267,0.491429692,0.544291297,0.58212506,0.612530813,0.626700997,0.632246574,0.633797135,0.641878288,0.657411345,0.684524866,0.716968833,0.752420791,0.779628486,0.785153167,0.761315436,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Samoa,WSM,47.80400946,47.82871039,47.87458929,47.92830401,47.97258066,47.9965679,47.99446507,47.97114832,47.93992334,47.92009577,47.92399235,47.95548138,48.00896983,48.07600308,48.14591094,48.20983949,48.26643545,48.3175847,48.36131705,48.39631835,48.42202022,48.4373166,48.44230576,48.44056936,48.43597696,..
"Population, total",SP.POP.TOTL,Samoa,WSM,162865,164073,165568,167206,168786,170158,171276,172191,172979,173758,174614,175567,176592,177677,178794,179928,181072,182238,183440,184700,186029,187434,188901,190390,191845,..
Rural population,SP.RUR.TOTL,Samoa,WSM,128338,129290,130372,131513,132605,133530,134253,134817,135276,135729,136239,136823,137846,139125,140430,141751,143081,144424,145791,147206,148678,150215,151803,153378,154896,..
Surface area (sq. km),AG.SRF.TOTL.K2,Samoa,WSM,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
