Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,San Marino,SMR,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,San Marino,SMR,..,..,..,..,..,..,..,..,..,853373879.7,773907642.4,815205233.1,879957209.9,1122981525,1317357835,1375416604,1469000145,1687567364,1899879955,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,San Marino,SMR,2.052952362,1.53291338,0.773273401,8.75160856,6.982248536,9.292035408,4.858299698,2.404539025,7.52,9.077380952,2.182810368,5.607476636,0.252844501,3.909205549,4.611650485,2.320185615,3.854875283,3.493449782,1.898734177,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..,..,..,..,..,..,..,..,..,31493.2974,28224.20286,29354.5509,31268.46741,39375.2288,45597.516,47035.65435,49682.09366,56489.50138,62993.36722,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,San Marino,SMR,0.758456605,0.117240198,-0.732931857,7.081900875,5.397574766,7.788345955,3.553624086,1.237645814,6.348294831,7.861697702,0.979125184,4.272694874,-1.068803048,2.532007803,3.26829365,1.092007475,2.709830325,2.433364235,0.932453077,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,San Marino,SMR,0,..,..,..,..,1.362132711,1.428075186,1.41854848,1.408557941,42.80331575,48.79949531,50.34166909,50.83483994,50.00345304,50.56634304,50.2595642,50.20865936,50.36482211,54.52,54.21,..,49.6,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,San Marino,SMR,400.75,406.4166667,412.5833333,419.0166667,425.3166667,431.25,436.6833333,441.7166667,446.5833333,451.6166667,457,462.85,469.0333333,475.3333333,481.5166667,487.3666667,492.8,497.9,502.6666667,507.1833333,511.5,515.6333333,519.5333333,523.1833333,526.5833333,..
Population growth (annual %),SP.POP.GROW,San Marino,SMR,1.276568555,1.404111443,1.505929965,1.547249081,1.492329314,1.385397883,1.252032639,1.146035615,1.095736881,1.12077177,1.184965348,1.271963662,1.327081161,1.334247318,1.292453239,1.207590406,1.108666346,1.029584143,0.952800625,0.894528254,0.847504296,0.804833318,0.753505417,0.700097164,0.64776526,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,San Marino,SMR,24045,24385,24755,25141,25519,25875,26201,26503,26795,27097,27420,27771,28142,28520,28891,29242,29568,29874,30160,30431,30690,30938,31172,31391,31595,..
Rural population,SP.RUR.TOTL,San Marino,SMR,2308,2341,2376,2303,2230,2157,2082,2008,1936,1866,1799,1736,1710,1718,1732,1749,1765,1779,1793,1805,1815,1824,1832,1838,1843,..
Surface area (sq. km),AG.SRF.TOTL.K2,San Marino,SMR,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
