Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Sao Tome and Principe,STP,2.083333333,2.083333333,2.083333333,2.083333333,3.125,4.166666667,4.166666667,5.208333333,5.208333333,6.25,6.25,7.291666667,7.291666667,8.333333333,8.333333333,8.333333333,8.333333333,8.854166667,9.375,9.375,8.854166667,9.0625,9.0625,9.0625,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Sao Tome and Principe,STP,3.017046312,2.951855241,2.847866948,2.740326647,2.653786954,2.586786694,2.527614185,2.495881795,2.465726403,2.431551816,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,76709304.53,76553443.39,84617970.67,101315399.6,110723361.8,123258507.1,135181861.9,144259256.6,183464986.4,196473838.9,201037916.6,248286778.2,263328450.3,310684591.5,334902362.1,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,3.189933317,1.98973385,6.735405247,4.548204699,1.632352876,12.64282505,1.995735462,9.074566336,4.022881805,4.511410895,4.943449338,4.000000005,3.999999996,4.225800281,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,559.2524608,546.7985928,591.3825395,692.2484036,739.4769441,804.8431372,863.3184867,901.2598501,1121.458396,1175.110881,1176.485935,1421.6574,1475.361659,1703.445393,1797.245721,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,1.097433723,-0.207088736,4.349197236,2.191659733,-0.633281569,10.16960918,-0.221784776,6.720323885,1.78247894,2.258250562,2.680488662,1.763653889,1.775004657,2.013109283,..
Internet users (per 100 people),IT.NET.USER.P2,Sao Tome and Principe,STP,0,..,..,..,..,..,..,..,0.295847047,0.363203161,4.638516816,6.310917888,7.580665169,10.16184431,13.32285269,13.75948422,14.18201978,14.5904832,15.48,16.41,18.75,20.1612,21.5724,23,24.41,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Sao Tome and Principe,STP,33.45602655,33.67476459,33.92094321,34.16091198,34.52576827,34.77158673,34.99481839,35.2343633,35.32153072,35.50065652,35.67236176,35.80752673,35.9908731,36.10386812,36.30732133,36.50672402,36.61930712,36.81430619,37.00640439,37.10825831,37.2926035,37.45301458,37.52756518,37.60074298,..,..
"Labor force, total",SL.TLF.TOTL.IN,Sao Tome and Principe,STP,33145,33877,35114,36492,37682,38658,39563,40066,40556,41126,42083,43206,44703,46405,48106,49747,51380,53012,54650,56319,58041,59859,61672,63528,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Sao Tome and Principe,STP,118.3072917,120.7291667,123.2770833,125.884375,128.45625,130.93125,133.2770833,135.53125,137.7958333,140.2104167,142.8791667,145.8364583,149.046875,152.4552083,155.9708333,159.5270833,163.1083333,166.7333333,170.4114583,174.1625,178,181.9229167,185.9208333,189.9854167,194.10625,..
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.957848337,2.02643387,2.088478699,2.092929506,2.022455252,1.908399684,1.775791815,1.677194661,1.657088003,1.73711494,1.885501425,2.048656076,2.177500831,2.260998327,2.27981869,2.254468532,2.220089245,2.198112805,2.18201261,2.177291557,2.179477885,2.179951227,2.173789331,2.162635896,2.145837472,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Sao Tome and Principe,STP,50.48382126,50.46850733,50.45375425,50.43980505,50.42653952,50.4144987,50.40329514,50.39351318,50.38402226,50.3736943,50.36306903,50.35177818,50.34000769,50.32762355,50.31589774,50.30493777,50.29441067,50.2842613,50.2747639,50.26555659,50.25632022,50.24735751,50.23923713,50.23137741,50.22378208,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,113575,115900,118346,120849,123318,125694,127946,130110,132284,134602,137164,140003,143085,146357,149732,153146,156584,160064,163595,167196,170880,174646,178484,182386,186342,..
Rural population,SP.RUR.TOTL,Sao Tome and Principe,STP,64002,63985,64186,64392,64529,64568,64495,64339,64146,63980,63886,63874,63920,64031,64169,64306,64439,64578,64728,64897,65093,65318,65566,65838,66131,..
Surface area (sq. km),AG.SRF.TOTL.K2,Sao Tome and Principe,STP,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
