Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Saudi Arabia,SAU,1.576971563,1.664891217,1.697919235,1.708153269,1.705827352,1.700245152,1.563481246,1.692802218,1.691871851,1.671868967,1.6709386,1.674660067,1.674660067,1.674660067,1.628141732,1.628141732,1.604882564,1.603021831,1.553247212,1.486725993,1.479283059,1.469514209,1.449976508,1.427182524,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Saudi Arabia,SAU,2.85190172,3.624437667,3.158445435,3.084654579,2.873817004,3.051176568,2.993172548,2.937596699,2.902365722,2.864112811,3.328295899,3.223376903,3.034972054,2.866625387,2.698572707,2.592962508,2.747954205,2.617942143,2.531882572,2.571117736,2.473638366,2.383652395,2.294231188,2.140257954,..,..
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,1.17E+11,1.31E+11,1.36E+11,1.32E+11,1.34E+11,1.42E+11,1.58E+11,1.65E+11,1.46E+11,1.61E+11,1.88E+11,1.83E+11,1.89E+11,2.15E+11,2.59E+11,3.28E+11,3.77E+11,4.16E+11,5.20E+11,4.29E+11,5.27E+11,6.70E+11,7.34E+11,7.44E+11,7.46E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Saudi Arabia,SAU,8.328471463,9.103787288,4.628560374,0.026115434,0.665483838,0.200956793,3.383813431,2.592679568,2.834525185,-0.748492103,4.864539865,0.547644944,0.127703034,7.659270219,9.254206213,7.256017518,5.576747435,5.992309707,8.427164639,1.829176099,4.761829006,9.95898847,5.38446595,2.669911395,3.467704913,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,7137.392233,7775.70177,7834.236438,7386.668429,7310.95056,7555.965554,8159.980914,8328.97123,7180.15044,7728.676388,8808.875367,8315.739302,8317.908575,9186.310388,10756.01622,13273.71255,14826.9167,15947.40579,19436.85716,15655.08337,18753.98123,23256.09561,24883.18971,24646.02087,24160.95854,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Saudi Arabia,SAU,4.683813579,5.686076498,1.57382058,-2.724694726,-1.980167978,-2.351454017,0.829390297,0.11548397,0.339613737,-3.244616208,2.088459152,-2.265138702,-2.788324302,4.479969381,6.085496405,4.266760062,2.77425313,3.296014886,5.753993321,-0.647495884,2.221511996,7.293738187,2.856296783,0.273216716,1.171349302,..
Internet users (per 100 people),IT.NET.USER.P2,Saudi Arabia,SAU,0,..,..,..,..,0.010956134,0.026732651,0.052099031,0.101429893,0.49358534,2.210691809,4.681053166,6.38470502,8.001582891,10.234533,12.70503599,19.45955435,30,36,38,41,47.5,54,60.5,63.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Saudi Arabia,SAU,10.66173691,10.68307746,10.74666568,11.15640651,11.5327503,11.99188026,12.48748233,13.1657968,13.87756387,14.64054017,14.00549982,13.90021927,13.74283341,13.91591961,14.16454333,14.46989523,14.89426674,14.56845204,14.3091152,14.08187761,14.20171418,14.34365222,14.3789143,15.1652977,..,..
"Labor force, total",SL.TLF.TOTL.IN,Saudi Arabia,SAU,5119391,5269783,5445717,5575989,5706696,5817428,5963572,6059375,6132928,6214839,6519853,6738275,7084085,7500108,7930118,8330240,8733770,9091110,9400120,9684504,10066144,10446154,10853309,11750920,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Saudi Arabia,SAU,7.61107555,7.857204992,8.093503249,8.32237625,8.547005382,8.770413408,8.99260405,9.215111481,9.444242193,9.687887556,9.951329261,10.2377259,10.54482367,10.86570017,11.19025208,11.51106904,11.82495802,12.1336202,12.44032488,12.7504389,13.06730133,13.39190209,13.72107001,14.04902614,14.36790654,..
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,3.422350603,3.182644855,2.96307276,2.788614912,2.663315292,2.580297031,2.501852306,2.444222158,2.456057523,2.547113558,2.682973671,2.837337896,2.955557701,2.997596207,2.943199518,2.826604789,2.690328656,2.576774423,2.49630748,2.462249153,2.454733368,2.453717424,2.428240616,2.362047073,2.244392708,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Saudi Arabia,SAU,44.04575193,43.99365799,44.00162014,44.06107276,44.16050214,44.28796622,44.44641649,44.62661171,44.7924074,44.90028909,44.92433319,44.85732579,44.71747568,44.53578785,44.35136922,44.18987417,44.05747696,43.94698691,43.85306169,43.76699297,43.68405968,43.60315416,43.5297957,43.47320231,43.4446747,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16361453,16890555,17398523,17890529,18373412,18853670,19331311,19809633,20302193,20825955,21392273,22007937,22668102,23357887,24055573,24745230,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051,30886545,..
Rural population,SP.RUR.TOTL,Saudi Arabia,SAU,3831361,3847162,3853599,3902640,3963329,4021488,4076973,4130903,4185703,4245163,4310971,4384641,4464709,4547781,4629736,4706790,4777942,4844493,4907579,4970163,5032720,5096129,5158859,5219044,5273569,..
Surface area (sq. km),AG.SRF.TOTL.K2,Saudi Arabia,SAU,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Saudi Arabia,SAU,..,13.10000038,11.80000019,15.10000038,9.899999619,15.10000038,22.20000076,19.39999962,20.60000038,8.300000191,8.899999619,8.600000381,11,17.39999962,18.5,18.60000038,15.19999981,14.5,14.10000038,16.29999924,16.89999962,19.60000038,20.89999962,21.29999924,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Saudi Arabia,SAU,..,6.5,6,5.900000095,4.900000095,5.400000095,6,6.199999809,6.400000095,4.300000191,4.599999905,4.599999905,5.199999809,5.900000095,5.900000095,5.900000095,6.300000191,5.699999809,5.099999905,5.400000095,5.400000095,5.800000191,5.599999905,5.699999809,..,..
