Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Senegal,SEN,16.05983483,15.44174934,15.81052304,16.00789487,16.50651846,15.98192489,16.7090843,15.25995949,13.94587856,17.69594349,17.25445385,16.0961928,15.84168701,15.22879551,15.51446528,16.23643069,14.73017192,15.06258765,19.06196437,20.15270347,19.9968836,17.39988573,17.39988573,16.88048616,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Senegal,SEN,0.599975001,0.580711849,0.560547368,0.541534166,0.406562263,0.488829268,0.475357365,0.46113925,0.440119536,0.428389957,0.376337556,0.370266376,0.349602258,0.414845584,0.38869947,0.397792211,0.386063043,0.374471748,0.363078231,0.344928641,0.33434985,0.323466279,0.313366285,0.304012673,..,..
GDP (current US$),NY.GDP.MKTP.CD,Senegal,SEN,5716644525,5617235857,6004885304,5678828410,3877196945,4878718880,5065830114,4672504142,5030344291,5144045093,4679604922,4877602012,5333862344,6858952717,8031344240,8707015064,9358710935,11284603071,13386345215,12812994419,12932428288,14440676929,14045681414,14791699009,15578916865,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Senegal,SEN,-0.675638146,2.555825428,1.242647235,1.30078041,-0.017328654,5.363472885,2.012125088,3.124033319,5.898672516,6.359843002,3.186639102,4.580916419,0.654803692,6.683228134,5.870772214,5.622606857,2.461570253,4.938485083,3.682524403,2.423175917,4.266247626,2.066645293,3.452902581,3.5,3.917319843,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,760.7787608,724.8458728,751.4808779,689.668087,457.479024,560.0804891,566.6832875,509.9214576,535.8885218,534.8551784,474.5771416,482.0680383,513.3918302,642.6259792,732.3180927,772.6523826,808.2884239,948.5067592,1094.576476,1018.389551,998.1196955,1081.131518,1019.27223,1040.127724,1061.772455,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Senegal,SEN,-3.700270898,-0.558846511,-1.813066022,-1.693788943,-2.86031831,2.513580597,-0.59758672,0.605957729,3.374558587,3.808372194,0.644409575,1.919384656,-1.974361621,3.845927164,3.03555958,2.792211919,-0.276736965,2.12653734,0.863842712,-0.441705953,1.247193346,-0.991547944,0.276480426,0.290912459,0.71949055,..
Internet users (per 100 people),IT.NET.USER.P2,Senegal,SEN,0,..,..,..,..,0.000692848,0.011238219,0.027347441,0.079871379,0.311090952,0.403967486,0.983794059,1.006454537,2.10143643,4.38602398,4.786684083,5.611738652,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Senegal,SEN,41.83225699,42.00137177,42.24431332,42.47694719,42.73030373,42.78405124,43.04156044,43.31189944,43.50519483,43.6187158,43.80275904,44.00689455,44.27342301,44.31168642,44.35501477,44.45642008,44.64325337,44.690641,44.73270945,44.90296613,44.99343421,44.98235109,44.96288968,44.9970465,..,..
"Labor force, total",SL.TLF.TOTL.IN,Senegal,SEN,3000125,3099644,3211147,3323890,3443507,3559525,3660404,3762421,3862587,3968347,4092071,4213183,4347798,4483596,4630827,4776363,4921476,5073814,5233032,5398218,5569017,5750213,5935546,6118166,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Senegal,SEN,39.02872799,40.25117644,41.50384875,42.76812445,44.01982029,45.24357762,46.4314029,47.59353867,48.75563808,49.95398639,51.21580014,52.55325404,53.96279541,55.43717862,56.96263439,58.53110684,60.13831611,61.79416195,63.52102529,65.34890147,67.29751727,69.37621669,71.57382226,73.86402639,76.20919857,..
Population growth (annual %),SP.POP.GROW,Senegal,SEN,3.092537112,3.084124166,3.064693216,3.000690531,2.884692434,2.742073554,2.59152878,2.472099287,2.412383395,2.428146582,2.494577127,2.577893729,2.646781708,2.695562773,2.714505302,2.716283784,2.708882383,2.716171554,2.756206495,2.836967188,2.93827155,3.042076436,3.11852864,3.149652545,3.125624981,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Senegal,SEN,50.22628487,50.24002011,50.25136608,50.26835202,50.30067954,50.35351737,50.42878534,50.52118347,50.61994223,50.71113592,50.78551176,50.84012003,50.87846266,50.90574442,50.92925915,50.95355451,50.97986515,51.00549456,51.02636589,51.03721109,51.03509812,51.01979089,50.99420121,50.96242954,50.92948012,..
"Population, total",SP.POP.TOTL,Senegal,SEN,7514201,7749559,7990736,8234147,8475136,8710746,8939438,9163184,9386923,9617641,9860578,10118078,10389457,10673320,10967016,11268994,11578430,11897230,12229703,12581624,12956791,13357003,13780108,14221041,14672557,..
Rural population,SP.RUR.TOTL,Senegal,SEN,4591177,4723821,4859326,4995492,5129491,5259548,5384670,5506157,5626991,5751349,5882328,6021268,6167597,6320527,6476791,6635296,6795265,6957738,7125025,7300236,7485138,7680677,7884840,8094759,8305694,..
Surface area (sq. km),AG.SRF.TOTL.K2,Senegal,SEN,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Senegal,SEN,..,13.19999981,13.19999981,13.19999981,13.30000019,13.10000038,13.19999981,13.10000038,13,13,13.10000038,13,13.19999981,12.89999962,12.89999962,12.89999962,12.89999962,12.80000019,12.80000019,12.80000019,13,13.30000019,13.30000019,13.19999981,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Senegal,SEN,..,10,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,10.19999981,10.10000038,10.19999981,10.10000038,10.10000038,10.10000038,10,10,10,10,10.19999981,10.39999962,10.30000019,10.30000019,..,..
