Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Seychelles,SYC,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,2.173913043,1.956521739,0.173913043,0.173913043,0.175824176,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Seychelles,SYC,368584758.9,374359556.1,433667193.8,473916819.5,486451204.6,508221508.2,503068472.2,562958836.5,608369282.2,622985493.7,614879764.8,622262057.2,697518248.2,705704816,839319927.3,919103254.5,1016419763,1033635779,967211980.2,847424854.1,969973778,1065816209,1134236960,1411033801,1405764158,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Seychelles,SYC,6.99554469,2.760426099,7.161466737,6.196649768,-0.798696999,-0.825642363,4.917525348,11.96155598,8.403398525,1.872006587,1.514338815,-2.271162762,1.212831267,-5.887127528,-2.850453659,9.005761428,9.40612788,10.41767697,-2.140515163,-1.107180976,5.945430856,7.894705851,6.039787861,6.622540087,2.763439793,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,5265.496556,5290.927229,6051.986461,6517.814629,6580.334184,6748.931109,6583.201018,7280.989621,7715.918147,7747.612159,7578.851053,7663.13708,8333.551352,8523.005025,10173.57488,11086.89089,12014.418,12155.70166,11123.00451,9707.265391,10805.09945,12188.97553,12844.82928,15695.59289,15359.17835,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Seychelles,SYC,6.060097928,1.663908232,5.812545585,4.657250381,-2.427785695,-2.641766861,3.389420271,10.65541747,6.303964318,-0.109436247,0.612194896,-2.356613212,-1.807833637,-4.864161522,-2.497182581,8.479798768,7.207659589,9.855414623,-4.304641725,-1.494605019,3.028007384,10.7684924,5.004644127,4.728477834,0.937801689,..
Internet users (per 100 people),IT.NET.USER.P2,Seychelles,SYC,0,..,..,..,..,..,0.651474286,1.28295593,2.526177514,6.229054803,7.395629183,11.01510293,14.30417083,14.59250432,24.27213922,25.41326815,34.95197117,38.38,40.44,..,41,43.16400446,47.076,50.4,54.26,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Seychelles,SYC,152.173913,153.8152174,155.776087,158.0673913,160.7065217,163.7043478,166.123913,168.0847826,171.4043478,174.8043478,176.3717391,176.526087,181.9565217,180,179.3478261,180.2173913,183.9130435,184.8543478,189.0347826,189.7782609,195.1521739,190.0891304,191.9630435,197.5824176,201.156044,..
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,0.878130015,1.072796335,1.266764124,1.460183319,1.65583859,1.848218851,1.467193026,1.173453648,1.95568619,1.964196367,0.892658567,0.087474518,3.029910009,-1.08109161,-0.362976805,0.48367688,2.029920447,0.510514983,2.236282715,0.392530948,2.792329069,-2.628656355,0.98098019,1.792385936,1.792514345,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Seychelles,SYC,50.12530619,50.13427325,50.09077655,50.02361323,49.96887129,49.9498064,49.97039059,50.01911461,50.08268845,50.1436315,50.186066,50.21510198,50.23187785,50.21978663,50.15682953,50.03436736,49.84203969,49.59324534,49.33212563,49.11650065,48.98529238,48.95320328,49.00448563,49.11200966,49.23540702,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,70000,70755,71657,72711,73925,75304,76417,77319,78846,80410,81131,81202,83700,82800,82500,82900,84600,85033,86956,87298,89770,87441,88303,89900,91526,..
Rural population,SP.RUR.TOTL,Seychelles,SYC,35519,35885,36314,36810,37376,38013,38504,38876,39549,40227,40468,40374,41470,40869,40556,40575,41215,41222,41935,41867,42803,41437,41577,42045,42506,..
Surface area (sq. km),AG.SRF.TOTL.K2,Seychelles,SYC,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,455,455,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
