Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Sierra Leone,SLE,6.733167082,6.733167082,6.733167082,6.733167082,6.719312829,6.719312829,6.719312829,6.705458576,6.705458576,6.705458576,6.788584095,9.441950679,12.6084788,17.13313937,19.91867553,20.39373788,23.41202549,17.78498199,19.01122195,20.24064838,21.89498476,22.89595456,20.3886118,21.94028817,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Sierra Leone,SLE,0.35284346,0.353869814,0.569548654,0.35964263,0.362972454,0.510998513,1.098345087,1.152540147,0.418578234,0.269440486,0.26167555,0.397258387,0.819648358,0.777721277,0.722868788,0.690110609,0.56324989,0.546024125,0.530837816,0.492734281,0.479259038,0.466960541,0.454416605,0.442503237,..,..
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,649644955.5,779981458.9,679997997.6,768812334.8,911915970.7,870758739.4,941742152.7,850218033.6,672375927.3,669384768.9,635874002.2,1079478388,1239004288,1371442566,1431208677,1627854495,1885112202,2158496873,2505458705,2453899847,2578026297,2932106327,3789119779,4928272986,4892363979,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sierra Leone,SLE,3.349997984,2.351960645,-19.01290963,1.374549379,-1.947384335,-7.999753286,1.753821399,-5.877082015,1.785014281,-1.979285588,6.652727885,-7.140319715,26.26857661,9.382384967,6.417536687,4.332484395,5.525833107,8.058321564,5.399676742,3.186805673,5.346644565,5.961211231,15.20889189,20.12359402,6.981865773,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,165.2532645,197.6688858,173.0635022,197.4406409,236.3358888,226.8896637,245.6898333,221.2109347,173.3609028,169.515997,156.5918666,255.7885644,280.1811714,295.0797751,293.8545066,320.9953668,359.5337138,400.3809371,453.7363655,434.5343629,446.3417657,496.2179691,627.0099848,797.6024353,774.6442244,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sierra Leone,SLE,1.956726541,1.970893452,-18.66834397,2.293324255,-1.049537492,-7.502284518,1.880023063,-6.132233264,0.866410744,-3.724956866,3.713487441,-10.64965685,20.50199845,4.074197374,1.550198713,0.201295153,2.065278508,5.093962955,2.904330131,0.896272496,2.999140067,3.576087472,12.64952126,17.48540274,4.665121004,..
Internet users (per 100 people),IT.NET.USER.P2,Sierra Leone,SLE,0,..,..,0,0,0,0.002506116,0.004987835,0.014805065,0.048490656,0.118254246,0.160264445,0.176198957,0.190173282,0.203007681,0.21539161,0.227669467,0.239834699,0.25,0.26,0.58,0.9,1.3,1.7,2.1,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Sierra Leone,SLE,49.56822546,49.58169049,50.46443133,50.48210095,50.65520158,51.06196441,50.99967709,51.80383475,51.89460777,52.38830628,52.32843036,51.70768139,50.85855013,50.64526936,50.43917059,50.37632262,50.31219405,50.16214435,50.08305199,49.92707533,49.8470479,49.7626951,49.68054513,49.67216832,..,..
"Labor force, total",SL.TLF.TOTL.IN,Sierra Leone,SLE,1417059,1412949,1404621,1390269,1377515,1369867,1365691,1370885,1385643,1410330,1452180,1510352,1586046,1671550,1798390,1883756,1952952,2014563,2072196,2130966,2190882,2248584,2310655,2372864,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Sierra Leone,SLE,54.46395123,54.66748407,54.43588252,53.94695206,53.45745359,53.16995012,53.104087,53.24843447,53.7333749,54.70767526,56.25809088,58.46769188,61.26564145,64.39042671,67.47668329,70.25867276,72.64081463,74.68977556,76.50094209,78.23765586,80.02080909,81.8635079,83.72342754,85.60347742,87.49829593,..
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,1.357279295,0.373005395,-0.424555001,-0.902234695,-0.911511706,-0.5392688,-0.123949612,0.271451116,0.906591038,1.796970015,2.794585362,3.852445747,4.674486132,4.974578104,4.681713698,4.04016508,3.334319256,2.781626057,2.395984622,2.244800874,2.253565006,2.276660808,2.246551474,2.220706908,2.189341169,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Sierra Leone,SLE,50.61037218,50.60575549,50.60786189,50.61433409,50.62164399,50.62714201,50.62932863,50.62898858,50.62819794,50.63009015,50.63632976,50.64705495,50.66004033,50.67206346,50.67976028,50.68137751,50.67697027,50.66759931,50.65416624,50.63789202,50.61986855,50.60028012,50.57925849,50.55771624,50.53667672,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,3931208,3945899,3929182,3893891,3858559,3837807,3833053,3843472,3878475,3948800,4060709,4220198,4422154,4647701,4870467,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,..
Rural population,SP.RUR.TOTL,Sierra Leone,SLE,2624003,2624615,2604262,2571720,2539241,2516488,2504249,2501908,2515424,2551557,2614041,2706540,2825358,2958169,3088071,3203015,3298191,3376774,3443142,3504818,3567139,3630610,3693275,3755140,3816028,..
Surface area (sq. km),AG.SRF.TOTL.K2,Sierra Leone,SLE,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sierra Leone,SLE,..,2.400000095,2.400000095,2.299999952,2.299999952,2.400000095,2.599999905,2.5,2.299999952,2.400000095,2.299999952,2.200000048,2.099999905,2.200000048,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.200000048,2.200000048,2.099999905,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Sierra Leone,SLE,..,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.299999952,3.299999952,3.299999952,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.400000095,3.200000048,..,..
