Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Singapore,SGP,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.492537313,1.481481481,0.873362445,1.015965167,0.957910015,0.936599424,1.007194245,0.857142857,0.857142857,0.911680912,0.894886364,0.892351275,0.806223479,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Singapore,SGP,3.605633803,3.485318098,3.384610178,3.334087472,3.232500483,3.717391946,3.515315775,9.345274284,9.182643024,9.008053997,8.14455842,7.28219863,7.378410338,8.017874921,7.702121164,7.46085286,7.084370183,6.739150875,6.323472503,5.392014043,5.230676374,5.079688473,4.891153606,4.81315439,..,..
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,38899863982,45473126682,52157482142,60644916521,73775658851,87891560102,96400967339,1.00E+11,85707550710,86285332592,95835971175,89285087395,91941792115,97002305722,1.14E+11,1.27E+11,1.48E+11,1.80E+11,1.92E+11,1.92E+11,2.36E+11,2.75E+11,2.90E+11,3.02E+11,3.08E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Singapore,SGP,10.04421048,6.687076218,7.087600945,11.53738744,10.92545611,7.02804585,7.531933911,8.291117708,-2.225229743,6.095204493,8.897544418,-0.952290066,4.211686552,4.435328147,9.549175476,7.489157459,8.860196114,9.111527148,1.787620228,-0.603388298,15.24037704,6.207448728,3.414361301,4.443213647,2.918389477,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,12766.19211,14504.52192,16144.32852,18302.37408,21578.13947,24937.31312,26262.2844,26386.61798,21824.08604,21796.38078,23793.03637,21576.86984,22016.71267,23574.00256,27404.57524,29869.63276,33578.88807,39223.52986,39722.11502,38576.95923,46569.68854,53122.24973,54578.17678,55979.75705,56286.79949,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Singapore,SGP,5.847716353,3.692446794,3.918759935,8.750215059,7.502632005,3.82434069,3.249053605,4.716597937,-5.491691817,5.250988225,7.026666274,-3.587658085,3.263400132,5.988609493,8.184641863,4.992046599,5.506389918,4.660130669,-3.487483122,-3.556828401,13.21781955,4.015154225,0.90900999,2.764136942,1.591854849,..
Internet users (per 100 people),IT.NET.USER.P2,Singapore,SGP,0,0.161504498,0.471368155,0.763278139,1.185203797,2.873418722,8.34995903,13.47162042,19.59076716,24.15543693,36,41.67042518,47,53.83794329,62,61,59,69.9,69,69,71,71,72,81,82,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Singapore,SGP,39.14424145,38.29269203,38.45442985,38.28151606,38.30160961,38.70571196,39.0397016,39.12514582,39.3671353,39.85396999,40.61911211,40.57707064,40.3230125,40.84062289,41.27888821,41.85797574,42.44000132,42.52706859,43.0809094,42.8886646,43.50582272,43.92061782,44.20257462,44.23725851,..,..
"Labor force, total",SL.TLF.TOTL.IN,Singapore,SGP,1553125,1606740,1654548,1679620,1732405,1761988,1863275,1904706,1965665,2009313,2068866,2121612,2125119,2105296,2142267,2238350,2357302,2478057,2640954,2735527,2819903,2905690,3017693,3066596,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Singapore,SGP,4547.910448,4679.253731,4821.940299,4945.522388,5102.985075,5260.447761,5478.656716,5665.671642,5861.492537,5908.507463,6011.791045,6176.119403,6186.666667,5989.519651,6047.460087,6191.291727,6342.074928,6602.302158,6913.428571,7125.142857,7231.766382,7363.210227,7524.645892,7636.775106,7736.492221,..
