Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Slovak Republic,SVK,..,..,..,32.47401247,32.45322245,32.37006237,32.28690229,32.22453222,32.16216216,31.995842,31.76715177,29.97920998,29.31392931,29.37019331,28.96049896,28.91891892,28.64864865,28.62785863,28.73180873,28.73778332,28.94512487,28.93029446,28.95316919,28.98852104,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Slovak Republic,SVK,..,..,..,1.310124283,1.914930633,2.05567659,1.851093436,1.794085122,1.894752698,1.846220847,1.586471556,1.43025641,1.171708806,0.824999897,0.747827095,0.751972989,0.641445047,0.641668035,0.63216602,0.616136125,0.585914829,0.586501149,0.580137059,0.57928026,..,..
GDP (current US$),NY.GDP.MKTP.CD,Slovak Republic,SVK,12694514982,14213005316,15431233019,16452213633,20079368846,25733071895,27821926489,27658321060,29821792147,30409013424,29110097660,30699955257,35144739319,46810948081,57329401540,62676532770,70450257182,86030933479,99832576534,88634203946,89011920530,97525437865,92747389763,97712677179,99790145653,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovak Republic,SVK,..,..,..,1.901265551,6.205623836,5.84334694,6.757140098,6.060340514,3.994157751,-0.201699711,1.21315778,3.323344861,4.714416567,5.411369622,5.241472596,6.538393242,8.259223544,10.68113129,5.446741427,-5.290243351,4.827314045,2.704198974,1.602037893,1.424738518,2.409658361,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,2395.558976,2680.03345,2908.800467,3089.44063,3755.728713,4799.156415,5177.751223,5137.809021,5532.270407,5635.452319,5402.043094,5707.513359,6536.231078,8711.648972,10671.33536,11665.50981,13111.77166,16006.88076,18558.88684,16455.16583,16509.89692,18065.67259,17151.37028,18050.17245,18416.54243,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Slovak Republic,SVK,..,..,..,1.513029614,5.787939363,5.534067964,6.531401566,5.864701976,3.854772618,-0.303495079,1.350269386,3.5126124,4.752489849,5.480775813,5.262903752,6.527943261,8.254246853,10.64884102,5.35635402,-5.416366982,4.729669641,2.571861147,1.429274677,1.31580805,2.313022761,..
Internet users (per 100 people),IT.NET.USER.P2,Slovak Republic,SVK,0,..,..,0.127829232,0.318509704,0.523210163,0.783290109,1.173381014,2.689809786,5.437758139,9.426803201,12.52832185,40.14,43.04,52.89,55.19,56.08,61.8,66.05,70,75.71,74.43999717,76.70999012,77.8826,79.98,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Slovak Republic,SVK,46.89601324,46.83376546,46.54384674,46.05535474,44.6292511,44.73067614,45.20759457,45.23168732,45.04881995,45.26095173,45.63389165,45.59915414,45.47041644,45.50493181,45.39688119,44.79081991,44.63506682,44.6779487,44.74366969,44.42132365,44.78100418,44.42655544,44.57637733,44.6637872,..,..
"Labor force, total",SL.TLF.TOTL.IN,Slovak Republic,SVK,2578136,2628864,2570647,2518845,2454397,2480935,2517431,2516603,2535951,2571740,2596958,2635891,2637174,2666667,2674415,2659670,2650266,2649345,2689167,2683011,2696467,2702467,2732113,2736154,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Slovak Republic,SVK,110.1702079,110.2555925,110.2913929,110.7132017,111.1503326,111.4760707,111.7122869,111.9187318,112.0689397,112.183368,112.0316008,111.8267568,111.7861123,111.6893369,111.6898129,111.7007692,111.7059044,111.7385031,111.8343659,112.006779,112.1088769,112.2605224,112.4517343,112.5726377,112.6789636,..
