Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Slovenia,SVN,..,..,9.930486594,9.930486594,9.731876862,9.731876862,9.483614697,8.589870904,8.540218471,8.490566038,8.589870904,8.589870904,8.341608739,8.589870904,8.738828203,8.738828203,8.838133069,8.68917577,8.937437934,8.68917577,8.455809335,8.366434955,8.525322741,8.64448858,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Slovenia,SVN,..,..,1.758746834,1.405991869,1.797684371,1.343673019,1.489431398,1.462005038,1.432692514,1.453530476,1.404484154,1.24665284,1.384784399,1.140170487,0.988135458,1.178477466,1.072839983,1.153228511,1.157513468,1.157499304,1.157314418,1.18104203,1.32908158,1.332039633,..,..
GDP (current US$),NY.GDP.MKTP.CD,Slovenia,SVN,..,..,..,..,..,21273150020,21479992918,20749099640,22125504905,22690046144,20342229875,20875419546,23563591022,29697443017,34470229198,36346971770,39587755614,48114700246,55589863776,50244790220,47972980132,51248818460,46262747034,47989855095,49416055609,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovenia,SVN,..,..,..,..,..,..,3.516450347,5.11444817,3.285805431,5.273924468,4.155487429,2.9495093,3.836133571,2.842412786,4.351684751,4.002960675,5.656148851,6.941453447,3.300104169,-7.79732067,1.221819153,0.612801297,-2.639506751,-0.998492962,2.636709894,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,..,..,..,..,..,10690.71278,10801.41329,10447.91508,11165.31142,11442.02282,10227.75111,10479.31264,11814.10709,14880.46899,17260.90239,18169.17979,19726.13825,23841.32389,27501.81752,24633.79608,23417.64045,24964.80172,22488.65889,23296.57769,23962.57603,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Slovenia,SVN,..,..,..,..,..,..,3.581205779,5.255874166,3.511335881,5.198753265,3.847565176,2.787492738,3.707544254,2.780420815,4.284852,3.822974207,5.319522119,6.34509747,3.136873614,-8.626963015,0.781372612,0.404012542,-2.843772872,-1.132772827,2.523980712,..
Internet users (per 100 people),IT.NET.USER.P2,Slovenia,SVN,0,..,..,0.409792399,1.071570172,2.898985609,5.072272271,7.591923004,10.10460285,12.61093843,15.11025956,30.17591047,27.83888542,31.85479301,40.81,46.81,54.01,56.74,58,64,70,67.33999481,68.34997453,72.6756,71.59,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Slovenia,SVN,46.54672022,46.45086412,46.43373042,46.40651912,46.20926527,46.31297165,46.44905774,46.77895837,46.32195711,46.02705118,46.06135827,45.61513045,45.79451236,45.71865982,45.87576963,46.00992082,46.15816002,45.78115375,46.00527633,45.76111319,45.4571105,45.6490314,45.87852292,45.97630641,..,..
"Labor force, total",SL.TLF.TOTL.IN,Slovenia,SVN,848990,852137,852880,853490,945661,960055,943313,961009,980671,966612,961207,970599,974881,964768,1012007,1018263,1025316,1040557,1036705,1045357,1045524,1024519,1019501,1017237,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Slovenia,SVN,99.21355511,99.2765144,99.13098312,98.89503476,98.7806852,98.8019861,98.74021847,98.60754717,98.39270109,98.46300894,98.75496524,98.91062562,99.03326713,99.09299901,99.15650447,99.32840119,99.64587885,100.2046673,100.3632572,101.2745283,101.7171301,101.9286495,102.1429494,102.2816783,102.394141,..
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.090624343,0.063438224,-0.146699403,-0.238300478,-0.115694093,0.0215615,-0.062536134,-0.134454343,-0.218117657,0.071430845,0.29607496,0.157498742,0.123915442,0.060296779,0.064066202,0.173208905,0.319114537,0.559207816,0.158140844,0.903875535,0.436079485,0.207732702,0.210024306,0.135726229,0.10989356,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Slovenia,SVN,51.46372825,51.49353709,51.52515414,51.54976827,51.55603661,51.53666582,51.48418183,51.40253622,51.30964919,51.2307854,51.18261013,51.17560996,51.2011691,51.23396623,51.23781721,51.188617,51.07600548,50.91397466,50.73192688,50.5701477,50.45588751,50.39778575,50.38511674,50.4018512,50.42346138,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2062218,..
Rural population,SP.RUR.TOTL,Slovenia,SVN,991487,989577,987588,984699,983004,982678,981527,979652,976983,977145,979506,980492,981768,984196,986664,990215,995226,1002664,1006130,1017122,1023472,1027489,1031542,1034838,1037399,..
Surface area (sq. km),AG.SRF.TOTL.K2,Slovenia,SVN,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Slovenia,SVN,..,6.5,5.900000095,6.599999905,7,6.800000191,6.599999905,6.800000191,7.5,7.400000095,7.099999905,6,6.800000191,7.099999905,6.800000191,7,7.300000191,5.800000191,4.900000095,5.900000095,7,8.199999809,9.399999619,11.19999981,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Slovenia,SVN,..,5.5,5,8.699999809,8.199999809,7.199999809,6.900000095,6.599999905,7.400000095,7.300000191,6.900000095,5.699999809,6.300000191,6.699999809,6.300000191,6.5,6,4.800000191,4.400000095,5.900000095,7.199999809,8.199999809,8.800000191,10.19999981,..,..
