Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Solomon Islands,SLB,0.392997499,0.392997499,0.392997499,0.392997499,0.392997499,0.428724544,0.428724544,0.428724544,0.46445159,0.500178635,0.500178635,0.535905681,0.535905681,0.571632726,0.571632726,0.571632726,0.571632726,0.571632726,0.607359771,0.643086817,0.678813862,0.678813862,0.714540907,0.714540907,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Solomon Islands,SLB,302515026.9,320355090.6,378778047.2,410923236.2,464756638.5,519334096.7,565163750.6,567919502.8,471177008.1,482214092.3,435101217.5,400464594,341663056,332736306.5,375109694.3,413911362.3,456707935,516074229,608292551.5,597762270.8,671585231.6,886503123.8,1025124684,1059690062,1158183054,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Solomon Islands,SLB,..,6.004178731,12.69044733,3.97645843,9.193819876,8.223592047,1.605179835,-1.439673626,1.783866401,-0.482600682,-14.26748303,-7.978564432,-2.800002522,6.50000183,4.898370946,5.421193232,6.946649998,7.320001264,7.094495143,-4.727872457,6.895556838,12.92847503,4.660611855,3.014386846,1.507426291,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,970.0689337,998.7252018,1147.867918,1210.413374,1330.727669,1445.662731,1529.793228,1495.079761,1206.633242,1201.573044,1055.210356,945.5289267,785.6255585,745.4571873,819.3012297,881.9647785,950.0576951,1048.771486,1208.344196,1161.22881,1276.348513,1648.854127,1866.707246,1889.991818,2024.190415,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Solomon Islands,SLB,..,3.05800256,9.541791871,1.065031837,6.142333313,5.215205387,-1.200638854,-4.143564178,-0.986922276,-3.168178576,-16.55812741,-10.4117708,-5.338552398,3.765873786,2.266065443,2.845786184,4.408225489,4.842639288,4.683108594,-6.829805084,4.577556805,10.51908722,2.466246103,0.897271568,-0.530276246,..
Internet users (per 100 people),IT.NET.USER.P2,Solomon Islands,SLB,0,..,..,..,..,0.02487191,0.268683585,0.391923246,0.508292797,0.494541498,0.481296806,0.468551964,0.501919843,0.555609882,0.649672673,0.844307573,1.646347989,2,3,4,5,6,6.9974,8,9,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Solomon Islands,SLB,39.45989811,39.46746646,39.48479091,39.4983386,39.4448303,39.46271979,39.47146676,39.34280328,39.29184985,39.2518726,39.21349379,39.30166314,39.47800238,39.66255933,39.84640154,39.93667431,40.01500024,40.02178197,40.02104826,40.06588287,40.10767745,40.10693674,40.14603584,40.11400695,..,..
"Labor force, total",SL.TLF.TOTL.IN,Solomon Islands,SLB,110905,114697,118942,123390,128141,132966,137664,142697,147850,153129,158295,163245,168200,173186,178257,183180,187997,192820,197641,202177,207100,212088,217070,222618,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Solomon Islands,SLB,11.14144337,11.45994998,11.78935334,12.12897463,12.4776706,12.83444087,13.19892819,13.57123973,13.95101822,14.33794212,14.73154698,15.13165416,15.53744194,15.94683816,16.35730618,16.76691676,17.17456234,17.58038585,17.98535191,18.39110397,18.79874955,19.20857449,19.61993569,20.03161844,20.44197928,..
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.793516795,2.818655395,2.833851819,2.840032305,2.834350665,2.819155599,2.800337787,2.781719924,2.759966864,2.735682241,2.708192869,2.679760434,2.646386851,2.600785458,2.541408386,2.473304545,2.402165142,2.335448476,2.277380352,2.230942368,2.192328693,2.15664129,2.118940901,2.076577055,2.027864725,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Solomon Islands,SLB,48.62353254,48.6366924,48.64478278,48.64797196,48.64566929,48.63905622,48.62683319,48.61145846,48.60162514,48.60696852,48.63339607,48.6814549,48.74624333,48.82178191,48.8997272,48.97401695,49.04455021,49.11121272,49.16986154,49.2154703,49.24540601,49.25825075,49.25650355,49.24583322,49.23335856,..
