Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Somalia,SOM,1.629100647,1.629100647,1.630694679,1.632288711,1.641852903,1.649823062,1.65619919,1.662575318,1.662575318,1.662575318,1.662575318,1.665763382,1.912838333,1.992539931,2.151943125,2.151943125,1.817196417,1.594031944,1.753435139,1.753435139,1.753435139,1.594031944,1.594031944,1.753435139,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Somalia,SOM,2.399886439,..,..,..,..,11.63256,11.45568102,11.18616058,10.86990129,2.344088794,2.276245106,..,..,..,..,..,..,..,..,0.07304834,0.071132558,0.111086425,0.676040418,0.361431334,..,..
GDP (current US$),NY.GDP.MKTP.CD,Somalia,SOM,917044254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Somalia,SOM,-1.484075684,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,145.0648693,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Somalia,SOM,-2.047576832,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Somalia,SOM,0,..,..,..,..,0,0.00150955,0.002948713,0.00716442,0.013910394,0.02,0.079039179,0.115614213,0.376198003,1.053454744,1.077327839,1.100216368,1.122235622,1.142687372,1.160610542,..,1.25,1.3767,1.5,1.63,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Somalia,SOM,31.72823482,31.81982437,31.90975108,31.94124635,32.11914176,32.20683622,32.29325932,32.3803056,32.46718739,32.55250173,32.63539106,32.72375597,32.80796612,32.88973159,33.02974763,33.11159229,33.19660963,33.28184291,33.27596583,33.41782591,33.49774439,33.58229421,33.6633988,33.65244434,..,..
"Labor force, total",SL.TLF.TOTL.IN,Somalia,SOM,1958426,1948188,1933807,1925191,1922953,1934226,1964091,2011414,2069936,2133025,2196600,2250521,2307973,2368040,2425235,2487887,2550399,2612136,2675150,2737913,2811652,2880640,2958403,3043455,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Somalia,SOM,10.07685625,10.07353429,10.03286416,9.993375203,10.00878471,10.11642809,10.3307425,10.63662607,11.00556477,11.39478752,11.77258903,12.13066758,12.47681162,12.81458858,13.15244365,13.49656964,13.84725827,14.2012545,14.5576386,14.91508114,15.2735582,15.63214525,15.99392674,16.36777027,16.76534096,..
Population growth (annual %),SP.POP.GROW,Somalia,SOM,0.573632038,-0.032971694,-0.404549692,-0.394372641,0.154078459,1.069746797,2.096351224,2.917917655,3.409769753,3.47549827,3.261785001,2.996289157,2.813509398,2.671240385,2.602331557,2.582798232,2.565170118,2.524305216,2.478553963,2.425701224,2.375025309,2.320627603,2.287968435,2.310510236,2.399954384,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Somalia,SOM,50.4816728,50.4767205,50.47266317,50.46849349,50.46289078,50.45505827,50.44495446,50.43324515,50.42073476,50.40825885,50.39621329,50.3846031,50.37323039,50.36201796,50.35084003,50.33966234,50.32846438,50.31730219,50.30629321,50.29556494,50.2851995,50.27525144,50.2656566,50.25626312,50.2468869,..
"Population, total",SP.POP.TOTL,Somalia,SOM,6321615,6319531,6294017,6269244,6278911,6346440,6480888,6672781,6904231,7148406,7385416,7610053,7827203,8039104,8251054,8466938,8686939,8909015,9132589,9356827,9581714,9806670,10033630,10268157,10517569,..
Rural population,SP.RUR.TOTL,Somalia,SOM,4446750,4423229,4383216,4343896,4328242,4352071,4420938,4527682,4659596,4798153,4929987,5051781,5166737,5275984,5382988,5490301,5597777,5704086,5808875,5911363,6011663,6109359,6205499,6303416,6407513,..
Surface area (sq. km),AG.SRF.TOTL.K2,Somalia,SOM,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Somalia,SOM,..,7.599999905,7.5,7.400000095,7.599999905,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.300000191,7.400000095,7.300000191,7.400000095,7.400000095,7.300000191,7.300000191,7.400000095,7.400000095,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Somalia,SOM,..,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,..,..
