Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,South Africa,ZAF,10.55156666,10.63400077,10.8508025,11.06760422,11.0873884,11.12860546,11.25225663,11.29347369,11.29347369,11.34293416,11.3857999,11.28110857,11.29347369,11.21103958,10.96373723,10.86069459,10.38669843,10.38669843,10.55156666,10.4361589,10.33146757,9.919297002,10.30426432,10.30426432,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,South Africa,ZAF,0.739151774,0.672956115,0.607551328,0.585851407,0.564852569,2.007512257,1.950105645,1.475573337,1.392112162,0.496668571,0.439850343,0.400056509,0.352661226,0.331048858,0.332746208,0.324002599,0.576488719,0.346413459,0.334901663,0.424026991,0.428755237,0.423554875,0.328952526,0.397520523,..,..
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,1.12E+11,1.20E+11,1.31E+11,1.34E+11,1.40E+11,1.55E+11,1.48E+11,1.53E+11,1.38E+11,1.37E+11,1.36E+11,1.22E+11,1.15E+11,1.75E+11,2.29E+11,2.58E+11,2.72E+11,2.99E+11,2.87E+11,2.96E+11,3.75E+11,4.17E+11,3.97E+11,3.66E+11,3.50E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,-0.317783203,-1.018308015,-2.137041716,1.233613398,3.199999999,3.100000005,4.299999997,2.600000002,0.499999997,2.400000005,4.199999997,2.700000003,3.700374403,2.949075466,4.554559908,5.277051971,5.585045962,5.360474053,3.191043888,-1.538089135,3.039747085,3.212451755,2.219824006,2.212354431,1.524842816,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,3182.23967,3345.827626,3557.128685,3584.099342,3650.486114,3973.932383,3690.178479,3728.333992,3288.203765,3183.149769,3099.131614,2705.780204,2535.490042,3799.439554,4892.039055,5444.075846,5660.116974,6153.655167,5811.618944,5912.143179,7389.960264,8080.865243,7592.157997,6886.290406,6477.860092,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,-2.326864124,-3.037734508,-4.157824425,-0.881776503,1.018029416,0.894690477,2.004770117,0.279016388,-1.835311465,-0.04242341,1.650616747,0.619602816,2.250941211,1.653065609,3.210559162,3.895594819,4.17109246,3.920905403,1.752846272,-2.937589885,1.546429913,1.68755115,0.68049096,0.643726423,-0.062765939,..
Internet users (per 100 people),IT.NET.USER.P2,South Africa,ZAF,0,0.013283591,0.038869106,0.113747184,0.246905533,0.676740104,0.841882931,1.632093791,2.906220867,4.116249583,5.348559732,6.346619318,6.710322437,7.007691726,8.425118683,7.48854253,7.607139675,8.065375174,8.43,10,24,33.97,41,46.5,49,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,South Africa,ZAF,37.55221455,38.31958484,39.21057697,39.96854837,40.72707521,41.42613555,42.24422143,43.05032035,44.16243378,45.09952723,45.79525188,46.2944318,45.97863637,45.40306566,44.65552116,45.00639674,45.37986549,44.96604813,44.54496236,44.35823111,44.23467221,44.57932253,44.29898786,44.14786671,..,..
"Labor force, total",SL.TLF.TOTL.IN,South Africa,ZAF,11499668,11887848,12344636,12801881,13277801,13793191,14250510,14735967,15207108,15734839,16278264,16747634,17013495,16825311,16529114,17283812,17866785,17897688,18512897,18195304,17994649,18316871,18878104,19407803,..,..
Population density (people per sq. km of land area),EN.POP.DNST,South Africa,ZAF,29.01680832,29.6211394,30.24568581,30.89119191,31.5584359,32.24822561,32.97384943,33.73703765,34.53963267,35.38359479,36.27101039,37.02094486,37.5457262,38.02440957,38.51956079,39.03173961,39.56153212,40.10955988,40.67647743,41.26297389,41.86977718,42.49765393,43.14741281,43.81990619,44.51603179,..
