Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15550350879,12231253586,15727809707,17826873819,10368977864,11804446136,13069991258,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.042134574,5.4929179,-4.638970408,-46.08249852,13.13063457,36.16522544,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1688.677351,1271.02046,1563.948571,1696.162406,944.2977748,1030.613057,1097.287327,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.516793038,0.947590056,-8.755025863,-48.39277166,8.456910665,30.93665758,..
Internet users (per 100 people),IT.NET.USER.P2,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,14.1,15.9,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,-0.158061401,-1.102724087,-1.871251416,-1.967526266,-1.086644499,0.508777172,2.382138036,3.911034807,4.803371539,4.896109608,4.501159498,4.023992158,3.738467753,3.617569923,3.727068257,3.971966797,4.179987797,4.2858387,4.362664428,4.403674288,4.404234993,4.412208716,4.379338118,4.219025174,3.915536494,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,South Sudan,SSD,50.29483582,50.29015627,50.28386403,50.27572893,50.26579238,50.25443027,50.24220917,50.22961275,50.2168501,50.20369104,50.18975798,50.17492566,50.15923023,50.14259913,50.12514632,50.10708764,50.08872605,50.0702116,50.05154965,50.03272308,50.01378714,49.99480501,49.97603506,49.95786555,49.94062723,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,5762190,5698998,5593347,5484372,5425099,5452771,5584223,5806951,6092688,6398416,6692999,6967817,7233237,7499695,7784488,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184,..
Rural population,SP.RUR.TOTL,South Sudan,SSD,4997202,4896921,4759267,4627384,4570700,4587253,4690915,4870696,5102687,5350611,5588386,5808930,6020874,6232922,6459335,6710450,6985658,7279836,7592029,7919970,8260891,8615988,8982150,9347454,9696776,..
Surface area (sq. km),AG.SRF.TOTL.K2,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,644330,644330,644330,644330,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
