Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Spain,ESP,30.70438892,30.55021624,30.43608842,29.99759731,29.64520263,28.12149608,28.93240429,28.60203428,27.39868653,26.95619093,26.85370741,26.20556848,25.86766592,26.07519881,26.09279218,25.87308902,25.49200369,25.21688606,25.03608661,25.06116392,25.05549889,24.86396735,25.12944563,25.12944563,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Spain,ESP,1.665761898,1.544788602,1.235932066,1.258566659,1.295024916,1.696099862,1.676671161,1.600539164,1.557695101,1.486529411,1.329467577,1.178820219,1.326836833,1.137718775,1.074233909,1.037346159,1.013937716,0.987402523,0.963512058,0.951584336,0.947903968,0.912619072,0.910956996,0.913538521,..,..
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,5.35E+11,5.76E+11,6.29E+11,5.24E+11,5.29E+11,6.13E+11,6.41E+11,5.89E+11,6.17E+11,6.33E+11,5.95E+11,6.26E+11,7.05E+11,9.07E+11,1.07E+12,1.16E+12,1.26E+12,1.48E+12,1.63E+12,1.50E+12,1.43E+12,1.49E+12,1.36E+12,1.39E+12,1.40E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Spain,ESP,3.781400803,2.545990065,0.92922876,-1.031504539,2.383200292,2.757497697,2.67472166,3.689611652,4.305954242,4.484868682,5.289101181,4.001084229,2.879800598,3.187555487,3.166754693,3.723042003,4.174126284,3.768945822,1.115925266,-3.573794025,0.013804783,-0.617622686,-2.088745234,-1.229951981,1.389371939,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,13773.36465,14782.03946,16105.41741,13362.01873,13465.3784,15561.97275,16236.77168,14872.56589,15534.35989,15859.08603,14787.75606,15359.10844,17019.53541,21495.70741,24918.64584,26510.71745,28482.60948,32709.40104,35578.73619,32333.4661,30737.83227,31973.01908,28985.33333,29880.71284,30262.22563,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Spain,ESP,3.623895257,2.312625086,0.596750189,-1.338730787,2.108145034,2.517346795,2.437609659,3.41657986,3.941747021,3.947976136,4.407975538,2.743596423,1.202307093,1.338228053,1.401916733,1.985515547,2.428015567,1.865767296,-0.48440868,-4.424104315,-0.44560868,-0.970139747,-2.152294426,-0.905782301,1.860093151,..
Internet users (per 100 people),IT.NET.USER.P2,Spain,ESP,0.012873564,0.025686194,0.076845453,0.127689668,0.280069738,0.380800728,1.331847404,2.803319625,4.361892394,7.085039678,13.62496081,18.14872269,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.6,69.80999994,71.635,76.19,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Spain,ESP,34.34280404,34.81215653,35.62541721,36.33106843,37.19334661,37.68645353,38.05043353,38.40544829,38.55096988,38.83666632,39.42008272,38.91761024,39.60194895,40.34907955,40.80696744,41.21054713,41.85358593,42.24270781,42.84849594,43.71383487,44.18367347,44.77549909,45.22253758,45.54856526,..,..
"Labor force, total",SL.TLF.TOTL.IN,Spain,ESP,15788571,15924509,16020298,16208915,16447560,16602796,16836933,17072372,17314685,17642436,18187732,18213125,18932245,19688521,20479711,21207964,21894836,22483232,23144495,23373861,23548377,23635272,23667418,23419921,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Spain,ESP,77.78799255,77.96541927,78.22309987,78.46668268,78.67805342,78.86235984,79.04490229,79.25359002,79.53129105,79.94207112,80.68780762,81.75399382,83.02251924,84.50881393,85.98480508,87.4654972,88.97614934,90.61490052,92.12932237,92.97506517,93.15193096,93.50783588,93.50683713,93.2009456,92.7702405,..
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.151881923,0.22783038,0.329961303,0.310911158,0.269014245,0.233979972,0.231202196,0.263663726,0.34978306,0.515171909,0.840384465,1.216479485,1.643976833,1.808454468,1.725466303,1.689349047,1.690352556,1.851081308,1.595330499,0.885735981,0.460408305,0.355338396,0.064925963,-0.32766904,-0.463196351,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Spain,ESP,51.02256057,51.03643967,51.04679108,51.05261148,51.05294571,51.0470745,51.03509549,51.01697733,50.99194622,50.95924165,50.9190131,50.87270065,50.8225015,50.77049666,50.71888252,50.6698714,50.62135359,50.5750844,50.54068558,50.53016414,50.5504695,50.60666434,50.6934053,50.79422496,50.88508758,..
"Population, total",SP.POP.TOTL,Spain,ESP,38850435,38939049,39067745,39189400,39294967,39387017,39478186,39582413,39721108,39926268,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46404602,..
Rural population,SP.RUR.TOTL,Spain,ESP,9576244,9529164,9528623,9526159,9519599,9509601,9499241,9492258,9493345,9510038,9557682,9641647,9722744,9796815,9862593,9925418,9988509,10067486,10120932,10102486,10041047,9968815,9868179,9730070,9580230,..
Surface area (sq. km),AG.SRF.TOTL.K2,Spain,ESP,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505000,505020,505320,505370,505370,505370,505370,505370,505370,505370,505600,505600,505940,505940,505940,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Spain,ESP,..,24.5,26.20000076,29.89999962,32.20000076,31.29999924,30.29999924,29,27.20000076,23.39999962,21,15.5,16.70000076,16.20000076,15.30000019,12.39999962,11.80000019,11.10000038,13.19999981,18.5,20.70000076,22.29999924,25.60000038,27.29999924,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Spain,ESP,..,16.39999962,18.39999962,22.79999924,24.29999924,23.10000038,22.5,21.10000038,19,15.89999962,14.19999981,10.69999981,11.60000038,11.5,11.19999981,9.300000191,8.600000381,8.399999619,11.5,18.10000038,20.20000076,21.70000076,25.20000076,26.60000038,..,..
