Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Sri Lanka,LKA,14.35177803,14.39961729,14.43151013,14.03284963,14.08068889,14.12852815,14.14447457,14.16042099,14.17636741,14.43151013,14.59097433,14.60692075,14.92584915,15.14909903,14.35177803,17.54106203,16.74374103,15.94642003,19.13570403,17.54106203,19.13570403,20.73034604,19.93302504,20.73034604,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Sri Lanka,LKA,0.33174833,1.633129365,1.618112028,1.58131518,1.553572475,3.312759526,3.105447026,3.05801301,2.795746741,2.723695162,2.557303507,2.68013794,3.141745087,3.043843091,3.027222456,2.487666151,2.48547891,2.53230231,2.513969942,2.619128986,2.633738055,2.601999609,2.666048771,2.639924269,..,..
GDP (current US$),NY.GDP.MKTP.CD,Sri Lanka,LKA,8032551173,9000362582,9703011636,10338679636,11717604209,13029697561,13897738375,15091930836,15794972847,15656342016,16330810304,15746224409,17102623876,18881765437,20662525941,24406264194,28279802452,32350238664,40713826320,42066223972,49565557439,59180578839,59391495533,67206129445,74941183242,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sri Lanka,LKA,6.399999999,4.600000001,4.399999991,6.900000005,5.600000003,5.499999999,3.799999996,6.405415966,4.698397162,4.300572628,6,-1.545372866,3.964656494,5.940269077,5.445061279,6.241748044,7.668291899,6.79682612,5.950088146,3.538912053,8.015959406,8.245909534,6.341361551,7.249002393,7.367421291,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,472.0864633,521.2464575,556.8123285,585.8936663,654.9440618,718.4438443,757.9482098,812.7924836,840.8737674,821.5964534,854.9267252,837.6988035,903.8964049,984.8101725,1063.160584,1242.428436,1424.101241,1614.363924,2010.95655,2057.028067,2399.920469,2835.812873,2921.65956,3281.068664,3631.047204,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sri Lanka,LKA,5.211871877,3.073434876,3.447423381,5.567233372,4.15390979,4.074795985,2.667801043,5.075921324,3.494454776,2.811815504,5.744738771,0.052151275,3.283317379,4.547844949,4.023573959,5.11140161,6.508003125,5.832195872,4.866828823,2.506054446,6.954261843,7.125534027,9.171481415,6.437422284,6.555884021,..
Internet users (per 100 people),IT.NET.USER.P2,Sri Lanka,LKA,0,..,..,..,0.002765448,0.005484436,0.054464499,0.162464548,0.296351104,0.348414425,0.647410011,0.793821864,1.050422706,1.458580228,1.44615998,1.792046794,2.537566129,3.88,5.8,8.78,12,15,18.2854,21.9,25.8,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Sri Lanka,LKA,31.53061291,31.80097795,32.07149525,32.00167907,32.06921024,32.69066267,32.23043079,31.8979695,35.23879861,33.05650127,33.11654032,32.89461419,32.58314663,32.36084084,32.48917736,32.03652541,35.07295464,33.89252433,33.83821246,34.02324861,32.87723192,33.06031193,33.23606816,33.4047095,..,..
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,6631533,6735535,6798046,6956235,7080455,7108877,7251774,7429661,8055093,8014847,7961511,7820493,7845958,7914337,7895026,8039664,8569777,8411318,8472655,8518099,8470850,8574175,8368189,8451000,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Sri Lanka,LKA,271.3283368,275.3468346,277.8823154,281.3905278,285.2974007,289.2042736,292.3935576,296.0931271,299.5375538,303.8749801,304.6085154,299.7448573,301.7222134,305.7407112,309.9186733,313.251475,316.6640089,319.550311,322.8512199,326.1042896,329.3414129,332.7858396,324.1588263,326.6305214,329.118163,..
