Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,St. Kitts and Nevis,KNA,30.76923077,30.76923077,30.76923077,30.76923077,26.92307692,26.92307692,23.07692308,23.07692308,23.07692308,26.92307692,26.92307692,26.92307692,26.92307692,26.92307692,26.92307692,15.26923077,15.30769231,15.34615385,15.38461538,15.38461538,17.30769231,19.23076923,19.23076923,19.23076923,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,St. Kitts and Nevis,KNA,159200367.6,164574441.5,181815552.3,198341107.6,221740736.8,230740736.7,245555551.2,275089909.1,287324365.9,305008717.2,420086426.4,460467993.8,480825573.9,463418870.6,501150880,543169963,636071000,684148703.7,734660333.3,708891296.3,692457407.4,728050629.6,731919888.9,774074074.1,833333333.3,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,St. Kitts and Nevis,KNA,2.269863944,0.393180573,3.309233598,6.657692065,5.104314945,3.667828909,6.543399332,6.770172154,1.143626317,5.210629539,2.328457389,4.980220133,1.837514825,-2.548816266,4.605144062,9.258699522,5.885215531,2.832376563,4.128684448,-5.598329089,-3.227007768,1.695117941,-1.225698,3.762065229,6.339234723,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,3898.816339,4013.129838,4395.927281,4740.919486,5234.302028,5380.076867,5659.135563,6268.426776,6472.581513,6787.322917,9223.749043,9963.389168,10244.49928,9719.151667,10349.22518,11053.74474,12767.89514,13556.89495,14378.88426,13707.12331,13226.95231,13737.32272,13642.4956,14255.24528,15166.95787,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,St. Kitts and Nevis,KNA,2.322460303,-0.037680939,2.432503883,5.444166359,3.796806648,2.398811698,5.308319941,5.568293037,-0.009280239,3.929971424,0.966893952,3.453763755,0.277460001,-4.073502893,3.000121304,7.668924187,4.442041149,1.513986636,2.848806307,-6.737348031,-4.400809153,0.455541991,-2.426086536,2.518089898,5.094765301,..
Internet users (per 100 people),IT.NET.USER.P2,St. Kitts and Nevis,KNA,0,..,..,..,..,..,1.945569823,2.258559942,3.343810607,4.400440044,5.86281024,7.714726556,21.15238176,22.96978429,24.73767754,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,65.4,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Kitts and Nevis,KNA,157.05,157.7269231,159.0769231,160.9076923,162.9346154,164.9538462,166.8884615,168.7884615,170.7346154,172.8384615,175.1692308,177.7538462,180.5192308,183.3884615,186.2461538,188.9961538,191.6076923,194.0961538,196.5115385,198.9115385,201.3538462,203.8384615,206.3461538,208.85,211.3230769,..
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,-0.051415771,0.430097679,0.852267539,1.144298269,1.251812686,1.231672677,1.16599798,1.132052971,1.146417014,1.22470158,1.339512966,1.464716683,1.543760731,1.57693299,1.54625629,1.465745828,1.372334764,1.290366218,1.236747483,1.213904606,1.22035934,1.226403601,1.222729209,1.20611739,1.177184174,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40833,41009,41360,41836,42363,42888,43391,43885,44391,44938,45544,46216,46935,47681,48424,49139,49818,50465,51093,51717,52352,52998,53650,54301,54944,..
Rural population,SP.RUR.TOTL,St. Kitts and Nevis,KNA,26701,26872,27181,27573,28000,28428,28844,29254,29675,30124,30616,31153,31715,32289,32853,33391,33896,34370,34822,35263,35701,36137,36566,36983,37384,..
Surface area (sq. km),AG.SRF.TOTL.K2,St. Kitts and Nevis,KNA,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
