Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,St. Lucia,LCA,4.754098361,4.590163934,4.426229508,4.426229508,4.098360656,3.278688525,3.114754098,3.114754098,3.278688525,3.278688525,3.278688525,3.278688525,3.278688525,3.278688525,3.278688525,3.606557377,3.770491803,3.93442623,4.098360656,4.918032787,4.918032787,4.918032787,4.918032787,4.918032787,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,St. Lucia,LCA,397192585.6,431470362.8,477996287.9,492029620.9,517566657.5,560811101.2,566370360.4,604411100.4,657529581,692507395.2,780895356.6,738755098.1,741966023.9,805836689.5,885242280.7,935463222.2,1059656444,1143477000,1171371519,1176607815,1244297407,1289531852,1302666704,1335764111,1365426556,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,St. Lucia,LCA,23.54489174,2.677944572,7.021715029,2.572962106,1.421181592,3.28784338,5.417235317,0.403655445,6.353149719,2.358586863,4.420561618,-3.701964197,-0.013165379,4.806206979,8.122630797,-1.680000533,8.337833727,-0.582725554,3.487353854,0.646763676,-1.039710425,1.241586398,-1.597608138,-0.431955475,-1.595330462,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,2874.457849,3078.43494,3367.736327,3426.581014,3562.987275,3814.003681,3802.113025,4002.881574,4295.725902,4465.686452,4975.472011,4656.508655,4630.977942,4981.465252,5415.584544,5655.523782,6320.42065,6720.563516,6781.556765,6715.951362,7014.196449,7192.917435,7201.430171,7327.084343,7435.141472,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,St. Lucia,LCA,21.55465489,1.228165019,5.683321521,1.388592704,0.255196178,2.038892173,4.057076845,-0.947525581,4.913484958,1.033832175,3.172430227,-4.73444424,-0.991703101,3.802635085,7.001465882,-2.836132976,6.884549693,-2.037646701,1.939797653,-0.770480816,-2.267530497,0.179351076,-2.474520381,-1.204774558,-2.31335849,..
Internet users (per 100 people),IT.NET.USER.P2,St. Lucia,LCA,0,..,..,..,..,0.305656686,0.670465974,0.992168483,1.304988973,1.932105802,5.090483341,8.181863954,14.64183577,20.98247346,21.39521236,21.56758295,24.5,27.9,32,36,43.3,44,45.9,46.2,51,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,St. Lucia,LCA,44.29768816,44.37666538,44.68939855,44.82135365,44.95902028,45.16588926,45.52510861,45.7112769,46.02818288,46.35571806,46.48918378,46.55138064,46.83483809,47.18983971,46.82082348,46.42564375,46.66666667,46.50420485,46.59431525,46.40948228,46.38766231,46.45843634,46.47873916,46.51058551,..,..
"Labor force, total",SL.TLF.TOTL.IN,St. Lucia,LCA,58222,59671,60737,61966,63202,64531,65834,67421,69049,70837,72946,75291,77421,79604,81216,82952,83370,84902,87075,89430,91492,93038,94540,95933,..,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Lucia,LCA,226.5245902,229.7688525,232.6786885,235.3967213,238.1344262,241.0491803,244.2,247.5311475,250.9278689,254.2180328,257.2934426,260.0819672,262.652459,265.1918033,267.9704918,271.1590164,274.8459016,278.9278689,283.1622951,287.2065574,290.8147541,293.8983607,296.5409836,298.8606557,301.057377,..
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,1.624058983,1.42203094,1.258466836,1.161378393,1.156306374,1.216565011,1.298658125,1.354886106,1.36291,1.302677286,1.202493802,1.077960622,0.983486984,0.962164045,1.04235191,1.182855592,1.350515778,1.474263088,1.50670003,1.418145489,1.248481161,1.05475149,0.895143802,0.779199691,0.732343757,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,St. Lucia,LCA,50.89665653,50.90789746,50.92719151,50.95130648,50.97410197,50.99292709,51.0056256,51.0132853,51.01786158,51.02306656,51.03058955,51.04254649,51.05668527,51.06851212,51.06997345,51.05769405,51.02948895,50.98856276,50.94396424,50.90698418,50.88473875,50.87908165,50.88727956,50.90425386,50.92379319,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138180,140159,141934,143592,145262,147040,148962,150994,153066,155073,156949,158650,160218,161767,163462,165407,167656,170146,172729,175196,177397,179278,180890,182305,183645,..
Rural population,SP.RUR.TOTL,St. Lucia,LCA,97626,98711,100249,101711,103187,104744,106411,108163,109950,111698,113358,115064,118034,120976,124014,127223,130658,134272,137957,141536,144667,146201,147516,148653,149713,..
Surface area (sq. km),AG.SRF.TOTL.K2,St. Lucia,LCA,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
