Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,St. Vincent and the Grenadines,VCT,10.25641026,10.25641026,10.25641026,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,12.82051282,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,St. Vincent and the Grenadines,VCT,198207403.9,212492588.8,233188884.8,238774069.9,243255551.3,266481476.8,281518513.5,293070365.2,317851809.2,331866660.8,396261363.4,430039288.7,461883436.3,481806287.8,521975101.9,550728666.7,610778296.3,684049037,695428851.9,674922481.5,681370666.7,677039407.4,694445888.9,718879481.5,728696703.7,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,St. Vincent and the Grenadines,VCT,5.04561899,0.615858377,7.523570261,0.157463604,-3.003255837,1.001757633,1.340156296,13.2747416,5.175199379,4.404971918,-0.829605847,1.709263603,6.321647576,7.689791237,4.15628429,2.488004855,7.661607218,3.308335319,1.643377425,-2.099061259,-3.365069493,-0.480673797,1.165562972,1.795450237,-0.451725793,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,1843.635453,1970.973174,2159.136348,2208.887109,2249.679099,2464.636954,2604.771679,2713.589367,2945.172106,3076.286032,3672.58926,3982.250865,4270.766863,4446.594383,4808.038668,5064.218215,5608.204138,6272.85933,6370.437886,6177.497428,6233.036945,6191.999409,6351.600498,6575.498106,6663.283684,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,St. Vincent and the Grenadines,VCT,4.627425862,0.334013397,7.334410176,0.068514636,-3.031961326,1.008296657,1.38141323,13.35550154,5.25121344,4.447554986,-0.846150024,1.622613553,6.163369395,7.487041754,3.955767876,2.312713414,7.504426886,3.174757979,1.535369989,-2.179708227,-3.418993262,-0.503428145,1.172039996,1.801968006,-0.481765049,..
Internet users (per 100 people),IT.NET.USER.P2,St. Vincent and the Grenadines,VCT,0,..,..,..,..,0.128634622,0.483248317,0.926371957,1.853997683,2.7820023,3.245037411,5.094809778,5.54959488,6.462274167,7.371165842,9.198278082,12,16,21,31,38.5,43.01,47.52,52,56.48,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,St. Vincent and the Grenadines,VCT,36.05032295,36.02641198,36.43187469,36.69204121,36.87224571,37.16640589,37.25639134,37.71653883,37.98502528,38.27444362,38.3738586,38.612096,38.93028045,39.17722652,39.56205813,39.73961562,40.18263962,40.495395,40.67271353,40.85232273,40.95572004,41.03992915,41.12122102,41.19398079,..,..
"Labor force, total",SL.TLF.TOTL.IN,St. Vincent and the Grenadines,VCT,41492,42405,43031,43876,44703,45377,46078,46412,46879,47405,48077,48793,49527,50269,50920,51616,52015,52443,52920,53407,53907,54196,54512,54758,..,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Vincent and the Grenadines,VCT,275.6641026,276.4384615,276.925641,277.1717949,277.2538462,277.2358974,277.1230769,276.925641,276.725641,276.6128205,276.6589744,276.8948718,277.3076923,277.8307692,278.3666667,278.8435897,279.2512821,279.6128205,279.9102564,280.1410256,280.2974359,280.3615385,280.3435897,280.325641,280.4102564,..
