Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Sudan,SDN,5.387205387,5.408249158,5.429292929,6.152356902,6.313131313,6.800084175,7.016835017,6.986531987,6.944444444,6.893939394,6.832070707,6.892255892,6.952441077,7.597643098,7.583754209,7.891414141,7.891414141,8.100589226,8.131734007,7.910774411,7.936868687,7.178451178,8.857323232,7.247474747,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Sudan,SDN,1.132337503,1.099296028,1.342447131,1.302192718,1.227076674,1.897878499,1.423082396,1.256486762,1.414136154,1.371850013,1.451612942,1.460653298,1.418330364,1.2687221,1.300696249,1.282177174,..,1.244896415,1.207146191,1.169041351,1.13462424,2.302374713,2.238640614,2.180749747,..,..
GDP (current US$),NY.GDP.MKTP.CD,Sudan,SDN,12408647541,11379222222,7031933251,8881009895,12793798271,13830369852,9018303104,11681179571,11250220584,10682027621,12257299147,13182872568,14803423364,17646271401,21457886198,26524992281,35821858788,45898948564,54527549894,53149439465,65634083050,67326793943,62689620777,66480692535,73815376185,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sudan,SDN,-5.470053776,7.510910626,6.577861385,4.56874919,1.006228243,5.99709232,5.919124758,10.56673631,4.308504104,3.10409568,6.345867769,6.500360421,6.427273901,7.734591717,3.883307291,7.489738142,10.064308,11.52191017,7.80196299,3.241847734,3.469335244,-1.967729268,-2.214703047,3.308186182,3.079559627,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,481.4966602,428.4327166,256.509445,313.6658782,437.6845823,458.798762,290.4388385,365.5386205,342.2667228,315.9874823,352.4981434,368.5150163,402.2317986,466.0277419,550.7572464,661.6375946,868.3094475,1081.159321,1248.377469,1183.18964,1421.532375,1596.433463,1662.307027,1726.094471,1875.854186,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sudan,SDN,-8.092933019,4.316680582,3.258443373,1.24607943,-2.162582408,2.782847485,2.829045316,7.433863768,1.409067136,0.250941679,3.387131477,3.522360068,3.447986969,4.712793282,0.962532107,4.462070728,6.956703302,8.372913829,4.777889742,0.387930264,0.666118209,7.325919494,9.351883699,1.155188809,0.891776042,..
Internet users (per 100 people),IT.NET.USER.P2,Sudan,SDN,0,..,..,..,0,0,0,0.001231819,0.004805071,0.008794581,0.025785032,0.140185224,0.439477639,0.538471703,0.791561615,1.292040678,..,8.66,..,..,16.7,17.30391318,21,22.7,24.64,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Sudan,SDN,26.00690064,25.92686299,25.84348245,25.80834804,26.24241139,26.86606949,27.68684798,27.83244225,27.977182,28.0672134,28.21058519,28.20546256,28.34964451,28.43855546,28.57999443,28.71974713,28.7090976,28.84599475,28.88675172,29.02047427,29.05880056,29.24479322,29.28144464,29.37254557,..,..
"Labor force, total",SL.TLF.TOTL.IN,Sudan,SDN,5740338,5912875,6108248,6297071,6682549,7034170,7308080,7536888,7757386,7996501,8232222,8489352,8742674,9024829,9302710,9593058,9896821,10201652,10520681,10846494,11175506,11479452,11806272,12119685,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Sudan,SDN,10.84637795,11.17849958,11.53785143,11.9164979,12.30245581,12.68718056,13.06843855,13.44952652,13.8340686,14.22778788,14.63495918,15.05595918,15.4895686,15.93656608,16.39759975,16.87285816,17.36309554,17.86761574,18.3833064,18.9059234,19.43239057,19.96141204,20.49370497,21.03068392,21.57468771,..
Population growth (annual %),SP.POP.GROW,Sudan,SDN,3.686381555,4.17146189,4.49669322,4.518767321,4.187655766,3.655993089,3.088133621,2.645626514,2.372982256,2.324593621,2.425416359,2.55082996,2.620567699,2.655033783,2.634534419,2.576817585,2.52811271,2.495061633,2.443819283,2.37130331,2.289869013,2.199935755,2.12850184,2.10607592,2.145269562,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Sudan,SDN,49.78854308,49.78776544,49.78723763,49.7872048,49.78793588,49.78956722,49.7920612,49.79527039,49.7990612,49.80323137,49.80757605,49.81198843,49.81634075,49.82038878,49.82387371,49.82660677,49.82865706,49.83001347,49.83037492,49.82938921,49.82691763,49.82289355,49.81764628,49.81189064,49.80653756,..
"Population, total",SP.POP.TOTL,Sudan,SDN,20008804,20861117,21820588,22829227,23805536,24691970,25466387,26149124,26777059,27406808,28079664,28805142,29569978,30365586,31176209,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274,..
Rural population,SP.RUR.TOTL,Sudan,SDN,14284285,14636160,15033731,15494881,16145153,16733254,17244819,17693282,18103970,18515491,18955177,19429644,19929869,20450008,20979406,21510078,22043420,22582508,23122913,23652719,24168081,24665783,25148527,25627944,26119531,..
Surface area (sq. km),AG.SRF.TOTL.K2,Sudan,SDN,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,1879357.5,1879357.5,1879357.5,1879357.5,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Sudan,SDN,..,20.39999962,20.10000038,20.29999924,20.20000076,20.29999924,20.39999962,21.39999962,20.60000038,20.60000038,20.60000038,20.29999924,20.20000076,20.20000076,20.10000038,20,20.10000038,20.10000038,20,20,19.89999962,19.89999962,19.79999924,20.39999962,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Sudan,SDN,..,15.30000019,15.19999981,15.19999981,15.10000038,15.10000038,15,15.30000019,15.10000038,15.10000038,15.10000038,15,14.89999962,14.89999962,14.89999962,14.80000019,14.89999962,14.80000019,14.80000019,14.80000019,14.80000019,14.80000019,14.80000019,15.19999981,..,..
