Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Suriname,SUR,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.365384615,0.288461538,0.352564103,0.33974359,0.314102564,0.314102564,0.294871795,0.301282051,0.371794872,0.352564103,0.371794872,0.333333333,0.384615385,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Suriname,SUR,2.567558893,2.617818179,1.338249169,1.391924057,1.366026911,1.228627009,1.194695552,1.163339301,1.139550637,1.117706962,1.218241955,1.189484953,1.164584971,1.028442139,0.560189568,1.098683777,1.078486883,1.056479388,1.034404287,0.93121179,0.912612403,0.898235748,0.885500886,0.920347265,..,..
GDP (current US$),NY.GDP.MKTP.CD,Suriname,SUR,388300000,448300000,404600000,428794117.6,605492537.3,693970588.2,860630922.7,929607500,945000000,885444186,892164393.9,763465550.5,1078402128,1271196078,1484092538,1793776693,2626332574,2936612022,3532969035,3875409836,4368371528,4423194614,5013030303,5298787879,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Suriname,SUR,-0.488637259,2.78210988,-0.20142816,-7.254621346,3.247174905,1.096488469,1.274377274,5.736491836,1.564201258,-0.871057627,-0.068687218,4.553077415,4.299944411,6.010154543,9.256031959,4.570714921,3.84213742,5.111487808,4.143406525,3.01369863,5.157261795,5.267209149,3.008461297,2.880032451,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,951.0723138,1077.468106,955.2095039,995.1105188,1381.51989,1556.581182,1897.112821,2014.016323,2014.461489,1861.596524,1855.77231,1576.724046,2217.697802,2606.827725,3033.018889,3645.894998,5295.527145,5862.050975,6973.098239,7561.450701,8430.854783,8450.258033,9484.765064,9933.054417,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Suriname,SUR,-2.47337559,0.857236542,-1.969459293,-8.832085497,1.508877689,-0.615550847,-0.472044448,3.923090005,-0.068029515,-2.231786218,-1.131708893,3.806192603,3.857881887,5.712324968,8.882922717,3.999613128,3.0142529,4.062372544,2.970948648,1.834870516,4.016879825,4.201744646,2.015279921,1.932136004,..,..
Internet users (per 100 people),IT.NET.USER.P2,Suriname,SUR,0,..,..,..,..,0.114720735,0.226306297,1.003086936,1.670148436,1.891871357,2.506411052,3.064448389,4.161568745,4.719875395,6.076047814,6.403086288,9.499626942,14.11,21.06,31.36,31.59,32,34.6812,37.4,40.08,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Suriname,SUR,37.27838757,36.10167606,34.85938347,31.62312264,33.75998907,32.52516979,33.1003677,33.62373729,34.24349665,34.96932515,35.15176249,35.33305579,35.43016857,35.62752111,35.75073805,35.95937067,36.16597913,36.391489,36.61015371,36.82234099,37.003953,37.15327612,37.26274351,37.36609896,..,..
"Labor force, total",SL.TLF.TOTL.IN,Suriname,SUR,155790,152799,149449,143686,146410,146505,150666,154727,157957,161044,164171,168140,171735,175022,178511,182036,185445,189308,193348,197592,201619,204846,207792,210790,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Suriname,SUR,2.617153846,2.667102564,2.715205128,2.762185897,2.809487179,2.857884615,2.908032051,2.958775641,3.007102564,3.048955128,3.081737179,3.103910256,3.117121795,3.125903846,3.136615385,3.153839744,3.179185897,3.211237179,3.247801282,3.285397436,3.321416667,3.355378205,3.388044872,3.419551282,3.450307692,..
Population growth (annual %),SP.POP.GROW,Suriname,SUR,2.014642445,1.890529215,1.787480301,1.71548539,1.697961019,1.70797379,1.739487518,1.72989666,1.62014639,1.382193914,1.069450629,0.716923236,0.424738475,0.281339773,0.342084344,0.547636114,0.80044802,1.003112014,1.132196173,1.150939088,1.090376907,1.017309413,0.968852816,0.925631735,0.895407485,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Suriname,SUR,49.20935838,49.23474048,49.26057435,49.28510261,49.30637948,49.32395756,49.33484403,49.34040198,49.34919038,49.37147446,49.41414578,49.48080378,49.56680534,49.66050845,49.74453927,49.8066053,49.84202132,49.85517603,49.8538459,49.84878698,49.84801434,49.85318251,49.86197697,49.87346518,49.88611198,..
"Population, total",SP.POP.TOTL,Suriname,SUR,408276,416068,423572,430901,438280,445830,453653,461569,469108,475637,480751,484210,486271,487641,489312,491999,495953,500953,506657,512522,518141,523439,528535,533450,538248,..
Rural population,SP.RUR.TOTL,Suriname,SUR,140014,142378,144633,146817,149006,151243,153562,155904,158103,159952,161321,162128,162458,162560,162760,163924,165574,167584,169836,172146,174386,176525,178603,180626,182547,..
Surface area (sq. km),AG.SRF.TOTL.K2,Suriname,SUR,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Suriname,SUR,..,14,23.5,22.5,15.5,11.30000019,15.30000019,14.5,14.39999962,20.39999962,20.60000038,10.69999981,12.10000038,14.10000038,21.29999924,10.89999962,13.19999981,11.5,9.699999809,12.19999981,10.19999981,10,10.10000038,10.69999981,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Suriname,SUR,..,10.39999962,17.29999924,14.69999981,12.69999981,8.399999619,10.89999962,10.5,10.60000038,13.80000019,14.80000019,8.100000381,9.100000381,11,14.60000038,8.199999809,9.899999619,8.600000381,7.300000191,9,7.599999905,7.400000095,7.400000095,7.800000191,..,..
