Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Swaziland,SWZ,10.46511628,10.63953488,10.40697674,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.34883721,10.1744186,10.1744186,10.1744186,10.1744186,10.1744186,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Swaziland,SWZ,1.196219945,1.16363862,1.132998973,1.106145746,1.078748652,1.049486801,1.018502801,0.98844182,0.958705364,0.929192439,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Swaziland,SWZ,1114703088,1156141998,1284766234,1357206996,1419293455,1698982438,1602760100,1716699913,1576904292,1547884442,1524496383,1349339652,1224226095,1854032546,2420645241,2584077932,2947943587,3053808159,3019779209,3144671159,3527776867,3806792359,3760602923,3530226512,3400422936,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Swaziland,SWZ,21.01800022,1.760376356,3.226207342,3.106113506,2.40069125,4.825651668,3.842053737,3.102805305,2.604039665,2.950874865,1.760173901,1.157877823,1.777204687,2.240094011,2.906684386,2.46332929,3.302561657,3.503652042,2.373518542,1.250350107,1.680816911,1.327171806,2.663803757,3.011454774,2.46706977,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Swaziland,SWZ,1292.067822,1303.065206,1415.023382,1465.311842,1503.133746,1763.476293,1627.984086,1705.172944,1532.918723,1476.776192,1433.18124,1255.474129,1131.243533,1704.153913,2211.089257,2339.289953,2636.320016,2690.928392,2617.360094,2679.6706,2956.696795,3139.731322,3053.19578,2822.733712,2679.371826,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Swaziland,SWZ,16.9583407,-1.051875042,0.872898982,1.071540404,0.448705287,2.736054272,1.61882421,0.82376181,0.416297726,1.039780784,0.27124562,0.117841582,1.078435398,1.699361402,2.265053889,1.548095513,2.049669214,1.985189032,0.69676675,-0.456152821,0.008873491,-0.28659765,1.060450222,1.450848626,0.975736266,..
Internet users (per 100 people),IT.NET.USER.P2,Swaziland,SWZ,0,..,..,..,..,0.00103175,0.050399009,0.088545986,0.096099605,0.4707176,0.926191777,1.28159005,1.816203807,2.437073851,3.228685073,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,27.1,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Swaziland,SWZ,41.66992304,41.45229857,41.11917639,40.84480038,40.59079468,40.37900467,40.23357664,40.28790015,40.36053713,40.26531541,40.32089366,40.26569877,40.2180708,40.06756467,39.91945711,39.87571551,39.78077544,39.76817609,39.6954164,39.62919845,39.65725548,39.45191082,39.40974817,39.21278093,..,..
"Labor force, total",SL.TLF.TOTL.IN,Swaziland,SWZ,250790,257812,264784,271212,278100,285854,294550,303508,312922,322861,331761,338052,343925,349295,354842,361107,370214,379771,390763,401994,413019,424347,434933,446102,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Swaziland,SWZ,50.15860465,51.58418605,52.78761628,53.85023256,54.89668605,56.01325581,57.23872093,58.53255814,59.8077907,60.93901163,61.84389535,62.48633721,62.91831395,63.25284884,63.6497093,64.22337209,65.01186047,65.97982558,67.07848837,68.22843023,69.36906977,70.49174419,71.61011628,72.71168605,73.7855814,..
Population growth (annual %),SP.POP.GROW,Swaziland,SWZ,3.412148774,2.802507557,2.306146949,1.993009919,1.924626102,2.013539044,2.164223502,2.235254011,2.155278288,1.873762296,1.473983841,1.033453513,0.688935297,0.530288634,0.625459037,0.897243787,1.220252621,1.477930035,1.651437971,1.699794157,1.657974402,1.605451163,1.574075358,1.526576224,1.466122343,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Swaziland,SWZ,52.83762669,52.69282095,52.49513463,52.27428786,52.07000889,51.90963933,51.80181736,51.73517025,51.69243721,51.64933297,51.58938249,51.50856234,51.41310023,51.31003383,51.21088808,51.12452722,51.05365389,50.99497468,50.94413868,50.89443891,50.84130384,50.78369725,50.72355634,50.66250027,50.60317765,..
"Population, total",SP.POP.TOTL,Swaziland,SWZ,862728,887248,907947,926224,944223,963428,984506,1006760,1028694,1048151,1063715,1074765,1082195,1087949,1094775,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112,..
Rural population,SP.RUR.TOTL,Swaziland,SWZ,665094,683758,699446,713267,726863,741377,757321,774390,792619,808994,822401,832352,839513,845380,852107,861201,873206,887648,903732,920352,936717,952689,968432,983792,998601,..
Surface area (sq. km),AG.SRF.TOTL.K2,Swaziland,SWZ,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Swaziland,SWZ,..,25.70000076,25.60000038,25.5,25.5,22.79999924,23.60000038,25.79999924,25.79999924,25.89999962,25.89999962,26,26,26,26,26.10000038,26.10000038,26.10000038,26.10000038,26.10000038,26,26,25.60000038,25.60000038,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Swaziland,SWZ,..,22.89999962,22.70000076,22.60000038,22.5,21.70000076,22,22.5,22.60000038,22.60000038,22.70000076,22.79999924,22.79999924,22.79999924,22.89999962,22.89999962,22.89999962,23,23,22.89999962,22.79999924,22.70000076,22.5,22.5,..,..
