Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Sweden,SWE,6.923526831,6.791928645,6.738314568,6.76755861,6.76755861,6.735877565,6.845542721,6.813861676,6.777306624,6.687137496,6.587220354,6.557976312,6.523858264,6.497051226,6.472681191,6.565287323,6.460496174,6.431252132,6.399571087,6.419067115,6.397134084,6.360579032,6.380419306,6.373054451,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Sweden,SWE,1.387434158,1.346844536,1.52361417,1.554632449,1.564441234,2.207152326,2.171034639,1.992489691,1.998361659,1.983246819,1.939807105,1.514086011,1.50591902,1.36472017,0.595355708,0.602051649,0.512970651,0.362733651,0.358618593,0.444091662,0.425636156,0.422501518,0.316433616,0.314548227,..,..
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,2.58E+11,2.70E+11,2.80E+11,2.10E+11,2.26E+11,2.64E+11,2.88E+11,2.64E+11,2.67E+11,2.71E+11,2.60E+11,2.40E+11,2.64E+11,3.31E+11,3.82E+11,3.89E+11,4.20E+11,4.88E+11,5.14E+11,4.30E+11,4.88E+11,5.63E+11,5.44E+11,5.80E+11,5.71E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sweden,SWE,0.754672078,-1.145974204,-1.158593658,-2.065613434,4.087603253,4.024303169,1.51786036,2.90048313,4.226791612,4.530153946,4.73528882,1.563407818,2.073577943,2.385742815,4.32052663,2.818331148,4.688128579,3.404948607,-0.557047987,-5.184660922,5.988927133,2.664408163,-0.286319956,1.282360789,2.278441474,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,30162.31625,31374.11682,32338.50429,24080.89967,25747.24169,29914.33175,32587.2641,29897.79263,30143.62746,30577.08177,29283.00505,26969.24457,29571.70446,36961.42537,42442.22045,43085.35315,46256.4716,53324.37937,55746.84238,46207.0592,52076.43052,59593.6848,57134.07707,60364.9094,58887.25191,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sweden,SWE,-0.020761845,-1.817514513,-1.73663125,-2.632805533,3.350469499,3.479913017,1.356426142,2.841576913,4.168949165,4.448728306,4.567244577,1.29110569,1.741931608,2.005480594,3.91104083,2.40793789,4.100927707,2.640982716,-1.328731949,-5.98896616,5.089186132,1.892057621,-1.02124344,0.427771857,1.337141043,..
Internet users (per 100 people),IT.NET.USER.P2,Sweden,SWE,0.584192066,1.160519453,1.497871352,1.716364182,3.412810096,5.098024244,9.04359976,23.72794756,33.46751233,41.43278316,45.68765221,51.76566494,70.57,79.13,83.89,84.83,87.76,82.01,90,91,90,92.76998606,93.17998801,94.7836,92.52,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Sweden,SWE,47.72884499,47.6343424,47.56590665,47.48964615,47.291874,47.47356403,47.55660221,47.41767064,47.12986152,47.21647843,47.09030033,47.46986424,47.43831257,47.39865333,47.58682486,47.28010537,47.32410737,47.4367612,47.38280762,47.38380871,46.93656808,47.15559283,47.36297786,47.40423472,..,..
"Labor force, total",SL.TLF.TOTL.IN,Sweden,SWE,4684907,4677600,4594339,4502672,4474441,4512602,4523189,4464264,4438636,4472464,4551999,4590228,4615122,4630986,4635884,4750423,4795596,4852045,4907721,4924659,4972087,5041402,5087955,5118452,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Sweden,SWE,20.85791051,21.0005727,21.12410928,21.24716333,21.39870595,21.51128089,21.54554272,21.55788371,21.56985427,21.58666959,21.62136034,21.6794853,21.75015353,21.83123507,21.91726617,22.00509821,22.12922211,22.29393186,22.46828727,22.66051323,22.85452552,23.02776478,23.36960279,23.56846615,23.78738891,..
