Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Switzerland,CHE,10.21275519,10.30888715,10.27347011,10.36960206,10.60487237,10.68076602,10.64814815,10.51180206,10.45640844,10.3883618,10.34308268,10.35852542,10.33095491,10.29579211,10.28593117,10.27886027,10.29936483,10.28950299,10.28191112,10.27431926,10.23635996,10.22117623,10.21864561,10.21611499,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Switzerland,CHE,0.58237896,0.569499374,0.794890138,0.892557499,1.000316767,0.803367594,0.693960056,0.668908589,0.66251474,0.693641387,0.692878485,0.660635655,0.67448565,0.664230029,0.096374465,2.612921352,0.542898673,0.533986251,0.521809481,0.571623001,0.560283982,0.504104524,0.488513885,0.452040618,..,..
GDP (current US$),NY.GDP.MKTP.CD,Switzerland,CHE,2.57E+11,2.60E+11,2.71E+11,2.64E+11,2.92E+11,3.42E+11,3.30E+11,2.87E+11,2.95E+11,2.90E+11,2.72E+11,2.79E+11,3.01E+11,3.52E+11,3.94E+11,4.08E+11,4.29E+11,4.77E+11,5.52E+11,5.40E+11,5.81E+11,6.96E+11,6.66E+11,6.85E+11,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Switzerland,CHE,3.674624439,-0.915805538,-0.043737004,-0.125980016,1.269754995,0.480872078,0.6010826,2.312045481,2.944785248,1.64336715,3.946098963,1.446599189,0.143400521,0.049702558,2.84295634,3.03829565,4.012782006,4.140354374,2.277231127,-2.129604826,2.953806584,1.804553114,1.109171726,1.915615441,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,38332.1548,38303.05074,39435.54023,38005.32055,41738.9696,48540.57355,46610.0577,40429.9352,41487.68954,40577.33322,37813.23022,38538.64307,41336.72164,47960.5636,53255.9767,54797.54675,57348.92444,63223.46492,72119.55903,69672.00863,74277.1216,88002.61459,83295.25862,84732.95726,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Switzerland,CHE,2.615465057,-2.146478928,-1.139723026,-1.031419017,0.465683744,-0.188345152,0.157771226,2.065881369,2.63935347,1.15976379,3.363607263,0.806700968,-0.611295286,-0.689839005,2.138411547,2.380340427,3.362084867,3.213807821,0.985899463,-3.344872272,1.887048015,0.678879387,0.041254706,0.750420419,..,..
Internet users (per 100 people),IT.NET.USER.P2,Switzerland,CHE,0.595714223,1.17995597,1.751713322,2.167270203,2.720004329,3.552007211,4.549656748,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Switzerland,CHE,42.6742683,42.91283916,43.29620427,43.21959771,43.05250509,43.03187348,43.59787531,43.71490841,44.22590695,44.44748834,44.2443935,44.87335639,45.30041127,45.36367439,45.36399069,45.75762254,45.73756089,45.62603736,46.20359781,46.21596506,45.81537416,45.680468,45.83256677,46.1451997,..,..
"Labor force, total",SL.TLF.TOTL.IN,Switzerland,CHE,3777609,3863042,3899910,3921316,3898765,3908547,3933944,3925798,3969723,3993418,3997815,4056699,4092007,4140132,4150477,4171576,4236518,4307227,4407739,4481975,4513247,4582383,4636511,4700905,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Switzerland,CHE,169.888411,172.0250449,173.9321511,175.5234132,176.9282046,178.1144729,178.9073568,179.3433855,179.8816222,180.7461354,181.7693047,182.9277636,184.3214665,185.6987677,186.9844383,188.1956324,189.385176,191.0901154,193.5336319,195.9669754,198.0187519,200.2327665,202.3702045,204.7106489,207.2636147,..
