Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Syrian Arab Republic,SYR,26.58069431,26.13994994,25.93318098,25.96038742,26.18348025,26.1127435,25.78626619,25.96038742,25.62302753,25.57949722,24.71433235,25.22037218,24.99183807,25.19200392,25.91382034,25.46712426,25.43157436,25.78958832,25.58810717,25.4301895,25.52415183,25.3880085,25.4043457,25.3880085,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Syrian Arab Republic,SYR,12.37095397,11.7552251,11.16482816,10.60199312,7.883831739,12.41336651,12.00102451,9.421126789,9.155148755,8.823910133,8.644876883,8.608896622,8.435209394,8.296804079,8.029902972,7.979524846,7.518488263,7.260512625,7.024708405,7.106693871,6.944185976,3.034895156,2.992963341,2.954392152,..,..
GDP (current US$),NY.GDP.MKTP.CD,Syrian Arab Republic,SYR,12308624282,12981833333,13253565899,13695962019,10122020000,11396706587,13789560878,14505233969,15200846138,15873875969,19325894913,21099833784,21582248882,21828144686,25086930693,28858965517,33332844575,40405006007,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Syrian Arab Republic,SYR,7.640772323,7.901270698,13.47033376,5.178987101,7.652937117,5.750015288,4.399999999,1.800000002,6.337264017,-3.553656913,2.742857397,5.20094281,5.9,0.6,6.900000004,6.2,4.999999998,5.699999996,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,988.522325,1012.81485,1005.109809,1010.053364,726.0599561,795.195144,935.7604034,957.3172087,976.366134,993.8297409,1181.719202,1263.885859,1269.729208,1261.42609,1419.593379,1591.530192,1779.821049,2079.987864,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Syrian Arab Republic,SYR,4.504231273,4.819871605,10.29836402,2.282183585,4.707888233,2.865442072,1.536075715,-0.993278875,3.490217232,-5.990914538,0.345363856,3.05611678,4.011546307,-1.183708167,4.676490835,3.500441938,1.66211435,1.905271685,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Syrian Arab Republic,SYR,0,0,0,0,0,0,0,0.032607814,0.063687286,0.124295462,0.18169858,0.35375913,2.093101019,3.397972614,4.321593778,5.648106049,7.832551569,11.5,14,17.3,20.7,22.5,24.3001,26.2,28.09,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Syrian Arab Republic,SYR,17.91529414,18.58316692,19.33116112,20.15758512,20.92691688,21.67874067,21.33362462,21.03913708,20.73604829,20.41659261,19.86465721,19.47667541,19.22714122,19.17288441,17.98257105,17.03676509,16.0575785,16.18306704,16.1691795,14.90809793,15.09989978,15.22642705,15.3022481,15.4047816,..,..
"Labor force, total",SL.TLF.TOTL.IN,Syrian Arab Republic,SYR,3298048,3470797,3654333,3848333,4058940,4277647,4407957,4542981,4674965,4805126,4913893,4983217,5062115,5146560,5168182,5213343,5333519,5523026,5708422,5670710,5803416,5865112,5947283,6024928,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Syrian Arab Republic,SYR,67.75241593,69.74413973,71.74984764,73.78192404,75.85713897,77.98433997,80.18396452,82.44619654,84.71431603,86.91059963,88.98710415,90.83912286,92.4884155,94.25534615,96.26797952,98.77889633,101.9887818,105.7808593,109.4372522,111.9955946,112.8388716,114.7465937,116.6865708,118.6593422,120.6654686,..
