Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Tajikistan,TJK,..,..,6.144612746,6.208916833,6.073163761,6.03029437,5.794512718,5.794512718,5.601600457,5.601600457,5.601600457,5.594455559,5.580165762,5.58731066,5.558731066,5.408688197,5.265790226,5.330094313,5.29436982,5.301514718,5.994569877,6.073163761,6.144612746,6.144612746,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Tajikistan,TJK,..,..,0.145804901,0.143614332,0.141301747,0.835444765,1.074189958,0.459073383,0.452329965,0.444162658,0.306480139,0.297766134,0.288517716,0.27851048,0.447685856,0.468050849,0.590704603,0.569811838,0.551491102,0.512159065,0.495483049,0.481694003,0.468398611,0.455596528,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tajikistan,TJK,2629395066,2535545389,1909246641,1646693875,1346074461,1231523105,1043893063,921843115.8,1320126665,1086567368,860550294.3,1080774006,1221113795,1554125543,2076148710,2312344311,2830228903,3719515379,5161298559,4979471964,5642221529,6522755783,7633036366,8506615265,9241627841,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tajikistan,TJK,-0.6,-7.1,-29,-16.4,-21.3,-12.4,-16.7,1.7,5.3,3.7,8.299998545,10.2,10.8,11,10.3,6.7,7,7.8,7.9,3.8,6.5,7.4,7.5,7.4,6.699250546,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,496.3664537,468.0240177,345.6771837,293.1731154,236.0452889,212.9067853,178.0711659,155.2766173,219.5706981,178.2974897,139.1091416,171.812885,190.6049112,237.8931931,311.4241128,339.7680768,407.2526117,523.9476512,711.5036299,671.5440088,744.1898922,841.2198704,962.4391249,1048.659569,1114.007483,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Tajikistan,TJK,-3.1690426,-9.162350869,-30.35815351,-17.79298679,-22.48429291,-13.6375823,-17.80684447,0.422818565,3.97719711,2.307753335,6.688913712,8.373480469,8.791977233,8.853136393,8.086977599,4.520315473,4.784253434,5.530497064,5.593708734,1.547772827,4.157861249,5.014447573,5.100794308,5.00405634,4.333377971,..
Internet users (per 100 people),IT.NET.USER.P2,Tajikistan,TJK,0,..,..,..,..,..,..,..,..,0.032791858,0.048599595,0.051259133,0.055462827,0.064583777,0.077479907,0.298690024,3.772406207,7.197619518,8.78,10.07,11.55,13.03,14.51,16,17.49,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Tajikistan,TJK,44.48295029,44.4001042,44.23988017,44.21784762,44.05717822,44.04789698,44.07753366,44.0488112,44.08939991,44.05401192,44.0919781,44.03779149,43.97731289,43.93425451,43.83497404,43.75454549,43.77642317,43.67228982,43.70262043,43.63950286,43.49186055,43.45707353,43.4006084,43.34696303,..,..
"Labor force, total",SL.TLF.TOTL.IN,Tajikistan,TJK,1991617,2022993,2057544,2088928,2123116,2154541,2187695,2221867,2254991,2296456,2349255,2418005,2495514,2585181,2680451,2777476,2877919,2983441,3082552,3182605,3289719,3383891,3479942,3577727,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Tajikistan,TJK,37.84857102,38.70787368,39.46275364,40.1314447,40.74457702,41.32845099,41.88499571,42.41769077,42.95733067,43.54191197,44.19942841,44.94436268,45.77392112,46.67670049,47.63238068,48.62571449,49.65394398,50.7217848,51.82960846,52.9791369,54.1704487,55.40100743,56.66568305,57.95865962,59.27293512,..
