Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Tanzania,TZA,10.16030707,10.16369384,9.934522466,10.04741477,10.04741477,10.04741477,10.16030707,10.05644615,9.84985324,9.821630165,9.708737864,9.629713254,9.708737864,9.641002484,10.72476857,10.95055317,10.95055317,11.28923007,12.78584331,12.98261459,13.09550689,13.88575299,15.3533529,15.2404606,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Tanzania,TZA,0.326616866,0.316070111,0.351111374,0.338961469,0.356305285,0.248107269,0.241285618,0.23503633,0.224910903,0.218832949,0.213092333,0.16637934,0.161424739,0.156786348,0.150198904,0.145786021,..,0.137317031,0.133149131,0.130792231,0.126856074,0.123112542,0.119377233,0.115889386,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,4258742899,4956587902,4601413521,4257702021,4510847189,5255221044,6496195824,7683852497,9345174102,9697847589,10185786171,10383560998,10805600069,11659129815,12825801917,16929976913,18610460327,21501741757,27388319370,28574170931,31105430200,33561501962,38808657767,44333456245,49183884817,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tanzania,TZA,7.045071644,2.071988211,0.584322134,1.205800809,1.567661766,3.569911868,4.544366802,3.525278191,3.708511596,4.840382325,4.933846627,5.997828858,7.163553536,6.886226532,7.828298381,8.173335834,4.660570995,8.464381242,5.566595648,5.382346168,6.358886081,7.904507572,5.141013621,7.26306003,6.965132962,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,171.8745942,193.5753835,173.7861742,155.5555701,159.6537795,180.5642943,217.1541102,250.3206846,297.0125607,300.7665073,308.1440923,306.2721519,310.6316442,326.4841539,349.6209315,448.9298845,479.7036584,538.3888953,665.8375489,674.2321348,712.2331641,745.6113309,836.4524887,927.0601337,998.058927,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Tanzania,TZA,3.695695492,-1.225775925,-2.728203757,-2.097957904,-1.606538298,0.543362306,1.711180637,0.891639398,1.177536777,2.304631363,2.357758401,3.347236967,4.443813528,4.116823292,4.966249392,5.227554179,1.736516742,5.364347024,2.496011058,2.282367789,3.210516348,4.694705145,2.003178232,4.067193496,3.800459218,..
Internet users (per 100 people),IT.NET.USER.P2,Tanzania,TZA,0,..,..,..,..,..,0.001622155,0.007900283,0.009244125,0.075130889,0.11719444,0.171300351,0.222484414,0.676962857,0.877574971,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,4.86,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Tanzania,TZA,49.78566993,49.76173055,49.79098187,49.75868891,49.83593567,49.79700346,49.75046711,49.76058612,49.7165805,49.61786142,49.63712001,49.52271684,49.59047567,49.67458552,49.84408549,49.98681938,50.11945152,50.17868869,50.19279994,50.1858355,50.20279998,50.24083241,50.1783954,50.20788883,..,..
"Labor force, total",SL.TLF.TOTL.IN,Tanzania,TZA,12246765,12655420,13101256,13570864,14032910,14509853,14920077,15316781,15739566,16176723,16612517,17069427,17593338,18113822,18641947,19206231,19793385,20390770,21029052,21713828,22387576,23068324,23790131,24506127,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Tanzania,TZA,28.74035674,29.6991217,30.71106909,31.74847483,32.77296004,33.75855611,34.69624859,35.59921088,36.49125423,37.40718108,38.37388801,39.39835403,40.47807632,41.61913299,42.82607135,44.10205464,45.45139648,46.87514563,48.36841725,49.9233608,51.53367013,53.19823662,54.9172601,56.68712689,58.50374915,..
Population growth (annual %),SP.POP.GROW,Tanzania,TZA,3.172254574,3.281517968,3.350567338,3.322154089,3.175909907,2.963011323,2.739767179,2.569190012,2.474915044,2.479007162,2.551453512,2.634681098,2.703646244,2.779948712,2.858707167,2.935931106,3.013717389,3.084404535,3.135947349,3.164198102,3.174633736,3.178986665,3.18024412,3.17194552,3.154369428,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Tanzania,TZA,50.47458564,50.4608917,50.44803009,50.43355037,50.41443268,50.38936635,50.35678638,50.31911016,50.28338582,50.25851146,50.24974707,50.25854563,50.28083852,50.30961942,50.33594274,50.35397639,50.36252218,50.36377339,50.35976408,50.35343517,50.34673738,50.33990622,50.33222149,50.32342625,50.31309783,..
"Population, total",SP.POP.TOTL,Tanzania,TZA,25458208,26307482,27203865,28122799,29030288,29903329,30733937,31533781,32323953,33135281,33991590,34899062,35855480,36866228,37935334,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621,..
Rural population,SP.RUR.TOTL,Tanzania,TZA,20650680,21254341,21889318,22535643,23165299,23760288,24314232,24836952,25345212,25863081,26408406,26986049,27592943,28161743,28746258,29359752,30003188,30676041,31372635,32088007,32814899,33552517,34298630,35051002,35808913,..
Surface area (sq. km),AG.SRF.TOTL.K2,Tanzania,TZA,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Tanzania,TZA,..,4.300000191,4.5,4.800000191,4.900000095,6,6.599999905,6,6.199999809,6,6.599999905,6.5,4.599999905,4.199999809,3.700000048,3.200000048,5.599999905,2.599999905,3.200000048,3.200000048,3.799999952,4.5,4.5,4.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Tanzania,TZA,..,3.599999905,3.5,3.700000048,3.900000095,4.699999809,5,4.599999905,4.800000191,4.599999905,5.099999905,5.099999905,3.599999905,3.400000095,2.900000095,2.5,4.300000191,2,2.5,2.5,3,3.5,3.5,3.5,..,..
