Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Thailand,THA,34.24220478,34.27352268,33.74111844,33.44164106,33.00123314,32.9601284,32.41989469,31.7915794,31.18479516,31.05756621,30.64064671,30.49188671,30.12194406,29.75200141,29.75200141,29.75200141,29.75200141,29.75200141,29.84986983,30.72089882,30.84812778,30.84812778,32.41402259,32.90336472,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Thailand,THA,0.87933326,0.880743008,0.886006304,0.932298505,0.927189414,1.31602597,1.202806761,1.007002913,1.12043799,1.116549527,1.200649861,1.15521057,1.163024955,1.171354621,1.12763359,1.11874099,1.111866033,1.088112867,1.082420706,1.078493706,1.075338901,1.207217673,1.144806673,1.137472827,..,..
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,85343189318,98234713393,1.11E+11,1.25E+11,1.44E+11,1.68E+11,1.82E+11,1.51E+11,1.12E+11,1.23E+11,1.23E+11,1.16E+11,1.27E+11,1.43E+11,1.61E+11,1.76E+11,2.07E+11,2.47E+11,2.73E+11,2.64E+11,3.19E+11,3.46E+11,3.66E+11,3.87E+11,3.74E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Thailand,THA,11.16715854,8.558260592,8.083393215,8.251038453,8.987181869,9.237488251,5.901348115,-1.371381564,-10.50996915,4.447634195,4.750070392,2.167264271,5.317573751,7.139975323,6.344073496,4.604698946,5.092898713,5.044316148,2.484300401,-2.329848588,7.810512395,0.077086894,6.490571575,2.890758479,0.710822704,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,1508.287909,1716.610657,1929.530969,2146.56058,2457.446655,2834.986418,3038.590635,2492.222422,1826.251038,1978.730222,1957.548967,1821.904725,1978.227443,2200.64983,2466.798711,2677.515612,3129.437533,3722.135849,4101.797482,3962.71358,4781.799391,5166.764888,5448.828352,5741.207122,5519.361114,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Thailand,THA,9.654295781,7.338202185,7.081175346,7.366076861,8.086864331,8.23605334,4.817439159,-2.456276318,-11.54151638,3.229156829,3.548131621,1.004299015,4.132820878,6.014999246,5.389208764,3.875002097,4.599767399,4.760805165,2.330569143,-2.469191198,7.578009891,-0.238439667,6.076476201,2.452521731,0.302547154,..
Internet users (per 100 people),IT.NET.USER.P2,Thailand,THA,0,5.22E-05,0.000343725,0.013580966,0.038614321,0.074825338,0.115472136,0.360522185,1.091218985,2.426242432,3.689041279,5.556326121,7.531250335,9.299027238,10.67730332,15.02600436,17.16071472,20.03,18.2,20.1,22.4,23.66992562,26.46,28.94,34.89,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Thailand,THA,47.60684482,46.96709298,46.20721677,45.33417466,44.42694898,44.9702755,45.6467978,45.99732926,45.72416493,45.56833793,45.87876503,45.72160862,45.79436298,45.92025164,45.66590935,46.01814571,45.59178077,45.77194185,45.7531185,45.35327198,45.39199366,45.40644199,45.42290239,45.43305224,..,..
"Labor force, total",SL.TLF.TOTL.IN,Thailand,THA,32183475,32131961,31941082,31642226,31277320,31952257,32715147,33465643,33647556,33764736,34697876,35491365,36026742,36470595,37157460,37631588,37774335,38598937,38894304,38902406,39016537,39309398,39618043,39873480,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Thailand,THA,110.7534381,112.0123158,113.0606863,113.9925855,114.9420952,116.0055765,117.2051812,118.5087534,119.8907279,121.3058721,122.7139345,124.1268649,125.5390965,126.8712521,128.020752,128.9200669,129.5278553,129.8783926,130.073509,130.2593455,130.5408679,130.9537435,131.4649533,132.0272896,132.5646989,..
Population growth (annual %),SP.POP.GROW,Thailand,THA,1.370235,1.130237502,0.931589363,0.820868566,0.829507457,0.920978233,1.028782037,1.106074183,1.159390168,1.173449707,1.154068638,1.144823556,1.13130893,1.05555737,0.901956646,0.700020026,0.470338074,0.270261425,0.150117311,0.14276839,0.21589135,0.315781584,0.389614385,0.426833946,0.406217867,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Thailand,THA,50.46672821,50.44732661,50.39501521,50.33013167,50.28061263,50.26536676,50.2908977,50.34842302,50.42296144,50.49337095,50.54515057,50.5752456,50.58912398,50.59151534,50.58984759,50.58953094,50.59097248,50.59271715,50.59607991,50.60237019,50.61245105,50.62709484,50.64610083,50.66807635,50.69102065,..
"Population, total",SP.POP.TOTL,Thailand,THA,56582824,57225972,57761574,58237672,58722767,59266089,59878955,60544937,61250974,61973957,62693322,63415174,64136669,64817254,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,..
Rural population,SP.RUR.TOTL,Thailand,THA,39933894,40291090,40569997,40804807,41044278,41322688,41646412,42004866,42388737,42781242,43013261,42759584,42471944,42127326,41691459,41151810,40496138,39743135,38928981,38102836,37294180,36533029,35810571,35113187,34422406,..
Surface area (sq. km),AG.SRF.TOTL.K2,Thailand,THA,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Thailand,THA,..,2.799999952,1.399999976,1.5,1.600000024,1.399999976,1.200000048,1,3.400000095,3,2.299999952,2.5,1.700000048,1.399999976,1.299999952,1.200000048,1.100000024,1.100000024,1,1.5,1,0.699999988,0.699999988,0.699999988,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Thailand,THA,..,2.700000048,1.399999976,1.5,1.299999952,1.200000048,1.100000024,0.899999976,3.400000095,3,2.400000095,2.599999905,1.799999952,1.5,1.5,1.299999952,1.200000048,1.200000048,1.200000048,1.5,1,0.699999988,0.699999988,0.699999988,..,..
