Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Timor-Leste,TMP,7.397444519,8.069939475,8.069939475,8.406186954,8.742434432,8.742434432,8.742434432,8.540685945,8.406186954,8.069939475,8.069939475,9.751176866,9.751176866,10.08742434,11.43241426,11.43241426,11.43241426,10.7599193,10.7599193,10.7599193,10.08742434,10.08742434,10.7599193,10.42367182,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.395119484,..,0.399013638,0.399488655,0.402031061,0.541456812,0.550886713,0.526315789,0.518573105,0.51190467,..,..
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..,368000000,452000000,444000000,453000000,466000000,491000000,463000000,559000000,694000000,818000000,934000000,1123000000,1270000000,1468000000,1552000000,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..,17.50563435,16.36690647,-6.646058733,-2.317880795,0.508474576,6.239460371,-5.714285714,11.44781145,14.19939577,12.96296296,9.367681499,14.66809422,7.843137255,5.367965368,6.655710764,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..,434.37974,522.0315806,496.1797512,487.3949761,484.088449,501.4292265,464.8351692,551.7205984,673.3745379,780.2611109,875.8365693,1002.327757,1105.349369,1243.995055,1280.415013,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..,16.65650519,13.85866533,-9.670338466,-5.953670038,-2.958245778,4.442005977,-7.309391764,9.562251147,12.26739237,11.05177721,7.51734855,9.143128197,5.161884277,2.590074609,3.83662329,..
Internet users (per 100 people),IT.NET.USER.P2,Timor-Leste,TMP,0,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0.099031768,0.116628277,0.140958764,0.163876816,0.18525151,0.21,0.9,0.9147,1.1,1.14,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Timor-Leste,TMP,33.48048937,33.31181522,33.07376538,32.91797602,32.69723456,32.65058326,32.58866131,32.73580754,32.93551903,33.14022989,33.18988658,33.42128619,33.06636568,32.65184621,32.36147111,32.14159944,31.95780032,31.97906679,31.8858875,31.94432588,32.05068819,32.04313415,32.0735516,32.10027173,..,..
"Labor force, total",SL.TLF.TOTL.IN,Timor-Leste,TMP,274312,281933,288428,293402,295866,295667,285271,272680,262434,250125,238416,250134,249843,251949,253088,249888,250618,250320,248737,246003,241792,252700,256473,259814,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Timor-Leste,TMP,49.7801614,51.43806321,53.31849361,55.17626093,56.67464694,57.59509079,57.80067249,57.42212508,56.83295225,56.56106254,56.97276395,58.22784129,60.17733692,62.50376597,64.73665098,65.85077337,66.98399462,68.13678547,69.30934768,70.50215198,71.71546738,75.34579691,77.266846,79.35904506,81.5135844,..
