Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Togo,TGO,38.61003861,38.61003861,38.61003861,40.44861188,40.44861188,40.44861188,42.28718514,42.83875712,44.30961574,46.14818901,45.96433168,43.20647178,43.66611509,43.20647178,42.74682846,38.61003861,38.61003861,42.47104247,43.02261445,44.12575841,45.22890237,45.22890237,48.72219158,48.72219158,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Togo,TGO,0.521058922,0.505926614,0.49044641,0.475811526,0.461250889,0.43496445,0.420701309,0.403961007,0.389615025,0.376076489,0.365264986,0.465999669,0.450108135,0.392513046,0.357155977,0.384504659,0.372361248,0.361402509,0.350734059,0.324673284,0.315084946,0.305977518,0.297389876,0.288583452,..,..
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,1628427587,1602299813,1692959105,1233496936,982624332.2,1309382817,1465448204,1498950970,1587346019,1576094485,1294250280,1332328986,1474630199,1673690390,1937074538,2115154090,2202809211,2523462649,3163416556,3163000591,3172945506,3756023048,3915776184,4338575495,4518443907,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Togo,TGO,-0.243656136,-0.699967488,-3.980686821,-15.09582748,14.98241435,7.845832317,8.836211629,14.37737758,-2.299876566,2.481751426,-0.783479606,-1.626806272,-0.922151022,4.954397666,2.119065316,1.180406956,4.052412542,2.290453889,2.225480232,3.510296675,3.99567877,4.883763946,5.91249112,5.117622456,5.708886445,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,430.01123,412.2352329,424.9015664,302.2241241,235.0388494,305.6245119,333.591597,332.6223481,343.2228627,331.9725559,265.5016693,266.1345662,286.7580801,316.7920611,356.8307972,379.1808981,384.2885486,428.4015774,522.6250589,508.5405357,496.4824726,572.0256861,580.495021,626.1728171,635.0443282,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Togo,TGO,-2.947234073,-3.252585065,-6.330298903,-17.11456486,12.25159201,5.238045468,6.144256838,11.49605543,-4.800269945,-0.169816421,-3.369762398,-4.210569419,-3.546209217,2.156796918,-0.614354738,-1.534324747,1.257750267,-0.45745808,-0.519301635,0.733983931,1.211601864,2.083191411,3.095697024,2.339182294,2.938916505,..
Internet users (per 100 people),IT.NET.USER.P2,Togo,TGO,0,0,0,0,0,0,0.010929139,0.211139465,0.305583935,0.590363264,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Togo,TGO,45.17203086,45.90316438,46.59112157,47.27104247,47.85979587,48.41494493,48.86186812,49.27240107,49.59155777,49.89185981,50.25128358,50.52906797,50.73347961,50.99786946,51.25739313,51.45046988,51.6505151,51.52888088,51.47283124,51.35510948,51.30294401,51.19086121,51.14463125,50.97314684,..,..
"Labor force, total",SL.TLF.TOTL.IN,Togo,TGO,1535335,1581257,1631167,1681338,1734414,1793250,1854047,1918502,1989143,2060751,2135436,2210302,2288339,2369348,2449910,2535730,2618425,2697823,2779884,2864418,2951585,3039439,3127208,3222638,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Togo,TGO,69.62570325,71.46273212,73.25530428,75.03949255,76.86503034,78.76973708,80.76743887,82.85466078,85.03081449,87.2892995,89.62557455,92.04307777,94.54714102,97.13634859,99.80790587,102.5596433,105.3902372,108.2995771,111.2876816,114.354863,117.500478,120.7240118,124.022449,127.3895753,130.8174848,..
