Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Tonga,TON,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,20.83333333,22.22222222,22.22222222,22.22222222,22.22222222,22.22222222,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,113563821.6,132201141.4,137066290.6,138489884.4,193775943,202547013.9,219583570.1,212155124.7,188686997.3,194669501.6,188623258.5,167042898.9,181801931.5,208098552.8,236247362.5,258734857.8,287985750.6,299652754.4,340033798.4,321304425.2,369818466.4,441245488.1,457242448.5,432889959.1,434386307.7,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tonga,TON,-2.044091435,6.414939822,0.251985518,3.73804735,4.952526778,3.711873338,0.010215895,-0.131583413,2.718812655,3.881704581,3.369839694,3.601788655,3.416109019,2.156539356,0.764189645,1.577206884,-1.076001205,-4.571113139,2.456248639,1.099573953,4.165690916,2.01912478,0.546957252,-2.675541923,2.143955465,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,1193.49905,1387.152076,1436.437373,1449.670104,2025.292576,2112.307083,2283.190572,2197.906519,1946.490992,1998.701222,1926.732502,1697.004072,1836.290404,2089.217043,2357.146474,2565.337978,2837.102374,2932.912668,3307.207034,3106.912134,3557.759882,4226.813244,4364.291427,4117.31098,4114.052125,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Tonga,TON,-2.259250179,6.245219025,0.129062028,3.617512626,4.792374299,3.483659411,-0.286152266,-0.495772156,2.283298537,3.390016191,2.841893057,3.037648635,2.819668453,1.54014998,0.140860393,0.940700165,-1.708486405,-5.189440842,1.81151248,0.513013418,3.633573762,1.584239822,0.18514982,-3.018041371,1.711527415,..
Internet users (per 100 people),IT.NET.USER.P2,Tonga,TON,0,..,..,..,..,0.12323112,0.163793456,0.510866122,0.765134358,1.01796712,2.434398044,2.825371839,2.907297316,2.985817368,3.952373895,4.907782762,5.853944095,7.179865329,8.110769944,10,16,25,33,35,40,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Tonga,TON,32.24882468,33.66375892,35.13399958,36.52860425,38.01201687,38.39972645,38.77856981,39.03394621,39.36957843,39.71917939,40.06213697,40.63161796,41.27046087,41.88919583,42.14348981,42.3809762,42.46985715,42.52292903,42.54672727,42.63339527,42.65462992,42.68056981,42.626498,42.64806877,..,..
"Labor force, total",SL.TLF.TOTL.IN,Tonga,TON,32119,32786,33321,33946,34618,35094,35352,35733,36198,36607,37015,37776,38427,39096,39515,39992,40391,40778,41143,41437,41761,41909,42056,42227,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Tonga,TON,132.1555556,132.3666667,132.5291667,132.6833333,132.8861111,133.1791667,133.575,134.0638889,134.6347222,135.275,135.9694444,136.7138889,137.5069444,138.3416667,139.2027778,140.0805556,140.9819444,141.9013889,142.8,143.6333333,144.3708333,144.9888889,145.5125,146.0263889,146.6472222,..
Population growth (annual %),SP.POP.GROW,Tonga,TON,0.219890144,0.159616953,0.122689752,0.116258988,0.152711708,0.220288552,0.296777838,0.365335124,0.424888085,0.47443936,0.512044376,0.546015251,0.578408108,0.605204983,0.620523229,0.628595096,0.641417464,0.650054333,0.631267799,0.581870605,0.512146488,0.42718903,0.360488244,0.352535762,0.424250251,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Tonga,TON,49.29481251,49.2843952,49.29418053,49.31017879,49.31645728,49.30179687,49.25759561,49.19399954,49.13397361,49.10983798,49.14298556,49.24213178,49.39548508,49.57331888,49.73559755,49.85623352,49.92562089,49.9535084,49.95136944,49.93618009,49.92159466,49.90995479,49.89643883,49.88348757,49.86930085,..
"Population, total",SP.POP.TOTL,Tonga,TON,95152,95304,95421,95532,95678,95889,96174,96526,96937,97398,97898,98434,99005,99606,100226,100858,101507,102169,102816,103416,103947,104392,104769,105139,105586,..
Rural population,SP.RUR.TOTL,Tonga,TON,73549,73636,73696,73751,73833,73965,74153,74395,74685,75012,75370,75754,76166,76599,77047,77504,77974,78438,78879,79284,79635,79919,80150,80368,80634,..
Surface area (sq. km),AG.SRF.TOTL.K2,Tonga,TON,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
