Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Trinidad and Tobago,TTO,7.01754386,7.797270955,7.797270955,7.797270955,7.797270955,7.797270955,7.797270955,6.822612086,6.822612086,6.822612086,6.822612086,5.847953216,5.847953216,5.847953216,5.068226121,4.873294347,4.873294347,4.873294347,4.873294347,4.873294347,4.873294347,4.873294347,4.873294347,4.873294347,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Trinidad and Tobago,TTO,0.430842275,0.439714098,0.420336732,0.406019647,0.393283504,1.318898089,1.281398916,1.256196782,1.322042377,1.319604752,1.298615849,0.459962011,0.452148459,0.437794295,0.314465409,0.457444684,0.453774725,0.60266559,0.598160358,0.611232047,0.604856118,0.59880151,0.594964398,0.5913721,..,..
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,5068070424,5362823412,5532117365,4584646138,4947205983,5329214155,5759537844,5737751321,6043710219,6808976096,8154315702,8824873156,9008273516,11235960528,12884712296,15982390300,18369105738,21642269057,27870078385,19175139561,20578437536,23541881857,23224918862,24433812700,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Trinidad and Tobago,TTO,1.50802757,2.681820239,-1.647217947,-1.448969948,3.562025463,3.954823108,3.946667421,2.704464228,7.769167416,4.388590492,6.133960679,4.094647998,8.013612088,14.43354256,7.900000016,5.765102344,13.74272495,4.754356314,3.392527316,-4.391808271,0.208234844,-1.601761263,1.521672127,1.600062968,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,4147.68298,4360.352264,4470.448445,3684.192619,3956.764516,4246.382397,4577.000984,4551.325455,4786.930372,5383.521808,6430.94978,6935.705016,7049.609901,8750.393697,9984.008412,12323.2197,14096.02318,16530.15372,21187.9821,14508.77069,15494.70297,17637.14281,17311.6297,18122.74721,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Trinidad and Tobago,TTO,0.820260805,2.013752984,-2.249660389,-1.997316017,3.072839272,3.566753022,3.668785734,2.51611089,7.609802644,4.20395989,5.8661942,3.734435125,7.552341286,13.87993479,7.357964581,5.243344378,13.2008689,4.264772957,2.912104191,-4.844086994,-0.280018999,-2.095304224,1.007926286,1.098106329,..,..
Internet users (per 100 people),IT.NET.USER.P2,Trinidad and Tobago,TTO,0,..,..,..,..,0.158149899,0.393080525,1.173174658,2.724825339,5.814250962,7.721411474,15.38462722,21.99867548,25.97176411,27.02427008,28.97671243,30.00374858,32.3,34.8,44.3,48.5,55.2,59.5162,63.8,65.1,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Trinidad and Tobago,TTO,34.18474948,40.36509462,38.63693205,37.50890706,37.49112654,37.66065708,38.90029974,38.76641476,38.61721514,38.59861494,38.43972172,38.87224129,39.32703563,40.28210167,41.12531447,41.95255689,42.11074826,41.37254075,41.85851414,41.36053664,41.82126747,41.94094486,42.06412982,42.11095017,..,..
"Labor force, total",SL.TLF.TOTL.IN,Trinidad and Tobago,TTO,464207,454841,475809,492587,508539,523164,538474,549277,559740,568352,577538,587005,597149,616728,636000,655817,661121,663718,668717,664723,671730,676351,680713,684848,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Trinidad and Tobago,TTO,238.1879142,239.7477583,241.2253411,242.5750487,243.7263158,244.6395712,245.2953216,245.7460039,246.1099415,246.5460039,247.1695906,248.0278752,249.0916179,250.3025341,251.5662768,252.8134503,254.0235867,255.2163743,256.4077973,257.6265107,258.8879142,260.1929825,261.5163743,262.8148148,264.0317739,..
Population growth (annual %),SP.POP.GROW,Trinidad and Tobago,TTO,0.679854922,0.652744577,0.614415857,0.557961974,0.473479736,0.374005003,0.267688988,0.183561898,0.147985479,0.177025162,0.252609836,0.346643721,0.427963227,0.484955039,0.503615819,0.494538525,0.477525778,0.4684588,0.465742325,0.474176807,0.488430121,0.502839147,0.507330234,0.495275973,0.461979352,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Trinidad and Tobago,TTO,50.19125889,50.18611178,50.18739606,50.193425,50.20130911,50.20920302,50.21619323,50.22325306,50.23230874,50.2461691,50.26656572,50.29444751,50.32836662,50.36462698,50.39855564,50.42673754,50.44803287,50.46392619,50.47705136,50.49136517,50.50963975,50.53259314,50.55937817,50.5897318,50.62300524,..
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221904,1229906,1237486,1244410,1250316,1255001,1258365,1260677,1262544,1264781,1267980,1272383,1277840,1284052,1290535,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240,1354483,..
Rural population,SP.RUR.TOTL,Trinidad and Tobago,TTO,1117627,1122388,1126669,1130260,1132849,1134245,1134366,1133462,1132085,1130967,1131330,1137549,1144702,1152514,1160552,1168511,1176280,1183951,1191622,1199387,1207345,1215500,1223587,1231402,1238675,..
Surface area (sq. km),AG.SRF.TOTL.K2,Trinidad and Tobago,TTO,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Trinidad and Tobago,TTO,..,22.70000076,23.60000038,23.39999962,21.79999924,20.5,21.10000038,19.60000038,18.79999924,16.70000076,15.10000038,14.19999981,14.39999962,14.5,11.39999962,11,8.800000191,7.900000095,6.199999809,6.300000191,7,6.199999809,6.599999905,7.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Trinidad and Tobago,TTO,..,18.5,19.60000038,19.79999924,18.39999962,17.20000076,16.29999924,15,14.19999981,13.10000038,12.10000038,10.80000019,10.39999962,10.5,8.300000191,8,6.300000191,5.5,4.599999905,5.300000191,5.900000095,4.699999809,5,5.800000191,..,..
