Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Tunisia,TUN,18.72425335,18.71781668,18.71781668,19.22631308,18.21575695,18.29299691,18.3123069,18.3123069,18.53115345,18.72425335,18.4346035,17.85530381,17.83599382,17.95829042,17.96472709,17.57209063,17.78450051,17.59140062,18.24794027,17.42404737,18.17070031,18.27368692,18.33161689,18.36380021,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Tunisia,TUN,1.406092317,1.367116474,1.32632277,1.299101875,1.255371195,2.033382227,1.958117223,1.546366992,1.517792239,1.488706577,1.463789583,1.444104551,1.421516129,1.400855774,1.381725475,1.364322219,1.362602025,1.334522912,1.307981741,1.27751638,1.255057316,1.233035126,1.215635411,1.201589819,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,12290568182,13074782609,15497286296,14608946896,15632463424,18030876599,19587322786,20746360430,21803372267,22943685719,21473188882,22066101341,23141757278,27453084983,31183139301,32272178404,34377791552,38909334495,44855069425,43455740497,44426016487,45951389300,45238860997,46994804036,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tunisia,TUN,7.949819504,3.904545468,7.805728825,2.189828838,3.178411415,2.351669882,7.146080643,5.440943402,4.78376266,6.054634499,4.709860079,4.205033404,1.717042992,5.379599248,5.615626547,3.819174971,5.652150176,6.226760189,4.736812624,3.608144801,3.249398828,-0.508302869,4.661334784,2.521341111,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,1507.231456,1571.828353,1825.379132,1704.223758,1779.307673,2012.936266,2154.986939,2251.3929,2336.083943,2426.388363,2247.912995,2286.50046,2373.781378,2790.004368,3139.537202,3217.885971,3394.365224,3805.276672,4342.676318,4162.586737,4212.154667,4305.063735,4197.528276,4316.796402,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Tunisia,TUN,5.35901854,1.858482072,5.625462433,1.208724464,0.671088056,0.388620271,5.592401764,4.003772897,3.454501038,4.679588423,3.650977851,3.145771412,0.691410836,4.406103286,4.630969564,2.819181721,4.620445908,5.216966535,3.684262871,2.509499103,2.197042221,-1.6892879,3.654294151,1.494856366,..,..
Internet users (per 100 people),IT.NET.USER.P2,Tunisia,TUN,0,..,..,..,0.007379544,0.011191954,0.027615372,0.043656974,0.107940957,1.602494764,2.750740293,4.297966035,5.252887295,6.490845795,8.528817752,9.655086542,12.98640865,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Tunisia,TUN,21.54723988,21.94178974,22.23515703,22.63291575,23.08078852,23.48681604,23.85682247,24.2855291,24.566856,24.75487813,25.05528142,25.31429246,25.63259736,25.95428084,26.38519449,26.70631716,26.73217944,26.7519019,26.87570032,26.88907389,26.90393902,26.9226255,26.94333817,26.91267081,..,..
"Labor force, total",SL.TLF.TOTL.IN,Tunisia,TUN,2489168,2560133,2638875,2694169,2788020,2876980,2962029,3039382,3096603,3157103,3210844,3254612,3306329,3355092,3401544,3444934,3522672,3596791,3669776,3741635,3808591,3876613,3932100,3978063,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Tunisia,TUN,52.48712667,53.54145211,54.64662719,55.17636457,56.55059217,57.65641092,58.50476313,59.31320803,60.07530896,60.86444387,61.48622554,62.1176622,62.7503862,63.33547889,63.9315139,64.55329557,65.18988157,65.81552523,66.48365088,67.1961895,67.88813079,68.70365602,69.371138,70.07273429,70.78141092,..
