Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Turkey,TUR,32.0244793,32.04916648,31.85166898,31.80879124,32.09984018,32.03357457,31.85166898,31.56971532,31.75421956,31.54632746,30.95773294,30.9252498,31.17601965,30.36783909,31.01620259,30.96293024,29.85980276,28.55787846,28.00696439,27.74190195,27.7847797,26.68684953,26.7362239,26.73232592,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Turkey,TUR,3.933396196,4.036939199,3.509021675,3.587432502,3.945353305,3.31152224,3.338448637,3.88130926,3.785107308,3.797514813,3.871449902,3.059930611,3.013989618,3.034256426,2.816648698,2.76320638,2.703798121,2.658939175,2.585861681,2.4814569,2.389587264,2.3050504,2.27451647,2.240197582,..,..
GDP (current US$),NY.GDP.MKTP.CD,Turkey,TUR,1.51E+11,1.51E+11,1.59E+11,1.80E+11,1.31E+11,1.69E+11,1.81E+11,1.90E+11,2.69E+11,2.50E+11,2.67E+11,1.96E+11,2.33E+11,3.03E+11,3.92E+11,4.83E+11,5.31E+11,6.47E+11,7.30E+11,6.15E+11,7.31E+11,7.75E+11,7.89E+11,8.23E+11,8.00E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkey,TUR,9.26614667,0.720279047,5.035634937,7.651265191,-4.668147359,7.878266876,7.379664476,7.577663648,2.308213489,-3.365343997,6.774455335,-5.697476493,6.163839607,5.265265304,9.362807614,8.401617872,6.893489337,4.668579412,0.658838445,-4.825875213,9.156952903,8.772747615,2.127460619,4.192509259,2.86670174,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,2790.580487,2750.730314,2850.59697,3181.633364,2268.581235,2896.090604,3052.498119,3143.264599,4389.724574,4009.133896,4215.162413,3053.865108,3570.546263,4586.811203,5855.53866,7117.322711,7727.272405,9309.509482,10382.31817,8623.949625,10111.51771,10584.16396,10646.03553,10975.07493,10529.56987,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Turkey,TUR,7.388127232,-0.957923669,3.338789655,5.94972553,-6.159656903,6.194254715,5.701426446,5.898618504,0.722562174,-4.840162406,5.17969737,-7.082329825,4.626504222,3.776392358,7.871228527,6.984620653,5.580199354,3.447811978,-0.527220987,-6.050521762,7.573259321,7.451777448,0.887194901,2.92716333,1.617456589,..
Internet users (per 100 people),IT.NET.USER.P2,Turkey,TUR,0,..,..,0.008457732,0.049869182,0.081691205,0.192724936,0.473695432,0.698805129,2.292117685,3.761685035,5.189481461,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.06571043,45.13,46.25,51.04,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Turkey,TUR,30.83408715,30.97575582,30.24958614,26.66153688,29.62725362,29.67914853,29.52013294,28.4744323,28.91953808,29.67566867,27.74973155,28.50455794,29.43221613,28.82540867,26.20802908,26.15502922,26.49733645,26.50180317,27.16151988,28.26898539,29.33874646,29.99063912,30.67035137,30.66236077,..,..
"Labor force, total",SL.TLF.TOTL.IN,Turkey,TUR,19550535,19916079,20062572,19122311,20555827,20836339,21183492,21157809,21695554,22151329,21379587,21735787,22057143,21909816,21869962,22329132,22634826,23016698,23705831,24695170,25644596,26585102,26941990,27354730,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Turkey,TUR,70.15657524,71.34533217,72.51683796,73.68144953,74.85255123,76.03955147,77.24684329,78.47160844,79.70696828,80.94229305,82.1695581,83.3942206,84.61957824,85.83360966,87.02046568,88.17304029,89.26980627,90.32326183,91.40022738,92.59164404,93.95477827,95.1098216,96.27906267,97.46267947,98.66084742,..
Population growth (annual %),SP.POP.GROW,Turkey,TUR,1.733698988,1.680238697,1.62868624,1.59322824,1.576912976,1.573342423,1.575243233,1.573083202,1.562013,1.53794559,1.504842476,1.479411555,1.458665151,1.424498963,1.373267794,1.315792199,1.236206437,1.173171827,1.185293292,1.295093417,1.461468388,1.221865652,1.221863657,1.221865268,1.221865501,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Turkey,TUR,50.66735834,50.6831112,50.70127047,50.72036385,50.7383034,50.75367996,50.76627182,50.77669502,50.78543156,50.79321552,50.80059336,50.80739677,50.81351519,50.81955875,50.82627904,50.8340574,50.84346387,50.85401827,50.86382409,50.87035802,50.87207215,50.86832295,50.86029725,50.85045467,50.84196608,..
"Population, total",SP.POP.TOTL,Turkey,TUR,53994605,54909508,55811134,56707454,57608769,58522320,59451488,60394104,61344874,62295617,63240157,64182694,65125766,66060121,66973561,67860617,68704721,69515492,70344357,71261307,72310416,73199372,74099255,75010202,75932348,..
Rural population,SP.RUR.TOTL,Turkey,TUR,22028179,21976981,22035352,22084718,22127528,22166499,22203347,22237713,22266349,22287503,22297847,22250856,22173370,22084559,21980723,21862655,21723059,21567181,21411415,21277914,21176105,21021396,20870796,20725319,20584500,..
Surface area (sq. km),AG.SRF.TOTL.K2,Turkey,TUR,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,783560,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Turkey,TUR,..,6.900000095,7.599999905,9.100000381,7.900000095,7.099999905,5.800000191,7.5,6.699999809,7.400000095,6.099999905,7.300000191,9.300000191,9.800000191,10.69999981,10.89999962,10.89999962,10.80000019,11.39999962,14.10000038,12.80000019,11.10000038,10.69999981,11.89999962,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Turkey,TUR,..,8.199999809,8.5,9,8.600000381,7.599999905,6.599999905,6.800000191,6.900000095,7.699999809,6.5,8.399999619,10.39999962,10.5,10.80000019,10.60000038,10.19999981,10.30000019,11,14,11.89999962,9.800000191,9.199999809,10,..,..
