Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Turkmenistan,TKM,..,..,3.164301066,3.37497074,3.596280297,3.702679122,3.702679122,3.702679122,3.702679122,3.894197008,4.128274424,4.341072075,4.341072075,4.341072075,4.341072075,4.341072075,4.341072075,4.341072075,4.234673249,4.234673249,4.128274424,4.128274424,4.128274424,4.128274424,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Turkmenistan,TKM,..,..,2.004006582,1.942700062,1.01305148,0.722999739,1.15448334,1.129255883,1.158773993,1.125270435,0.835892895,0.982802639,0.960526215,1.563070993,1.372722732,1.344514175,1.115188872,1.089498326,1.063097751,1.039223605,1.017413024,0.993228439,0.972705873,0.954569023,..,..
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,3232066837,3197224007,3200539816,3179225949,2561118608,2482228440,2379281768,2450084970,2605688065,2450686660,2904662605,3534771969,4462028989,5977440583,6838351088,8104355717,10277598152,12664165103,19271523179,20214385965,22148070175,29233333333,35164210526,41012982456,47931929825,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkmenistan,TKM,35.38455735,-4.605263157,-14.96598639,1.499999995,-17.29986025,-7.200041312,6.699992634,-11.40000057,7.100000323,16.49999975,5.46906412,4.34384553,0.257180351,3.26882857,5.000407297,13.04036322,10.96709535,11.05929963,14.69586154,6.103453739,9.197805069,14.69934708,11.10183888,10.20001073,10.29998277,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,881.1523546,847.54172,824.4621526,796.4158445,625.347602,592.6987853,557.510449,565.0576697,592.8360328,550.7870249,645.2771015,776.5722304,969.9700335,1286.014261,1455.93605,1706.956726,2140.455472,2606.741976,3918.934927,4059.961511,4392.719583,5724.537102,6797.721166,7826.773607,9031.51157,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Turkmenistan,TKM,31.78800827,-7.24405351,-17.36726113,-1.295477967,-19.39174057,-9.2496569,4.707848075,-12.79563736,5.654989895,15.08260129,4.250882124,3.189790855,-0.797878047,2.205398939,3.908570959,11.82699519,9.724792022,9.764485816,13.31261882,4.794592446,7.832614576,13.2466574,9.678546453,8.787897017,8.905434684,..
Internet users (per 100 people),IT.NET.USER.P2,Turkmenistan,TKM,0,..,..,..,..,..,..,..,..,0.04502077,0.133282183,0.175209518,0.302132016,0.425182632,0.754053983,0.997256559,1.319573118,1.406360688,1.75,1.95,3,5,7.1958,9.6,12.2,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Turkmenistan,TKM,39.7290652,39.90300071,39.98823362,40.13895856,40.33964239,40.47608876,40.61728941,40.83006581,40.77127997,40.6432875,40.58110121,40.42239173,40.26525892,40.15804265,39.98709641,39.88459931,39.71866826,39.55299865,39.4730611,39.39493567,39.33915324,39.24101094,39.23046586,39.2218093,..,..
"Labor force, total",SL.TLF.TOTL.IN,Turkmenistan,TKM,1314486,1353412,1397201,1441293,1480675,1521439,1559139,1593970,1639664,1688483,1734672,1780622,1821918,1855322,1894046,1933784,1972760,2019278,2069424,2116965,2162347,2214999,2261732,2304705,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Turkmenistan,TKM,7.805417828,8.027472177,8.260747345,8.494705594,8.715153321,8.911986892,9.08154406,9.226886983,9.353080246,9.468276126,9.578913881,9.686042602,9.789057945,9.890911412,9.994841785,10.10328985,10.21767923,10.33820995,10.46441172,10.59510991,10.72924691,10.86687805,11.00789692,11.15078416,11.29357138,..
Population growth (annual %),SP.POP.GROW,Turkmenistan,TKM,2.69246683,2.805159504,2.864538011,2.792803711,2.562017336,2.233394077,1.884701647,1.587749124,1.358400709,1.224112826,1.161735656,1.112173034,1.057928335,1.035107069,1.045284208,1.079196029,1.125837896,1.172725711,1.213340559,1.241242507,1.258080321,1.274608293,1.289346555,1.28969065,1.272383604,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Turkmenistan,TKM,50.69247546,50.67016581,50.65339197,50.64145873,50.63310766,50.62738628,50.62431901,50.62409032,50.62611298,50.62973277,50.63449992,50.64014771,50.64675843,50.65472815,50.66456939,50.67657096,50.69081226,50.70693369,50.72443727,50.7425848,50.76093887,50.77929423,50.79779568,50.81666567,50.83628091,..
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3668000,3772350,3881973,3991917,4095512,4188010,4267690,4335991,4395293,4449427,4501419,4551762,4600172,4648036,4696876,4747839,4801594,4858235,4917541,4978960,5041995,5106672,5172941,5240088,5307188,..
Rural population,SP.RUR.TOTL,Turkmenistan,TKM,2014649,2075170,2138812,2202780,2263426,2312033,2346461,2374345,2396973,2416528,2434682,2451716,2467440,2482655,2498174,2514076,2530632,2547901,2565678,2583632,2601569,2619365,2637010,2654105,2670152,..
Surface area (sq. km),AG.SRF.TOTL.K2,Turkmenistan,TKM,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,..
