Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,8824746.238,9365488.115,9742603.634,9631024.916,10887216.91,11025679.51,12335200.16,12701093.97,12757405.79,13686699.57,13741844.59,13196254.87,15451309.04,18230911.04,21535683.88,21839543.63,22903319.5,27030996.03,30290770.26,27101312.79,31824701.28,39313508.69,39875708.12,38322359.53,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tuvalu,TUV,..,3.609164985,2.788866584,4.110691014,10.28348701,-5.004437317,-5.961361169,10.00322432,15.50121998,-1.563791371,-0.970599814,1.634107644,7.886174359,-3.333536533,-1.352181114,-3.779729962,2.138938329,6.350564875,7.983260905,-4.432851394,-2.729427912,8.453323926,0.174458145,1.298187614,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,980.0917635,1034.174924,1070.26295,1052.80115,1184.938715,1194.936547,1331.51988,1366.002794,1366.76728,1460.070362,1458.94942,1393.332791,1621.333583,1901.033476,2232.602517,2252.892886,2353.403155,2768.434661,3094.684334,2763.18442,3238.496111,3993.651838,4044.189464,3880.352322,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Tuvalu,TUV,..,3.014236034,2.258153991,3.598559281,9.803367346,-5.405957523,-6.336947269,9.600975486,15.05574709,-1.983830665,-1.443720422,1.076091215,7.218253657,-3.938331924,-1.92488253,-4.256166207,1.740122088,6.002017346,7.71848789,-4.627727308,-2.917495569,8.266031514,0.011903243,1.134075524,..,..
Internet users (per 100 people),IT.NET.USER.P2,Tuvalu,TUV,0,..,..,..,..,..,..,..,..,..,5.241639585,..,..,..,..,..,..,10,15,20,25,30,35,37,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Tuvalu,TUV,300.1333333,301.8666667,303.4333333,304.9333333,306.2666667,307.5666667,308.8,309.9333333,311.1333333,312.4666667,313.9666667,315.7,317.6666667,319.6666667,321.5333333,323.1333333,324.4,325.4666667,326.2666667,326.9333333,327.5666667,328.1333333,328.6666667,329.2,329.7666667,..
Population growth (annual %),SP.POP.GROW,Tuvalu,TUV,0.612712884,0.575859842,0.517650806,0.493124664,0.436300867,0.423568377,0.400195223,0.366340244,0.386432426,0.427625197,0.478902634,0.55055724,0.621021942,0.627617123,0.582243275,0.496381578,0.39122875,0.328272761,0.245499305,0.204123361,0.193532019,0.172843315,0.162403609,0.162140287,0.171986486,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9004,9056,9103,9148,9188,9227,9264,9298,9334,9374,9419,9471,9530,9590,9646,9694,9732,9764,9788,9808,9827,9844,9860,9876,9893,..
Rural population,SP.RUR.TOTL,Tuvalu,TUV,5343,5253,5211,5200,5185,5170,5153,5134,5115,5099,5085,5074,5066,5020,4951,4876,4796,4712,4623,4533,4442,4350,4258,4166,4078,..
Surface area (sq. km),AG.SRF.TOTL.K2,Tuvalu,TUV,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
