Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Uganda,UGA,25.02377258,25.12386767,25.22396276,25.22396276,25.32405785,25.32405785,25.32405785,25.32405785,25.42415295,25.52424804,26.52519894,27.02567439,28.02662529,29.27781392,29.77828937,29.77828937,30.52900255,31.27971573,32.28066663,33.03137981,33.66247756,34.16118093,34.41053262,34.41053262,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Uganda,UGA,0.809111895,0.786378663,0.891393507,0.865840276,0.721473913,0.600987627,0.586130847,0.515547185,0.447171773,0.434679916,0.514054828,0.560165194,0.542626461,0.577110077,0.502923172,0.421605998,..,0.395588731,0.382228738,0.368132674,0.355587866,0.343718403,0.332125499,0.320797794,..,..
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,4304398866,3321729057,2857457860,3220439044,3990430447,5755818947,6044585327,6269333313,6584815847,5998563258,6193246837,5840503869,6178563591,6336696289,7940362799,9013834373,9942597780,12292813603,14239026630,16992871612,18803852466,18661302215,23724745221,24703249696,26312399301,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uganda,UGA,6.474140151,5.554095496,3.418356892,8.32629252,6.403635743,11.52324381,9.072114582,5.100001864,4.905265484,8.053948377,3.141907338,5.183661126,8.732685764,6.473258671,6.807233344,6.332565116,10.78474439,8.412425966,8.708751901,7.251045316,5.170342974,9.673224959,4.411259872,3.270736613,4.509524514,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,247.601674,184.8133287,153.8623001,167.9265898,201.6258306,281.9687578,287.2701338,289.1826002,294.7965827,260.5085667,260.6844737,238.0510659,243.6746249,241.6948011,292.843015,321.4357614,342.837264,409.870326,459.1097759,529.915657,567.2453445,544.6910663,670.1788054,675.4433134,696.4089537,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Uganda,UGA,2.908881717,2.094678075,0.087752152,4.902509814,3.104710383,8.126671806,5.81417017,2.006902006,1.818172994,4.818175569,-0.0328829,1.852412846,5.211469456,2.972718241,3.273946331,2.814977774,7.123188525,4.830122611,5.124893046,3.730213283,1.736646966,6.116963687,1.048102318,-0.040756303,1.163756689,..
Internet users (per 100 people),IT.NET.USER.P2,Uganda,UGA,0,..,..,..,..,0.002863471,0.004625948,0.010319341,0.065289465,0.10554394,0.163714063,0.237945087,0.384093505,0.46484984,0.71997068,1.742205503,2.529363038,3.671965351,7.9,9.78,12.5,13.01354333,14.6896,16.2,17.71,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Uganda,UGA,51.03544746,51.00124353,51.02572014,50.92116747,50.87199141,50.69134582,50.61921594,50.60249727,50.51832057,50.30556951,50.27806709,50.24199531,50.08121246,49.97410942,49.86238193,49.74593753,49.64249178,49.60309825,49.50137041,49.46575926,49.37025237,49.35521586,49.34223184,49.33094124,..,..
"Labor force, total",SL.TLF.TOTL.IN,Uganda,UGA,7415538,7629912,7852873,8084632,8316309,8569228,8786434,9019543,9280550,9547255,9843308,10139866,10467606,10708529,10936064,11147849,11502253,11881026,12296302,12712808,13161304,13615797,14091059,14588629,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Uganda,UGA,87.00449927,89.95259497,92.94593364,95.97948051,99.05042791,102.1618888,105.307382,108.5005605,111.7902607,115.2412642,118.9011361,122.7899905,126.8995245,131.2134528,135.7026275,140.3453931,145.1425104,150.1023873,155.2195936,160.4880887,165.3172601,170.8574806,176.5440854,182.3927139,188.4249501,..
Population growth (annual %),SP.POP.GROW,Uganda,UGA,3.4058187,3.332297584,3.27351564,3.211645854,3.149466934,3.09296069,3.032482113,2.98718179,2.986910459,3.040343656,3.126447825,3.218314317,3.292012632,3.342977964,3.36405215,3.364054888,3.360961193,3.360155303,3.352320426,3.337887872,3.319376771,3.296334558,3.274085878,3.259151066,3.25376537,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Uganda,UGA,50.32971861,50.34104791,50.35104545,50.35848482,50.36199807,50.36078783,50.35475186,50.34439683,50.33036048,50.31351681,50.29460002,50.274159,50.25245118,50.22959627,50.20561877,50.18074229,50.15511747,50.1294447,50.10503015,50.08335796,50.06533901,50.05107655,50.04014901,50.0321805,50.02664296,..
"Population, total",SP.POP.TOTL,Uganda,UGA,17384369,17973428,18571527,19177660,19791266,20412967,21041468,21679497,22336812,23026357,23757636,24534668,25355794,26217760,27114742,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620,36573387,37782971,..
Rural population,SP.RUR.TOTL,Uganda,UGA,15458876,15935601,16451030,16972421,17499239,18032203,18569937,19115029,19675828,20263885,20887238,21549535,22248949,22944997,23656257,24388206,25140032,25913052,26705903,27517121,28345403,29189811,30049816,30927553,31826108,..
Surface area (sq. km),AG.SRF.TOTL.K2,Uganda,UGA,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Uganda,UGA,..,3.5,3.200000048,3,3.700000048,3.099999905,2.5,3.200000048,3.200000048,3.200000048,3.200000048,2.799999952,4,3.700000048,2.900000095,2.299999952,4.199999809,3.400000095,4.199999809,4.800000191,4.800000191,4.800000191,4.900000095,4.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Uganda,UGA,..,3,2.799999952,2.700000048,3.200000048,2.700000048,2.200000048,2.799999952,2.799999952,2.700000048,2.799999952,2.400000095,3.5,3.200000048,2.5,2,3.700000048,3,3.700000048,4.199999809,4.199999809,4.199999809,4.199999809,3.799999952,..,..
