Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Ukraine,UKR,..,..,57.58522482,57.5368948,57.46267369,57.45404332,57.28661431,57.1001985,56.71528437,56.39078277,56.20781911,56.16121515,56.17426727,56.06379673,56.06724894,56.01159861,56.00317592,55.9853624,56.05537527,56.06227991,56.06055375,56.09852931,56.13132638,56.14513568,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Ukraine,UKR,..,..,1.68094624,1.487472895,1.378466859,2.065398442,1.877930721,1.847189742,1.84958579,1.783221882,1.774955937,1.796769838,1.778686999,1.738403865,1.170228978,1.170724829,0.923292395,0.925138881,0.927410662,0.928338331,0.928069064,0.929316253,0.929934409,0.525189084,..,..
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,81456431292,77464043753,73942294099,65648559195,52549555010,48213868185,44558077827,50150399813,41883241480,31580639053,31261527363,38009344577,42392896031,50132953288,64883060726,86141530606,1.08E+11,1.43E+11,1.80E+11,1.17E+11,1.36E+11,1.63E+11,1.76E+11,1.83E+11,1.32E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ukraine,UKR,-6.345235142,-8.410643874,-9.698998595,-14.22610689,-22.93404554,-12.2,-10,-3,-1.9,-0.2,5.9,9.2,5.2,9.4,12.1,2.7,7.300000012,7.900000767,2.299999986,-14.80000001,4.200000016,5.200000009,0.199999998,0,-6.800008163,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,1569.730041,1489.679685,1417.869932,1258.136319,1012.105189,935.9680915,872.7091855,991.2301011,835.260299,635.7662419,635.7089635,780.7380243,879.4750486,1048.522488,1367.352433,1828.707277,2303.018831,3068.608998,3891.037823,2545.480341,2973.996481,3569.757027,3855.42128,4029.715504,3082.461447,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ukraine,UKR,-6.560006533,-8.601694021,-9.958378457,-14.27368598,-22.55084751,-11.50332079,-9.197764295,-2.112166368,-1.019309622,0.745472415,6.971368648,10.303539,6.250559577,10.29132275,12.95365583,3.455340233,8.027904646,8.545878643,2.85541816,-14.4209288,4.614794645,5.578853598,0.447899579,0.227964194,-0.84985749,..
Internet users (per 100 people),IT.NET.USER.P2,Ukraine,UKR,0,..,..,0.00077697,0.013641246,0.043083985,0.098580381,0.198821885,0.301075792,0.405385448,0.716183762,1.238759547,1.873885116,3.148127588,3.489477881,3.749764415,4.506124564,6.55,11,17.9,23.3,28.70826284,35.27,41,43.4,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Ukraine,UKR,48.91879839,48.82093427,48.74824234,48.51917767,48.47040788,48.49010212,48.52674766,48.63424071,48.75337342,48.86796659,48.99005894,49.0251261,49.2253042,49.30884211,49.33055346,48.83906337,48.87388174,48.91560814,48.86534541,48.99613492,48.84552442,48.8846345,48.9901739,48.9124847,..,..
"Labor force, total",SL.TLF.TOTL.IN,Ukraine,UKR,25676941,25600778,25580830,25546684,25390527,25104115,24857147,24545394,24297332,24001500,23685095,23364150,23320573,23182185,23157861,23318887,23286231,23239754,23182826,23140809,23147523,23119148,23103780,23134525,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ukraine,UKR,89.56934496,89.75657202,90.01513075,90.06509019,89.61947182,88.91395357,88.12840079,87.32908432,86.55206525,85.7397946,84.88107016,84.03187193,83.20243726,82.53003418,81.90630718,81.30268563,80.75764637,80.28127319,79.84913347,79.49544293,79.18024581,78.89611959,78.70140855,78.52240558,78.30370089,..
Population growth (annual %),SP.POP.GROW,Ukraine,UKR,0.229585786,0.208812129,0.28765251,0.055485759,-0.496001742,-0.790352758,-0.887423727,-0.911128989,-0.893741785,-0.942907769,-1.006596332,-1.005494764,-0.993677409,-0.811436362,-0.758627911,-0.732790732,-0.676092035,-0.596804887,-0.541462211,-0.443932417,-0.397285236,-0.359480081,-0.24709923,-0.22770475,-0.278913805,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Ukraine,UKR,53.50403774,53.46116254,53.42919331,53.40741826,53.39423426,53.38834248,53.38978949,53.39884743,53.41454743,53.43557556,53.46075615,53.48896611,53.5196361,53.55268378,53.58831042,53.62618261,53.66676632,53.70846663,53.74644818,53.77439377,53.78801821,53.78497237,53.76717216,53.73995042,53.71114852,..
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,52000470,52150266,52179210,51921041,51512299,51057189,50594105,50143939,49673350,49175848,48683865,48202500,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45362900,..
Rural population,SP.RUR.TOTL,Ukraine,UKR,17250458,17266236,17295636,17284885,17179634,17024300,16853978,16681382,16513903,16339552,16156725,15976584,15770412,15574112,15375742,15172569,14986584,14814623,14652285,14505868,14363951,14225567,14101096,13977134,13843850,..
Surface area (sq. km),AG.SRF.TOTL.K2,Ukraine,UKR,603560,603560,603560,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Ukraine,UKR,..,6.099999905,6.699999809,7.400000095,6,4.900000095,6.699999809,7.800000191,10,10.19999981,10.19999981,9.600000381,8.399999619,8,8.300000191,6.800000191,5.900000095,5.5,5.5,7.300000191,6.800000191,6.800000191,6.400000095,6.699999809,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Ukraine,UKR,..,6.699999809,7.5,8.699999809,7,5.599999905,7.599999905,8.899999619,11.30000019,11.60000038,11.60000038,10.89999962,9.600000381,9.100000381,8.600000381,7.199999809,6.800000191,6.400000095,6.400000095,8.800000191,8.100000381,7.900000095,7.5,7.900000095,..,..
