Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,United Arab Emirates,ARE,0.418660287,0.418660287,0.454545455,0.4784689,0.502392344,0.514354067,0.550239234,0.538277512,0.43062201,0.514354067,0.717703349,0.849282297,0.897129187,0.765550239,0.753588517,0.813397129,0.605263158,0.533492823,0.61722488,0.596889952,0.605263158,0.539473684,0.443779904,0.448564593,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,United Arab Emirates,ARE,7.227142519,6.73180195,5.220876291,4.864191766,4.946740098,5.477854039,4.771982996,4.497017207,4.244815007,4.012735381,3.812148856,3.528992815,2.058792159,2.299583343,2.038934681,1.815398854,1.546523052,1.308075003,1.123610606,0.992440908,0.90350128,0.857514975,0.831476505,1.010896339,..,..
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674338344,84445475410,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.86E+11,3.47E+11,3.72E+11,4.02E+11,4.02E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Arab Emirates,ARE,18.32798551,0.860081945,3.344944873,1.261190952,6.896148545,6.687886471,5.798404051,8.190398652,0.291994344,2.90221365,10.8527042,1.399085028,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191836272,-5.242921907,1.635449057,4.885270662,4.677891717,5.2,3.605467751,..
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,27989.3013,26945.65915,26864.18811,26141.33065,26495.82156,27973.74282,29813.37231,30378.54534,27681.31128,29278.76942,34207.53988,32105.64874,32355.41048,34294.89493,37179.6829,40298.52422,42950.10058,42913.78403,45720.0179,32905.05385,34341.91129,39778.48971,41587.51281,44506.76359,44204.3186,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United Arab Emirates,ARE,11.83883677,-4.503053895,-2.071746367,-3.918738101,1.622789691,1.607642788,0.759388528,2.875386173,-4.790896981,-2.464407795,4.821843291,-3.886524631,-2.884145975,1.846700662,-0.082680508,-6.983376448,-4.802948003,-11.21731858,-10.11876927,-15.14582725,-5.978924813,0.018859486,2.131024205,4.18249009,3.079113047,..
Internet users (per 100 people),IT.NET.USER.P2,United Arab Emirates,ARE,0,..,..,..,..,0.102939175,0.375393534,3.295592694,6.908302986,14.94269899,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40,52,61,63,64,68,78,84.9999915,88,90.4,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,United Arab Emirates,ARE,9.548040787,9.886059152,10.25835744,10.68229576,11.1409656,11.58033774,11.68596709,11.81397316,11.89261072,11.91126892,11.92307315,12.00258579,12.06189275,12.07308577,12.03856359,11.9639056,12.10994263,12.25522646,12.49380086,12.58638858,12.77917525,12.81534273,12.92070469,13.00612812,..,..
"Labor force, total",SL.TLF.TOTL.IN,United Arab Emirates,ARE,913224,980421,1053463,1130712,1212920,1296128,1372595,1456521,1543059,1632303,1731307,1870222,2015745,2196050,2452261,2809300,3297720,3898859,4538939,5138845,5644707,5947418,6133667,6232093,..,..
Population density (people per sq. km of land area),EN.POP.DNST,United Arab Emirates,ARE,21.66815789,22.88504785,24.15088517,25.4529067,26.77369617,28.1123445,29.51825359,31.04330144,32.70059809,34.49985646,36.48478469,38.49120813,40.59880383,43.37078947,47.55915072,53.61215311,61.85711722,71.89114833,82.53758373,92.17013158,99.63460526,104.4823206,107.087823,108.1337081,108.6858732,..
