Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,United Kingdom,GBR,27.3632869,27.14421527,27.09048072,25.17670401,24.43268714,24.53602282,25.20563799,26.32166329,25.84631918,24.4574877,24.2880172,23.35799611,23.91600876,23.39106353,24.05241185,23.68040342,25.18910429,25.15190344,24.82122928,25.00310007,24.67655934,25.05683462,25.67684868,25.89757368,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,United Kingdom,GBR,1.050598638,1.030767485,1.013323965,0.944211194,0.895952512,0.813514196,0.76706414,0.752974309,0.752349003,0.743871725,0.72009054,0.715427386,0.70479033,0.705634883,0.67470809,0.707712352,0.580588806,0.511410348,0.504810911,0.560336942,0.544199273,0.514489023,0.519928907,0.485787414,..,..
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1.09E+12,1.14E+12,1.18E+12,1.06E+12,1.14E+12,1.24E+12,1.30E+12,1.44E+12,1.53E+12,1.56E+12,1.55E+12,1.53E+12,1.67E+12,1.94E+12,2.30E+12,2.41E+12,2.58E+12,2.96E+12,2.79E+12,2.31E+12,2.41E+12,2.59E+12,2.61E+12,2.68E+12,2.94E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,0.537079439,-1.236323476,0.446962006,2.645589046,4.02496297,2.530400318,2.666815554,2.552642411,3.510761771,3.15118968,3.768864546,2.664535041,2.452281678,4.300444053,2.453888755,2.806547611,3.042098201,2.555635137,-0.332043634,-4.310615794,1.911377665,1.645120728,0.659035023,1.664698826,2.553033181,..
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,19095.467,19900.72665,20487.17079,18389.01957,19709.2381,21295.89728,22426.94555,24670.97448,26144.87153,26555.07736,26296.44819,25864.39497,28202.85426,32586.6428,38308.43637,39934.7836,42446.79557,48319.93195,45167.73523,37076.64525,38362.21712,40974.70814,41050.77194,41776.75948,45603.29237,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United Kingdom,GBR,0.23699214,-1.54127633,0.175689068,2.399795685,3.7604663,2.259517257,2.40573129,2.288854515,3.20956418,2.807850221,3.398759061,2.270061054,2.019479932,3.815907281,1.872639467,2.103084026,2.287465477,1.760170187,-1.113384228,-5.031671113,1.115628912,0.853681185,-0.038435573,1.020077996,1.911429471,..
Internet users (per 100 people),IT.NET.USER.P2,United Kingdom,GBR,0.087355319,0.174230922,0.260615159,0.519762001,1.036609166,1.895168284,4.123650336,7.385398957,13.6699831,21.29363827,26.82175435,33.48109487,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.37999855,87.47999842,89.8441,91.61,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,United Kingdom,GBR,43.28767584,43.47575207,43.71510711,44.07328737,44.23173223,44.37410243,44.55580218,44.8887085,45.01254387,45.11304939,45.34068551,45.42866436,45.64442591,45.50957659,45.69812375,45.80576231,45.7951802,45.63760421,45.70788309,45.81819005,46.00399903,45.97044681,45.95053916,45.9131558,..,..
"Labor force, total",SL.TLF.TOTL.IN,United Kingdom,GBR,29316619,29201542,28914741,28701206,28684556,28641172,28811150,28951851,28975914,29306128,29510178,29548771,29852850,30128896,30383510,30662175,31175248,31286031,31695036,31850479,31977257,32196994,32533294,32761244,..,..
Population density (people per sq. km of land area),EN.POP.DNST,United Kingdom,GBR,236.6287191,237.3616211,238.0043897,238.5756789,239.1838342,239.8174265,240.4288431,241.0488736,241.7523292,242.5596908,243.4279089,244.366854,245.4035423,246.5489067,247.9556277,249.6639772,251.5058901,253.4719258,255.4747034,257.4144174,259.4401893,261.4761212,263.3005415,264.9806928,266.6489315,..
Population growth (annual %),SP.POP.GROW,United Kingdom,GBR,0.298930554,0.309247932,0.270431182,0.239745439,0.254586487,0.264547417,0.254626384,0.257553323,0.291406085,0.333405882,0.357300887,0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781677289,0.695315843,0.636084282,0.627596412,..
